destino_id,direccion_id,nombre,descripcion,precio,categoria,id,tipo
2,100134,Cultural optio,Totam a similique quas. Laudantium unde velit voluptas fuga laudantium.,1097.72,Cultural,135,recurrente
33,103387,Recreativa eius,Molestiae quo modi laborum. Explicabo eligendi a nam. Beatae quibusdam a nostrum aliquid.,192.67,Recreativa,3388,recurrente
134,113406,Taller ex,Consequatur fuga magnam dolor velit sint animi. Quod itaque magnam voluptatem animi.,3110.25,Taller,13407,recurrente
55,105477,Recreativa consequatur,Omnis minus consectetur nesciunt nulla ipsam praesentium. Atque dolores praesentium porro sint sed.,2756.58,Recreativa,5478,recurrente
202,120177,Gastronomía voluptas,Adipisci sint minima distinctio eligendi. Quia occaecati magnam amet.,4040.76,Gastronomía,20178,recurrente
145,114524,Gastronomía cum,Quas dolorum ipsum magnam praesentium.,4244.11,Gastronomía,14525,recurrente
38,103813,Taller aliquid,Laborum nemo tempora.,620.97,Taller,3814,recurrente
92,109161,Concierto voluptas,Vel occaecati ipsam illo veritatis magnam sunt. Dignissimos veniam iste blanditiis.,3373.21,Concierto,9162,recurrente
137,113754,Conferencia quam,Magnam nisi tempora fuga sapiente dicta aut. Atque in quam beatae laudantium officiis.,2322.61,Conferencia,13755,recurrente
50,104985,Ecoturismo vero,Iste laboriosam minima numquam. Iusto esse blanditiis aliquam eaque cumque exercitationem.,2630.14,Ecoturismo,4986,recurrente
188,118795,Visita Guiada nisi,Corrupti soluta quae nesciunt perspiciatis perferendis porro. Saepe ab in dolor fuga.,4144.86,Visita Guiada,18796,recurrente
137,113717,Aventura distinctio,Quas ducimus exercitationem quia asperiores. Corrupti porro id magni.,4304.71,Aventura,13718,recurrente
152,115258,Concierto exercitationem,Nesciunt quasi architecto perspiciatis beatae neque. Quisquam quibusdam odio eius.,4992.43,Concierto,15259,recurrente
209,120960,Conferencia autem,Officiis recusandae corrupti. Officiis incidunt tempore aperiam velit minima.,4803.96,Conferencia,20961,recurrente
47,104630,Ecoturismo labore,Doloremque adipisci repellendus dolores porro tempora. Libero mollitia consequatur tempore.,4506.08,Ecoturismo,4631,recurrente
99,110049,Excursión perferendis,Soluta debitis nemo. Quasi aliquam commodi laborum eum quam.,1499.8,Excursión,10050,recurrente
57,105657,Exposición modi,Debitis sit distinctio pariatur fugit. Inventore nihil fugit ullam.,2556.38,Exposición,5658,recurrente
4,100447,Gastronomía voluptate,Nostrum odit ipsa maxime accusantium voluptate. Eveniet tenetur officia quos illum.,1673.43,Gastronomía,448,recurrente
137,113725,Parque Temático excepturi,Aut delectus et ratione tempora. Id vitae enim reprehenderit ipsa.,1606.5,Parque Temático,13726,recurrente
157,115594,Feria dolor,"Natus corporis eveniet illo ad. Culpa error tempore.
Laudantium ad sequi et rerum praesentium.",1024.86,Feria,15595,recurrente
34,103448,Mercado magnam,Deleniti ipsa porro sunt iusto veniam. Dolore nihil eius.,3214.61,Mercado,3449,recurrente
120,111973,Aventura eos,Sit facere totam ex. Rerum placeat quos nihil aliquam quaerat illo quam.,2463.94,Aventura,11974,recurrente
194,119415,Gastronomía dolores,Labore rerum iusto animi deleniti. Tempore a labore nesciunt laboriosam porro.,4554.25,Gastronomía,19416,recurrente
137,113764,Deportiva pariatur,Minima eius ad quasi eaque asperiores. Deleniti earum pariatur aliquid.,1923.75,Deportiva,13765,recurrente
