destino,url
Cabo San Lucas,https://cdn.sanity.io/images/esqfj3od/production/c1c9069644295a989eaa58f5f18fa124eb438379-1080x720.webp?w=1080&q=65&fit=clip&auto=format
Cancun,https://www.barcelo.com/guia-turismo/wp-content/uploads/2024/09/ok-cancun.jpg
Loreto,https://www.gob.mx/cms/uploads/image/file/514522/baja-california_loreto_bahia-de-Loreto-golf_web.jpg
San Jose del Cabo,https://lapatiala.com/wp-content/uploads/2021/06/Palmilla-Exterior.jpg
Ixtapa,https://s7g10.scene7.com/is/image/barcelo/BIXT_POOL_27-2?wid=1400&hei=500&fit=crop,1&qlt=60&fmt=avif-alpha&cache=validate,on,on&defaultImage=default-dm
Zihuatanejo,https://www.mexicoturismo.com.mx/img/ixtapa-zihuatanejo-mexico.jpg
Akumal,https://cf.bstatic.com/xdata/images/hotel/max1024x768/266984375.jpg?k=0587cb55fb2c588310a500d79bd042f2c426b1c3e67c7860e5b9bd12f4224db0&o=
Isla Mujeres,https://cdn.sanity.io/images/atvntylo/production/138da525d38597901e5e445857f1bd12fac939b6-1080x720.png?w=1080&q=65&fit=clip&auto=format
Playa del Carmen,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/14/db/c6/caption.jpg?w=600&h=500&s=1
Plaza Playacar,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/27/ca/ae/plaza-playacar.jpg?w=900&h=500&s=1
Rosarito,https://www.lugaresturisticosenmexico.com/wp-content/uploads/elementor/thumbs/2_rosarito_portada_ruta_cerveza_EE-pqrtu225rhw16v08sbrjmd1fewo388riqeu5su86uk.jpg
Puerto Escondido,https://ecoadventurespuertoescondido.com/wp-content/uploads/2022/11/Que-hacer-en-Puerto-Escondido.jpg.jpg.webp
San Felipe,https://noro.mx/wp-content/uploads/2025/02/SanFelipe_BC_1.png
Nuevo Nayarit,https://www.lugaresturisticosenmexico.com/wp-content/uploads/2022/05/Nuevo-Vallarta-Bahia-1536x768.jpg
Acapulco,https://a.travel-assets.com/findyours-php/viewfinder/images/res70/228000/228069-Guerrero.jpg?impolicy=fcrop&w=1040&h=580&q=mediumHigh
Isla Cozumel,https://cancun-charter.com/wp-content/uploads/2021/07/ostrov-kosumel-600x338.jpg
La Paz,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/f8/a0/ea/plaza-de-la-paz.jpg?w=700&h=400&s=1
Manzanillo,https://visitacolima.mx/images/2023/08/15/las_hadas.jpg
Mazatlan,https://i0.wp.com/blog.vivaaerobus.com/wp-content/uploads/2019/09/MALECON-MAZATLAN-.jpg?resize=960%2C540&ssl=1
Puerto Vallarta,https://cdn.sanity.io/images/xhhnkk4g/production/37fb139d5f5886d33c6b82756f30ac537717041d-1080x720.png?w=1080&q=65&fit=clip&auto=format
Veracruz,https://www.lugaresturisticosenmexico.com/wp-content/uploads/2022/06/Puerto-de-Veracruz-Centro.jpg
Aguascalientes,https://www.lugaresturisticosenmexico.com/wp-content/uploads/2023/07/Templo-de-San-Marcos-Ciudad-de-Aguascalientes-640x720.jpg
Campeche,https://www.mexicodestinos.com/blog/wp-content/uploads/2023/03/centro-de-campeche-lugar-turistico-de-campeche-607x420.png
Celaya,https://turismocelaya.com/wp-content/uploads/2018/09/dreamstime_m_27953590-1024x692.jpg
Chihuahua,https://www.lugaresturisticosenmexico.com/wp-content/uploads/elementor/thumbs/Ciudad-de-Chihuahua-3-pqlyg1vohmd772yovcyx97xq4ney1yklgdud6fnoh8.jpeg
