nombre,estado,municipio,ciudad,cp,lat,lon
Calzada Independencia Sur,Jalisco,Guadalajara,Guadalajara,44450,20.6701323,-103.3447909
Calle Maestranza,Jalisco,Guadalajara,Guadalajara,44100,20.6745389,-103.34545960296077
Calle Colón,Jalisco,Guadalajara,Guadalajara,44180,20.6724888,-103.3479641
Calle Antonio Molina,Jalisco,Guadalajara,Guadalajara,44450,20.674937800000002,-103.34417359672946
Avenida Juárez,Jalisco,Guadalajara,Guadalajara,44100,20.6751227,-103.345887
Avenida 16 de Septiembre,Jalisco,Guadalajara,Guadalajara,44100,20.67625145,-103.34766214715044
Calle Epigmenio González,Jalisco,Guadalajara,Guadalajara,44180,20.66646085,-103.35008083797894
Calle Prisciliano Sánchez,Jalisco,Guadalajara,Guadalajara,44180,20.672868,-103.3506271
Calle 20 de Noviembre,Jalisco,Guadalajara,Guadalajara,44450,20.6638538,-103.3452522
Avenida Doctor Roberto Michel,Jalisco,Guadalajara,Guadalajara,44450,20.6632514,-103.34591695781776
Circunvalación Oblatos,Jalisco,Guadalajara,Guadalajara,44700,20.6893328,-103.2998889
Prolongación Avenida Fray Antonio Alcalde,Jalisco,Zapopan,Zapopan,45190,20.7191725,-103.34434615455247
Prolongación Avenida Fray Antonio Alcalde,Jalisco,Zapopan,Zapopan,45190,20.7238095,-103.3448113
Calle Florida,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,44870,20.6428533,-103.3166281
Calle Liceo,Jalisco,Guadalajara,Guadalajara,44280,20.67857885,-103.3464661257166
Avenida 5 de Febrero,Jalisco,Guadalajara,Guadalajara,44460,20.66119595,-103.3437006206392
Calzada Independencia Sur,Jalisco,Guadalajara,Guadalajara,44450,20.6701323,-103.3447909
Avenida 5 de Febrero,Jalisco,Guadalajara,Guadalajara,44460,20.66150755,-103.34479108134255
Calle Antonio Molina,Jalisco,Guadalajara,Guadalajara,44450,20.674937800000002,-103.34417359672946
Avenida 16 de Septiembre,Jalisco,Guadalajara,Guadalajara,44100,20.67625145,-103.34766214715044
Calle Antonio Molina,Jalisco,Guadalajara,Guadalajara,44450,20.674937800000002,-103.34417359672946
