nombre,estado,municipio,ciudad,cp,lat,lon
Calle Cristóbal Colón,Estado de México,Texcoco,Texcoco de Mora,56100,19.5158352,-98.8856516
Ruta Centro Hisotrico,Estado de México,Texcoco,Texcoco de Mora,56100,19.51388755,-98.88314016597553
Diego Rivera,Estado de México,Texcoco,Texcoco de Mora,56100,19.5221924,-98.88068386089915
16 de Septiembre,Estado de México,Texcoco,Texcoco de Mora,56140,19.5130488,-98.8806613426676
Ruta Centro Hisotrico,Estado de México,Texcoco,Texcoco de Mora,56100,19.514511400000004,-98.87999936242079
Boulevard Xochimilco Norte,Estado de México,,,56280,19.5510646,-98.89915188069295
Prolongacion Palma,Estado de México,,,56280,19.551985799999997,-98.89499665222533
Calle Morelos,Estado de México,,,52270,19.5575521,-98.8951539
Cerrada De Los Fresnos,Estado de México,Atenco,,56300,19.5524153,-98.91334824817596
Carretera a Molino de Flores,Estado de México,Texcoco,Texcoco de Mora,56130,19.5163239,-98.84962591624532
Callejón De Jiménez,Estado de México,,,52680,19.1824244,-99.4140628
Avenida Constituyentes,Estado de México,,,52680,19.1813274,-99.4225512
Avenida Independencia Oriente,Estado de México,,,52680,19.1785477,-99.4151164
Avenida 16 De Septiembre,Estado de México,,,52680,19.1776441,-99.4144639
Calle Manuel Negrete,Estado de México,,,52680,19.177282650000002,-99.42102248829957
Calle Manuel Negrete,Estado de México,,,52680,19.1772513,-99.4209979
Mexicaltzingo-Tianguistengo-Xalatlaco,Estado de México,,,52683,19.1787583,-99.4322562
Mexicaltzingo-Tianguistengo-Xalatlaco,Estado de México,,,52683,19.1787003,-99.43222305015932
Calle de los Prados,Estado de México,,,52683,19.1787825,-99.43679201924189
Calle de los Prados,Estado de México,,,52683,19.1788932,-99.4369317
Boulevard Manuel Ávila Camacho,Estado de México,Tlalnepantla de Baz,Tlalnepantla,54020,19.5475794,-99.2104714
Camino Real Arboledas,Estado de México,Tlalnepantla de Baz,Tlalnepantla,54020,19.5493801,-99.2075302
Calle Roberto Fulton,Estado de México,Tlalnepantla de Baz,Tlalnepantla,54070,19.5388581,-99.2033050977882
Calle Roberto Fulton,Estado de México,Tlalnepantla de Baz,Tlalnepantla,54070,19.5368416,-99.2037348
Calle Dunant,Estado de México,Tlalnepantla de Baz,Tlalnepantla,54000,19.5391879,-99.2000535
Avenida de los Maestros,Estado de México,Tlalnepantla de Baz,Tlalnepantla,54040,19.5397825,-99.2155272
Avenida de los Maestros,Estado de México,Tlalnepantla de Baz,Tlalnepantla,54040,19.5407448,-99.2178326
Calle Ignacio Zaragoza,Estado de México,Tlalnepantla de Baz,Tlalnepantla,54000,19.5398875,-99.1949928
Calle Felipe Berriozábal,Estado de México,Tlalnepantla de Baz,Tlalnepantla,54000,19.5379987,-99.1935017
Calle Cuauhtémoc,Estado de México,Tlalnepantla de Baz,Tlalnepantla,54055,19.5235703,-99.2277246
Ciclovía Miguel Hidalgo,Estado de México,Toluca,Toluca,50000,19.2891459,-99.6620666
Calle Ezequiel Ordóñez,Estado de México,Toluca,Toluca,50080,19.2911414,-99.6621367
Avenida Miguel Hidalgo y Costilla,Estado de México,Toluca,Toluca,50000,19.2901544,-99.6592329
Calle Nigromante,Estado de México,Toluca,Toluca,50000,19.2910732,-99.660346
Avenida Miguel Hidalgo y Costilla,Estado de México,Toluca,Toluca,50000,19.2903158,-99.658878
Calle Nicolás Bravo,Estado de México,Toluca,Toluca,50000,19.289652,-99.6576102
Calle Nigromante,Estado de México,Toluca,Toluca,50000,19.29117745,-99.66018344288335
Pedro Ascencio,Estado de México,Toluca,Toluca,50000,19.2911557,-99.6596808
Calle Aquiles Serdán,Estado de México,Toluca,Toluca,50000,19.2916404,-99.6596507
Ciclovía Miguel Hidalgo,Estado de México,Toluca,Toluca,50000,19.2903546,-99.6566372
Boulevard Aeropuerto Miguel Alemán Valdez,Estado de México,Lerma,Lerma,05024,19.2920607,-99.5566935
Boulevard Aeropuerto Miguel Alemán Valdez,Estado de México,Lerma,Lerma,52105,19.2918479,-99.5562955
Boulevard Aeropuerto Miguel Alemán Valdez,Estado de México,Lerma,Lerma,52105,19.2914764,-99.5562734
Avenida Tecnológico,Estado de México,Metepec,,52190,19.28590945,-99.57422374802718
Avenida Paseo Tollocan,Estado de México,Metepec,,50246,19.286094,-99.5773175
Privada Industria,Estado de México,Metepec,,52170,19.2859935,-99.5818746
Calle Puerto De Mazatlán,Estado de México,Metepec,,50245,19.285916,-99.5870282
Avenida Paseo Tollocan,Estado de México,Toluca,Toluca,50160,19.2870817,-99.6164918
Calle Josefa Ortiz de Domínguez,Estado de México,Toluca,Toluca,50160,19.2869007,-99.6215444
Vialidad Toluca-Metepec,Estado de México,Metepec,,52140,19.24403125,-99.60484583326857
Calle Industria Minera,Estado de México,Toluca,Toluca,50010,19.3025369,-99.6262118
Calle Santos Degollado,Estado de México,Toluca,Toluca,50050,19.2938492,-99.6527872
Calle Ignacio López Rayón,Estado de México,Toluca,Toluca,50000,19.2918397,-99.6531039
Ciclovía Miguel Hidalgo,Estado de México,Toluca,Toluca,50000,19.2903546,-99.6566372
Calle Mariano Matamoros,Estado de México,Toluca,Toluca,50000,19.290059,-99.656226
Ciclovía Miguel Hidalgo,Estado de México,Toluca,Toluca,50000,19.2903581,-99.6540145
Calle Aquiles Serdán,Estado de México,Toluca,Toluca,50000,19.2916404,-99.6596507
Pedro Ascencio,Estado de México,Toluca,Toluca,50000,19.2911557,-99.6596808
Avenida Miguel Hidalgo y Costilla,Estado de México,Toluca,Toluca,50000,19.2903158,-99.658878
Calle Nicolás Bravo,Estado de México,Toluca,Toluca,50000,19.289652,-99.6576102
Calle Ignacio López Rayón,Estado de México,Toluca,Toluca,50090,19.289388350000003,-99.65309935
Calle Nicolás Bravo,Estado de México,Toluca,Toluca,50000,19.289652,-99.6576102
Calle Mariano Matamoros,Estado de México,Toluca,Toluca,50000,19.290059,-99.656226
Ciclovía Miguel Hidalgo,Estado de México,Toluca,Toluca,50000,19.2903546,-99.6566372
Calle Ignacio López Rayón,Estado de México,Toluca,Toluca,50090,19.289388350000003,-99.65309935
Ciclovía Miguel Hidalgo,Estado de México,Toluca,Toluca,50000,19.2903581,-99.6540145
Avenida Miguel Hidalgo y Costilla,Estado de México,Toluca,Toluca,50000,19.2903158,-99.658878
Avenida Miguel Hidalgo y Costilla,Estado de México,Toluca,Toluca,50000,19.2901544,-99.6592329
Pedro Ascencio,Estado de México,Toluca,Toluca,50000,19.2911557,-99.6596808
Ciclovía Miguel Hidalgo,Estado de México,Toluca,Toluca,50000,19.2891459,-99.6620666
Calle Nigromante,Estado de México,Toluca,Toluca,50000,19.2910732,-99.660346
Boulevard Aeropuerto Miguel Alemán Valdez,Estado de México,Lerma,Lerma,05024,19.2920607,-99.5566935
Boulevard Aeropuerto Miguel Alemán Valdez,Estado de México,Lerma,Lerma,52105,19.2918479,-99.5562955
Boulevard Aeropuerto Miguel Alemán Valdez,Estado de México,Lerma,Lerma,52105,19.2914764,-99.5562734
Avenida Tecnológico,Estado de México,Metepec,,52190,19.28590945,-99.57422374802718
Avenida Paseo Tollocan,Estado de México,Metepec,,50246,19.286094,-99.5773175
Privada Industria,Estado de México,Metepec,,52170,19.2859935,-99.5818746
Calle Puerto De Mazatlán,Estado de México,Metepec,,50245,19.285916,-99.5870282
Boulevard Aeropuerto Miguel Alemán Valdez,Estado de México,Lerma,Lerma,05024,19.2920607,-99.5566935
Boulevard Aeropuerto Miguel Alemán Valdez,Estado de México,Lerma,Lerma,52105,19.2918479,-99.5562955
Boulevard Aeropuerto Miguel Alemán Valdez,Estado de México,Lerma,Lerma,52105,19.2914764,-99.5562734
Avenida Tecnológico,Estado de México,Metepec,,52190,19.28590945,-99.57422374802718
Avenida Paseo Tollocan,Estado de México,Metepec,,50246,19.286094,-99.5773175
Privada Industria,Estado de México,Metepec,,52170,19.2859935,-99.5818746
Calle Puerto De Mazatlán,Estado de México,Metepec,,50245,19.285916,-99.5870282
Avenida Paseo Tollocan,Estado de México,Toluca,Toluca,50160,19.2870817,-99.6164918
Calle Josefa Ortiz de Domínguez,Estado de México,Toluca,Toluca,50160,19.2869007,-99.6215444
Vialidad Toluca-Metepec,Estado de México,Metepec,,52140,19.24403125,-99.60484583326857
Calle Mariano Matamoros,Estado de México,Toluca,Toluca,50000,19.290059,-99.656226
Ciclovía Miguel Hidalgo,Estado de México,Toluca,Toluca,50000,19.2903546,-99.6566372
Calle Nicolás Bravo,Estado de México,Toluca,Toluca,50000,19.289652,-99.6576102
Ciclovía Miguel Hidalgo,Estado de México,Toluca,Toluca,50000,19.2903581,-99.6540145
Calle Ignacio López Rayón,Estado de México,Toluca,Toluca,50090,19.289388350000003,-99.65309935
Avenida Miguel Hidalgo y Costilla,Estado de México,Toluca,Toluca,50000,19.2903158,-99.658878
Avenida Miguel Hidalgo y Costilla,Estado de México,Toluca,Toluca,50000,19.2901544,-99.6592329
Calle Ignacio López Rayón,Estado de México,Toluca,Toluca,50000,19.2918397,-99.6531039
Pedro Ascencio,Estado de México,Toluca,Toluca,50000,19.2911557,-99.6596808
Calle Aquiles Serdán,Estado de México,Toluca,Toluca,50000,19.2916404,-99.6596507
Avenida Paseo Tollocan,Estado de México,Toluca,Toluca,50140,19.2788751,-99.64343431473426
Calle Leona Vicario,Estado de México,Toluca,Toluca,50090,19.2902495,-99.6460052
Calle Ignacio López Rayón,Estado de México,Toluca,Toluca,50090,19.289388350000003,-99.65309935
Ciclovía Miguel Hidalgo,Estado de México,Toluca,Toluca,50000,19.2903581,-99.6540145
Calle Ignacio López Rayón,Estado de México,Toluca,Toluca,50000,19.2918397,-99.6531039
Calle Mariano Matamoros,Estado de México,Toluca,Toluca,50000,19.290059,-99.656226
Calle Bahía De Todos Los Santos,Estado de México,Toluca,Toluca,50160,19.2868976,-99.6280676
Ciclovía Miguel Hidalgo,Estado de México,Toluca,Toluca,50000,19.2903546,-99.6566372
Calle Nicolás Bravo,Estado de México,Toluca,Toluca,50000,19.289652,-99.6576102
Avenida Paseo Tollocan,Estado de México,Toluca,Toluca,50160,19.2870767,-99.626829
Boulevard Aeropuerto Miguel Alemán Valdez,Estado de México,Lerma,Lerma,05024,19.2920607,-99.5566935
Boulevard Aeropuerto Miguel Alemán Valdez,Estado de México,Lerma,Lerma,52105,19.2918479,-99.5562955
Boulevard Aeropuerto Miguel Alemán Valdez,Estado de México,Lerma,Lerma,52105,19.2914764,-99.5562734
Avenida Tecnológico,Estado de México,Metepec,,52190,19.28590945,-99.57422374802718
Avenida Paseo Tollocan,Estado de México,Metepec,,50246,19.286094,-99.5773175
Privada Industria,Estado de México,Metepec,,52170,19.2859935,-99.5818746
Calle Puerto De Mazatlán,Estado de México,Metepec,,50245,19.285916,-99.5870282
Calle Santos Degollado,Estado de México,Toluca,Toluca,50050,19.2938492,-99.6527872
Calle Ignacio López Rayón,Estado de México,Toluca,Toluca,50000,19.2918397,-99.6531039
Calle Aquiles Serdán,Estado de México,Toluca,Toluca,50000,19.2916404,-99.6596507
Ciclovía Miguel Hidalgo,Estado de México,Toluca,Toluca,50000,19.2903581,-99.6540145
Pedro Ascencio,Estado de México,Toluca,Toluca,50000,19.2911557,-99.6596808
Calle Nigromante,Estado de México,Toluca,Toluca,50000,19.29117745,-99.66018344288335
Ciclovía Miguel Hidalgo,Estado de México,Toluca,Toluca,50000,19.2903546,-99.6566372
Calle Nigromante,Estado de México,Toluca,Toluca,50000,19.2910732,-99.660346
Calle Mariano Matamoros,Estado de México,Toluca,Toluca,50000,19.290059,-99.656226
Avenida Miguel Hidalgo y Costilla,Estado de México,Toluca,Toluca,50000,19.2903158,-99.658878
Calzada Pemex Del Pacífico,Estado de México,Toluca,,50264,19.256325,-99.6842281
Calzada al Pacífico,Estado de México,Toluca,,50265,19.2562142,-99.689273
Avenida Paseo Tollocan,Estado de México,Toluca,Toluca,50140,19.2788751,-99.64343431473426
Calle de los Insurgentes,Estado de México,Toluca,,50265,19.2668114,-99.6909141
Ciclovía Miguel Hidalgo,Estado de México,Toluca,Toluca,50000,19.2891459,-99.6620666
Calle Nicolás Bravo,Estado de México,Toluca,Toluca,50000,19.289652,-99.6576102
Avenida Miguel Hidalgo y Costilla,Estado de México,Toluca,Toluca,50000,19.2901544,-99.6592329
Avenida Miguel Hidalgo y Costilla,Estado de México,Toluca,Toluca,50000,19.2903158,-99.658878
Calle Ignacio López Rayón,Estado de México,Toluca,Toluca,50090,19.289388350000003,-99.65309935
Calle Mariano Matamoros,Estado de México,Toluca,Toluca,50000,19.290059,-99.656226
Avenida Paseo Tollocan,Estado de México,Toluca,Toluca,50160,19.2870767,-99.626829
Avenida Paseo Tollocan,Estado de México,Toluca,Toluca,50160,19.2870817,-99.6164918
Calle Bahía De Todos Los Santos,Estado de México,Toluca,Toluca,50160,19.2868976,-99.6280676
Paseo Tollocan,Estado de México,Toluca,Toluca,50160,19.2872805,-99.6253941
Avenida Paseo Tollocan,Estado de México,Toluca,Toluca,50160,19.2872309,-99.6242437
Calle Josefa Ortiz de Domínguez,Estado de México,Toluca,Toluca,50160,19.2869007,-99.6215444
Calle Industria Minera,Estado de México,Toluca,Toluca,50010,19.3025369,-99.6262118
Avenida Paseo Tollocan,Estado de México,Toluca,Toluca,50140,19.2788751,-99.64343431473426
Calle Leona Vicario,Estado de México,Toluca,Toluca,50090,19.2902495,-99.6460052
Calle Ignacio López Rayón,Estado de México,Toluca,Toluca,50090,19.289388350000003,-99.65309935
Calle Fray Servando y Teresa de Mier,Michoacán,Apatzingán,Apatzingán,60600,19.0750052,-102.3546535
Calle Santiago Tapia,Michoacán,Morelia,Morelia,58000,19.7047415,-101.1965143
Avenida Francisco I. Madero Poniente,Michoacán,Morelia,Morelia,58000,19.7031159,-101.19434507079234
Avenida Francisco I Madero,Michoacán,Morelia,Morelia,58000,19.7030586,-101.1937682
Ignacio Zaragoza,Michoacán,Morelia,Morelia,58000,19.7032528,-101.1933058
Avenida Francisco I Madero,Michoacán,Morelia,Morelia,58000,19.7030564,-101.1935898
Avenida Francisco I. Madero Poniente,Michoacán,Morelia,Morelia,58000,19.7027709,-101.1942157
Ignacio Zaragoza,Michoacán,Morelia,Morelia,58000,19.7030538,-101.1933846
Avenida Francisco I. Madero Poniente,Michoacán,Morelia,Morelia,58000,19.7029128,-101.198728
Abasolo,Michoacán,Morelia,Morelia,58000,19.7020634,-101.194222
Avenida Morelos Norte,Michoacán,Morelia,Morelia,58000,19.7042876,-101.191302
Avenida Insurgentes,Michoacán,Morelia,Morelia,58240,19.6960305,-101.1587802
Calle Jacobo Villanueva,Michoacán,Morelia,Morelia,58130,19.679352,-101.22510735734053
Avenida Periodismo,Michoacán,Morelia,Morelia,58130,19.6797057,-101.22523615047305
Calle Ex Hacienda de Cantabria,Michoacán,Morelia,Morelia,58130,19.68064545,-101.22547055
Calle Allende,Michoacán,Morelia,Morelia,58010,19.7019183,-101.199534
Avenida Francisco I. Madero Poniente,Michoacán,Morelia,Morelia,58000,19.7029128,-101.198728
Calle Santiago Tapia,Michoacán,Morelia,Morelia,58000,19.7047415,-101.1965143
Abasolo,Michoacán,Morelia,Morelia,58000,19.7020634,-101.194222
Avenida Francisco I. Madero Poniente,Michoacán,Morelia,Morelia,58000,19.7031159,-101.19434507079234
Avenida Francisco I. Madero Poniente,Michoacán,Morelia,Morelia,58000,19.7027709,-101.1942157
Avenida Francisco I Madero,Michoacán,Morelia,Morelia,58000,19.7030586,-101.1937682
Calle Santiago Tapia,Michoacán,Morelia,Morelia,58000,19.7047415,-101.1965143
Avenida Francisco I. Madero Poniente,Michoacán,Morelia,Morelia,58000,19.7029128,-101.198728
Calle Allende,Michoacán,Morelia,Morelia,58010,19.7019183,-101.199534
