nombre,estado,municipio,ciudad,cp,lat,lon
Calle José María Morelos y Pavón,Baja California Sur,Municipio de Los Cabos,Cabo San Lucas,23470,22.8982431,-109.9191241
Calle Ignacio Zaragoza,Baja California Sur,Municipio de Los Cabos,Cabo San Lucas,23469,22.8905652,-109.915247
Calle José María Morelos y Pavón,Baja California Sur,Municipio de Los Cabos,Cabo San Lucas,23469,22.8909682,-109.9137716
Calle Revolución de 1910,Baja California Sur,Municipio de Los Cabos,Cabo San Lucas,23469,22.8904798,-109.9119612
Calle Mariano Matamoros,Baja California Sur,Municipio de Los Cabos,Cabo San Lucas,23469,22.8852128,-109.9142941
Avenida Leona Vicario,Baja California Sur,Municipio de Los Cabos,Cabo San Lucas,23470,22.8896292,-109.911573
Calle Ignacio Zaragoza,Baja California Sur,Municipio de Los Cabos,Cabo San Lucas,23469,22.88661745,-109.91248722224753
Calle Francisco Villa,Baja California Sur,Municipio de Los Cabos,Cabo San Lucas,23469,22.8924053,-109.9108374
Boulevard Lázaro Cárdenas,Baja California Sur,Municipio de Los Cabos,Cabo San Lucas,23450,22.8840266,-109.9135678
Calle Revolución de 1910,Baja California Sur,Municipio de Los Cabos,Cabo San Lucas,23469,22.8918885,-109.9099347
Calle Punta Cancún,Quintana Roo,,Cancún,77500,21.1343014,-86.74468265173488
Chan-Chen,Quintana Roo,,,77760,20.21377935,-87.46917053861124
Boulevard Kukulcán,Quintana Roo,,Cancún,75500,21.1359565,-86.74482362152057
Boulevard Kukulcán,Quintana Roo,,Cancún,75500,21.13529235,-86.74660001184444
Calle Punta Cancún,Quintana Roo,,Cancún,77500,21.1346671,-86.74276947877124
Ciclovía Zona Hotelera 1ra Etapa,Quintana Roo,,Cancún,75500,21.13682095,-86.74727858226883
Ciclovía Zona Hotelera 1ra Etapa,Quintana Roo,,Cancún,77500,21.13589665,-86.74150844875919
Acuario Norte,Quintana Roo,,,77760,20.2103774,-87.4668894
Boulevard Kukulcán,Quintana Roo,,Cancún,77500,21.1341645,-86.7494873
Boulevard Kukulcán,Quintana Roo,,Cancún,75500,21.1344859,-86.7497372
Calle Francisco I. Madero,Baja California Sur,Municipio de Loreto,,23880,26.0128333,-111.3430543
Avenida Benito Juárez,Baja California Sur,Municipio de Loreto,,23880,26.0080361,-111.3504105
Avenida Miguel Hidalgo,Baja California Sur,Municipio de Loreto,,23880,26.0099445,-111.3427759
Boulevard Salvatierra,Baja California Sur,Municipio de Loreto,,23880,26.0058219,-111.3520916
Calle Salvatierra,Baja California Sur,Municipio de Loreto,,23880,26.0058196,-111.3528921
Andador Salvatierra,Baja California Sur,Municipio de Loreto,,23880,26.010635,-111.3419825
Paseo A. Lopez Mateos,Baja California Sur,Municipio de Loreto,,23880,26.0126042,-111.33973474583101
Pasoe A. Lopez MAteos,Baja California Sur,Municipio de Loreto,,23880,26.009559600000003,-111.33942646596802
Fernando Jordan,Baja California Sur,Municipio de Loreto,,23880,26.008651800000003,-111.34013363339257
Malecón de Loreto,Baja California Sur,Municipio de Loreto,,23880,26.0061295,-111.33917413477528
Calle Juan N. Álvarez,Guerrero,Iguala de la Independencia,Iguala,40080,18.3464551,-99.5396484
Avenida Vicente Guerrero,Guerrero,Iguala de la Independencia,Iguala,40000,18.344512,-99.5363416
Chinchen Itza,Quintana Roo,,,77762,20.2085743,-87.4776734
Punta Brava,Quintana Roo,,,77737,20.400843199999997,-87.32104465309641
Pino Suarez,Quintana Roo,,,77762,20.2059514,-87.4784155
Puerto Morelos,Quintana Roo,,,77765,20.2067289,-87.4749015
Avenida Tulum,Quintana Roo,,,77765,20.2058226,-87.4788387
Carretera Reforma Agraria - Puerto Juárez,Quintana Roo,,,77760,20.396199799999998,-87.3183442950539
Avenida Tulum,Quintana Roo,,,77765,20.2078381,-87.472774
Calle 10 Sur,Quintana Roo,,,77765,20.2036004,-87.4754336
Carretera Reforma Agraria - Puerto Juárez,Quintana Roo,,,77784,20.3969472,-87.31465180000001
Calle 10 Sur,Quintana Roo,,,77765,20.2027762,-87.4750888
Rafaél E. Melgar,Quintana Roo,Puerto Morelos,,77580,20.8453775,-86.878294
Ninos Heroes,Quintana Roo,Puerto Morelos,,77580,20.849061,-86.8764033
Avenida Javier Rojo Gomez,Quintana Roo,Puerto Morelos,,77580,20.8490398,-86.8756928
Ninos Heroes,Quintana Roo,Puerto Morelos,,77580,20.8496249,-86.8761009
Ninos Heroes,Quintana Roo,Puerto Morelos,,77580,20.8497287,-86.876063
Avenida Javier Rojo Gomez,Quintana Roo,Puerto Morelos,,77580,20.8504334,-86.8747592
Rafaél E. Melgar,Quintana Roo,Puerto Morelos,,77580,20.8400008,-86.8832481
Avenida XelHa,Quintana Roo,,Cancún,77508,21.1624697,-86.8353158
Ninos Heroes,Quintana Roo,Puerto Morelos,,77580,20.8532499,-86.874586
Calle Sac Xib,Quintana Roo,,Cancún,77509,21.1599488,-86.8349732
Avenida XelHa,Quintana Roo,,Cancún,77508,21.1624697,-86.8353158
