nombre,estado,municipio,ciudad,cp,lat,lon
Calzada Independencia Sur,Jalisco,Guadalajara,Guadalajara,44450.0,20.6701323,-103.3447909
Calle Maestranza,Jalisco,Guadalajara,Guadalajara,44100.0,20.6745389,-103.34545960296076
Calle Colón,Jalisco,Guadalajara,Guadalajara,44180.0,20.6724888,-103.3479641
Calle Antonio Molina,Jalisco,Guadalajara,Guadalajara,44450.0,20.6749378,-103.34417359672946
Avenida Juárez,Jalisco,Guadalajara,Guadalajara,44100.0,20.6751227,-103.345887
Avenida 16 de Septiembre,Jalisco,Guadalajara,Guadalajara,44100.0,20.67625145,-103.34766214715044
Calle Epigmenio González,Jalisco,Guadalajara,Guadalajara,44180.0,20.66646085,-103.35008083797894
Calle Prisciliano Sánchez,Jalisco,Guadalajara,Guadalajara,44180.0,20.672868,-103.3506271
Calle 20 de Noviembre,Jalisco,Guadalajara,Guadalajara,44450.0,20.6638538,-103.3452522
Avenida Doctor Roberto Michel,Jalisco,Guadalajara,Guadalajara,44450.0,20.6632514,-103.34591695781776
Circunvalación Oblatos,Jalisco,Guadalajara,Guadalajara,44700.0,20.6893328,-103.2998889
Prolongación Avenida Fray Antonio Alcalde,Jalisco,Zapopan,Zapopan,45190.0,20.7191725,-103.34434615455248
Prolongación Avenida Fray Antonio Alcalde,Jalisco,Zapopan,Zapopan,45190.0,20.7238095,-103.3448113
Calle Florida,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,44870.0,20.6428533,-103.3166281
Calle Liceo,Jalisco,Guadalajara,Guadalajara,44280.0,20.67857885,-103.3464661257166
Avenida 5 de Febrero,Jalisco,Guadalajara,Guadalajara,44460.0,20.66119595,-103.3437006206392
Calzada Independencia Sur,Jalisco,Guadalajara,Guadalajara,44450.0,20.6701323,-103.3447909
Avenida 5 de Febrero,Jalisco,Guadalajara,Guadalajara,44460.0,20.66150755,-103.34479108134256
Calle Antonio Molina,Jalisco,Guadalajara,Guadalajara,44450.0,20.6749378,-103.34417359672946
Avenida 16 de Septiembre,Jalisco,Guadalajara,Guadalajara,44100.0,20.67625145,-103.34766214715044
Calle Antonio Molina,Jalisco,Guadalajara,Guadalajara,44450.0,20.6749378,-103.34417359672946
Avenida Juárez,Jalisco,Guadalajara,Guadalajara,44100.0,20.6751227,-103.345887
Calzada Independencia Sur,Jalisco,Guadalajara,Guadalajara,44450.0,20.6701323,-103.3447909
Calle Maestranza,Jalisco,Guadalajara,Guadalajara,44100.0,20.67467065,-103.34546223170048
Calle Colón,Jalisco,Guadalajara,Guadalajara,44180.0,20.6724888,-103.3479641
Avenida 16 de Septiembre,Jalisco,Guadalajara,Guadalajara,44100.0,20.67625145,-103.34766214715044
Calle Liceo,Jalisco,Guadalajara,Guadalajara,44280.0,20.67857885,-103.3464661257166
Calle Prisciliano Sánchez,Jalisco,Guadalajara,Guadalajara,44180.0,20.672868,-103.3506271
Calle Epigmenio González,Jalisco,Guadalajara,Guadalajara,44180.0,20.66646085,-103.35008083797894
Calle 20 de Noviembre,Jalisco,Guadalajara,Guadalajara,44450.0,20.6638538,-103.3452522
Calle Antonio Molina,Jalisco,Guadalajara,Guadalajara,44450.0,20.6749378,-103.34417359672946
Calle Maestranza,Jalisco,Guadalajara,Guadalajara,44100.0,20.6745389,-103.34545960296076
Avenida Juárez,Jalisco,Guadalajara,Guadalajara,44100.0,20.6751227,-103.345887
Calzada Independencia Sur,Jalisco,Guadalajara,Guadalajara,44450.0,20.6701323,-103.3447909
Avenida 16 de Septiembre,Jalisco,Guadalajara,Guadalajara,44100.0,20.67625145,-103.34766214715044
Calle Liceo,Jalisco,Guadalajara,Guadalajara,44280.0,20.67857885,-103.3464661257166
Calle Colón,Jalisco,Guadalajara,Guadalajara,44180.0,20.6724888,-103.3479641
Calle Prisciliano Sánchez,Jalisco,Guadalajara,Guadalajara,44180.0,20.672868,-103.3506271
Calle Jacobo Gálvez,Jalisco,Guadalajara,Guadalajara,44100.0,20.6744766,-103.352943
Calle 20 de Noviembre,Jalisco,Guadalajara,Guadalajara,44450.0,20.6638538,-103.3452522
Avenida 16 de Septiembre,Jalisco,Guadalajara,Guadalajara,44100.0,20.67625145,-103.34766214715044
Calle Antonio Molina,Jalisco,Guadalajara,Guadalajara,44450.0,20.6749378,-103.34417359672946
Avenida Juárez,Jalisco,Guadalajara,Guadalajara,44100.0,20.6747113,-103.3543963
Carril Bici-Bus Av. Hidalgo,Jalisco,Guadalajara,Guadalajara,44130.0,20.6769342,-103.3619445
Calle Maestranza,Jalisco,Guadalajara,Guadalajara,44100.0,20.67467065,-103.34546223170048
Calle Jacobo Gálvez,Jalisco,Guadalajara,Guadalajara,44100.0,20.6744766,-103.352943
Avenida Juárez,Jalisco,Guadalajara,Guadalajara,44100.0,20.6751227,-103.345887
Calle Marcos Castellanos,Jalisco,Guadalajara,Guadalajara,44100.0,20.6741861,-103.35652
Calle Liceo,Jalisco,Guadalajara,Guadalajara,44280.0,20.67857885,-103.3464661257166
Calle Prisciliano Sánchez,Jalisco,Guadalajara,Guadalajara,44180.0,20.672868,-103.3506271
Calle Marcos Castellanos,Jalisco,Guadalajara,Guadalajara,44100.0,20.6741861,-103.35652
Calle Jacobo Gálvez,Jalisco,Guadalajara,Guadalajara,44100.0,20.6744766,-103.352943
Avenida Juárez,Jalisco,Guadalajara,Guadalajara,44100.0,20.67469,-103.3572491
Avenida Juárez,Jalisco,Guadalajara,Guadalajara,44100.0,20.6747113,-103.3543963
Calle Prisciliano Sánchez,Jalisco,Guadalajara,Guadalajara,44180.0,20.672868,-103.3506271
Calle José Guadalupe Montenegro,Jalisco,Guadalajara,Guadalajara,44160.0,20.6692808,-103.36038
Carril Bici-Bus Av. Hidalgo,Jalisco,Guadalajara,Guadalajara,44130.0,20.6769342,-103.3619445
Calle Colón,Jalisco,Guadalajara,Guadalajara,44180.0,20.6724888,-103.3479641
Avenida 16 de Septiembre,Jalisco,Guadalajara,Guadalajara,44100.0,20.67625145,-103.34766214715044
Avenida Juárez,Jalisco,Guadalajara,Guadalajara,44100.0,20.6751227,-103.345887
Carril Bici-Bus Av. Hidalgo,Jalisco,Guadalajara,Guadalajara,44130.0,20.6769342,-103.3619445
Avenida Juárez,Jalisco,Guadalajara,Guadalajara,44100.0,20.67469,-103.3572491
Avenida Morelos,Jalisco,Guadalajara,Guadalajara,44600.0,20.675618,-103.3823593
Avenida Juárez,Jalisco,Guadalajara,Guadalajara,44100.0,20.6747113,-103.3543963
Calle Marcos Castellanos,Jalisco,Guadalajara,Guadalajara,44100.0,20.6741861,-103.35652
Calle Jacobo Gálvez,Jalisco,Guadalajara,Guadalajara,44100.0,20.6744766,-103.352943
Calle Aurelio Aceves,Jalisco,Guadalajara,Guadalajara,44110.0,20.67363295,-103.38919218813368
Calle López Cotilla,Jalisco,Guadalajara,Guadalajara,44130.0,20.6730517,-103.3806847875532
Calle Diagonal San Jorge,Jalisco,Guadalajara,Guadalajara,44690.0,20.6778895,-103.40068681976469
Avenida 16 de Septiembre,Jalisco,Guadalajara,Guadalajara,44100.0,20.67625145,-103.34766214715044
Avenida 16 de Septiembre,Jalisco,Guadalajara,Guadalajara,44100.0,20.67625145,-103.34766214715044
Calle Antonio Molina,Jalisco,Guadalajara,Guadalajara,44450.0,20.6749378,-103.34417359672946
Avenida Juárez,Jalisco,Guadalajara,Guadalajara,44100.0,20.6747113,-103.3543963
Carril Bici-Bus Av. Hidalgo,Jalisco,Guadalajara,Guadalajara,44130.0,20.6769342,-103.3619445
Calle Maestranza,Jalisco,Guadalajara,Guadalajara,44100.0,20.67467065,-103.34546223170048
Calle Jacobo Gálvez,Jalisco,Guadalajara,Guadalajara,44100.0,20.6744766,-103.352943
Avenida Juárez,Jalisco,Guadalajara,Guadalajara,44100.0,20.6751227,-103.345887
Calle Marcos Castellanos,Jalisco,Guadalajara,Guadalajara,44100.0,20.6741861,-103.35652
Calle Liceo,Jalisco,Guadalajara,Guadalajara,44280.0,20.67857885,-103.3464661257166
Calle Prisciliano Sánchez,Jalisco,Guadalajara,Guadalajara,44180.0,20.672868,-103.3506271
Calle Liceo,Jalisco,Guadalajara,Guadalajara,44280.0,20.67857885,-103.3464661257166
Calle Antonio Molina,Jalisco,Guadalajara,Guadalajara,44450.0,20.6749378,-103.34417359672946
Avenida Juárez,Jalisco,Guadalajara,Guadalajara,44100.0,20.6751227,-103.345887
Avenida 16 de Septiembre,Jalisco,Guadalajara,Guadalajara,44100.0,20.67625145,-103.34766214715044
Calle Maestranza,Jalisco,Guadalajara,Guadalajara,44100.0,20.67467065,-103.34546223170048
Calle Colón,Jalisco,Guadalajara,Guadalajara,44180.0,20.6724888,-103.3479641
Calle Prisciliano Sánchez,Jalisco,Guadalajara,Guadalajara,44180.0,20.672868,-103.3506271
Calzada Independencia Sur,Jalisco,Guadalajara,Guadalajara,44450.0,20.6701323,-103.3447909
Calle Matamoros,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,45500.0,20.636063,-103.3126511
Calle Jacobo Gálvez,Jalisco,Guadalajara,Guadalajara,44100.0,20.6744766,-103.352943
Calle Antonio Molina,Jalisco,Guadalajara,Guadalajara,44450.0,20.6749378,-103.34417359672946
Avenida Juárez,Jalisco,Guadalajara,Guadalajara,44100.0,20.6751227,-103.345887
Calzada Independencia Sur,Jalisco,Guadalajara,Guadalajara,44450.0,20.6701323,-103.3447909
Calle Maestranza,Jalisco,Guadalajara,Guadalajara,44100.0,20.67467065,-103.34546223170048
Calle Colón,Jalisco,Guadalajara,Guadalajara,44180.0,20.6724888,-103.3479641
Avenida 16 de Septiembre,Jalisco,Guadalajara,Guadalajara,44100.0,20.67625145,-103.34766214715044
Calle Liceo,Jalisco,Guadalajara,Guadalajara,44280.0,20.67857885,-103.3464661257166
Calle Prisciliano Sánchez,Jalisco,Guadalajara,Guadalajara,44180.0,20.672868,-103.3506271
Calle Epigmenio González,Jalisco,Guadalajara,Guadalajara,44180.0,20.66646085,-103.35008083797894
Calle 20 de Noviembre,Jalisco,Guadalajara,Guadalajara,44450.0,20.6638538,-103.3452522
Calzada Independencia Sur,Jalisco,Guadalajara,Guadalajara,44450.0,20.6701323,-103.3447909
Calle Estadio,Jalisco,Guadalajara,Guadalajara,44450.0,20.6635235,-103.34780938663594
Calle Estadio,Jalisco,Guadalajara,Guadalajara,44450.0,20.66352155,-103.34752326231128
Avenida 16 de Septiembre,Jalisco,Guadalajara,Guadalajara,44180.0,20.66345665,-103.3499833138786
Calle Estadio,Jalisco,Guadalajara,Guadalajara,44450.0,20.66317195,-103.3463535132554
Calle Antonio Molina,Jalisco,Guadalajara,Guadalajara,44450.0,20.6749378,-103.34417359672946
Calle Estadio,Jalisco,Guadalajara,Guadalajara,44450.0,20.66310135,-103.3462187294066
Avenida Doctor Roberto Michel,Jalisco,Guadalajara,Guadalajara,44450.0,20.6632514,-103.34591695781776
Avenida 5 de Febrero,Jalisco,Guadalajara,Guadalajara,44460.0,20.661678100000003,-103.34555870832826
Calle 20 de Noviembre,Jalisco,Guadalajara,Guadalajara,44450.0,20.6638538,-103.3452522
Calzada Independencia Sur,Jalisco,Guadalajara,Guadalajara,44450.0,20.6701323,-103.3447909
Calle Estadio,Jalisco,Guadalajara,Guadalajara,44450.0,20.6635235,-103.34780938663594
