nombre,precio
Hotel Portonovo Plaza Centro,4648
Hotel Laboratorios Trejo y Perea,1819
Hotel Santiago de Compostela,10012
Hotel Curiel-Nevárez S.A. de C.V.,9024
Holiday Inn  Suites,8314
ONE Hotel,5572
Hotel Mexicaltzingo,4358
Hotel Cervantes,18870
Hotel Madrid,3848
Hotel Union Guadalajara Jalisco México,14825
Hotel Haciendas de Oblatos,2041
Motel Aruba,1976
Motel Jardín,4070
La Villa del Eñsuenoo,8164
Hotel Rotonda,8623
Hotel San Juan,17559
Hotel Portonovo Plaza Centro,1869
Hotel Monaco,19390
Hotel Club Cavazos-Arguello,7515
ONE Hotel,18856
"Hotel Terán, Meraz y Amaya",14746
Holiday Inn  Suites,8223
Hotel Portonovo Plaza Centro,15719
Hotel Laboratorios Bravo-Limón,10115
Hotel Santiago de Compostela,1212
ONE Hotel,6231
Hotel Rotonda,14848
Hotel Cervantes,12149
Hotel Mexicaltzingo,10105
Hotel Madrid,6094
Hotel Montez S.A.,8055
Hotel Industrias Zepeda-Carrero,12029
Holiday Inn  Suites,4349
Hotel Portonovo Plaza Centro,4039
ONE Hotel,13449
Hotel Rotonda,4169
Hotel Santiago de Compostela,12763
Hotel Cervantes,12270
Del carmen,9667
Hotel Madrid,2423
ONE Hotel,16054
Hotel Despacho Balderas-de Jesús,18571
Portobelo,5090
Posada Hidalgo Inn,13403
Hotel Escobedo S. R.L. de C.V.,3582
Del carmen,19089
Holiday Inn  Suites,10606
Six Hotel,12850
Hotel Rotonda,19918
Hotel Cervantes,7300
Six Hotel,3279
Del carmen,2501
Hotel del Parque,8467
Portobelo,10482
Hotel Cervantes,3614
Hotel Isabel,8628
Posada Hidalgo Inn,4309
Hotel Santiago de Compostela,13455
ONE Hotel,10108
Holiday Inn  Suites,15857
Posada Hidalgo Inn,12954
Hotel del Parque,6329
Hotel Las Pergolas,13130
Portobelo,12641
Six Hotel,7865
Del carmen,9748
Hotel Fiesta Americana,3339
Krystal Urban Guadalajara,6607
Central Park,18502
ONE Hotel,9021
ONE Hotel,6354
Hotel García-Merino y Asociados,16147
Portobelo,13433
Posada Hidalgo Inn,9845
Hotel Santana-de León,19250
Del carmen,8196
Holiday Inn  Suites,11626
Six Hotel,2832
Hotel Rotonda,8505
Hotel Cervantes,2051
Hotel Rotonda,11336
"Hotel Carranza, Lomeli y Granados",14145
Holiday Inn  Suites,9773
ONE Hotel,3168
"Hotel Industrias Otero, Tórrez y Rojas",7913
Hotel Santiago de Compostela,19585
Hotel Cervantes,11311
Hotel Portonovo Plaza Centro,7967
Casa del Retoño BB,17358
Del carmen,13964
Hotel Robles-Ureña S.A.,16035
Holiday Inn  Suites,5681
Hotel Portonovo Plaza Centro,9679
"Hotel Laboratorios Gaitán, Vázquez y Peña",5575
Hotel Santiago de Compostela,9081
ONE Hotel,19394
Hotel Rotonda,18661
Hotel Cervantes,9609
Hotel Mexicaltzingo,15038
Hotel Madrid,14087
Hotel Portonovo Plaza Centro,12861
HOTEL Sta Maria,8186
Hotel Trinidad,5532
Misión Carlton,17696
"Hotel Canada, Guadalajara",17171
Hotel Pedraza-Menéndez,3978
Laura gudiño,2543
Hotel Union Guadalajara Jalisco México,4592
Hotel San Jose,6008
Hotel Madrid,6242
Hotel Portonovo Plaza Centro,14833
HOTEL Sta Maria,3081
Hotel Trinidad,13608
Misión Carlton,13504
"Hotel Canada, Guadalajara",16337
Hotel Proyectos Badillo y Cintrón,18338
Laura gudiño,9238
Hotel Union Guadalajara Jalisco México,19128
Hotel San Jose,1376
Hotel Madrid,4753
Misión Carlton,18595
Hotel San Jose,9743
