nombre,precio,destino_id
Hotel Portonovo Plaza Centro,4648,65
Hotel Laboratorios Trejo y Perea,1819,65
Hotel Santiago de Compostela,10012,65
Hotel Curiel-Nevárez S.A. de C.V.,9024,65
Holiday Inn  Suites,8314,65
ONE Hotel,5572,65
Hotel Mexicaltzingo,4358,65
Hotel Cervantes,18870,65
Hotel Madrid,3848,65
Hotel Union Guadalajara Jalisco México,14825,65
Hotel Haciendas de Oblatos,2041,65
Motel Aruba,1976,65
Motel Jardín,4070,65
La Villa del Eñsuenoo,8164,65
Hotel Rotonda,8623,65
Hotel San Juan,17559,65
Hotel Portonovo Plaza Centro,1869,65
Hotel Monaco,19390,65
Hotel Club Cavazos-Arguello,7515,65
ONE Hotel,18856,65
"Hotel Terán, Meraz y Amaya",14746,65
Holiday Inn  Suites,8223,65
Hotel Portonovo Plaza Centro,15719,65
Hotel Laboratorios Bravo-Limón,10115,65
Hotel Santiago de Compostela,1212,65
ONE Hotel,6231,65
Hotel Rotonda,14848,65
Hotel Cervantes,12149,65
Hotel Mexicaltzingo,10105,65
Hotel Madrid,6094,65
Hotel Montez S.A.,8055,65
Hotel Industrias Zepeda-Carrero,12029,65
Holiday Inn  Suites,4349,65
Hotel Portonovo Plaza Centro,4039,65
ONE Hotel,13449,65
Hotel Rotonda,4169,65
Hotel Santiago de Compostela,12763,65
Hotel Cervantes,12270,65
Del carmen,9667,65
Hotel Madrid,2423,65
ONE Hotel,16054,65
Hotel Despacho Balderas-de Jesús,18571,65
Portobelo,5090,65
Posada Hidalgo Inn,13403,65
Hotel Escobedo S. R.L. de C.V.,3582,65
Del carmen,19089,65
Holiday Inn  Suites,10606,65
Six Hotel,12850,65
Hotel Rotonda,19918,65
Hotel Cervantes,7300,65
Six Hotel,3279,65
Del carmen,2501,65
Hotel del Parque,8467,65
Portobelo,10482,65
Hotel Cervantes,3614,65
Hotel Isabel,8628,65
Posada Hidalgo Inn,4309,65
Hotel Santiago de Compostela,13455,65
ONE Hotel,10108,65
Holiday Inn  Suites,15857,65
Posada Hidalgo Inn,12954,65
Hotel del Parque,6329,65
Hotel Las Pergolas,13130,65
Portobelo,12641,65
Six Hotel,7865,65
Del carmen,9748,65
Hotel Fiesta Americana,3339,65
Krystal Urban Guadalajara,6607,65
Central Park,18502,65
ONE Hotel,9021,65
ONE Hotel,6354,65
Hotel García-Merino y Asociados,16147,65
Portobelo,13433,65
Posada Hidalgo Inn,9845,65
Hotel Santana-de León,19250,65
Del carmen,8196,65
Holiday Inn  Suites,11626,65
Six Hotel,2832,65
Hotel Rotonda,8505,65
Hotel Cervantes,2051,65
Hotel Rotonda,11336,65
"Hotel Carranza, Lomeli y Granados",14145,65
Holiday Inn  Suites,9773,65
ONE Hotel,3168,65
"Hotel Industrias Otero, Tórrez y Rojas",7913,65
Hotel Santiago de Compostela,19585,65
Hotel Cervantes,11311,65
Hotel Portonovo Plaza Centro,7967,65
Casa del Retoño BB,17358,65
Del carmen,13964,65
Hotel Robles-Ureña S.A.,16035,65
Holiday Inn  Suites,5681,65
Hotel Portonovo Plaza Centro,9679,65
"Hotel Laboratorios Gaitán, Vázquez y Peña",5575,65
Hotel Santiago de Compostela,9081,65
ONE Hotel,19394,65
Hotel Rotonda,18661,65
Hotel Cervantes,9609,65
Hotel Mexicaltzingo,15038,65
Hotel Madrid,14087,65
Hotel Portonovo Plaza Centro,12861,65
HOTEL Sta Maria,8186,65
Hotel Trinidad,5532,65
Misión Carlton,17696,65
"Hotel Canada, Guadalajara",17171,65
Hotel Pedraza-Menéndez,3978,65
Laura gudiño,2543,65
Hotel Union Guadalajara Jalisco México,4592,65
Hotel San Jose,6008,65
Hotel Madrid,6242,65
Hotel Portonovo Plaza Centro,14833,65
HOTEL Sta Maria,3081,65
Hotel Trinidad,13608,65
Misión Carlton,13504,65
"Hotel Canada, Guadalajara",16337,65
Hotel Proyectos Badillo y Cintrón,18338,65
Laura gudiño,9238,65
Hotel Union Guadalajara Jalisco México,19128,65
Hotel San Jose,1376,65
Hotel Madrid,4753,65
Misión Carlton,18595,65
Hotel San Jose,9743,65
Hotel Proyectos Godoy-Barreto,12146,65
HOTEL Sta Maria,4655,65
Hotel Trinidad,10617,65
Hotel Emperador,15246,65
Hotel Monaco,6182,65
Monaco,15867,65
"Hotel Canada, Guadalajara",1106,65
Laura gudiño,9630,65
Hotel Portonovo Plaza Centro,17403,65
Hotel Villegas y Estévez S.C.,6854,65
Hotel Santiago de Compostela,17635,65
Hotel Fuentes y Quezada y Asociados,4486,65
Holiday Inn  Suites,10779,65
ONE Hotel,17635,65
Hotel Cervantes,7517,65
Hotel Madrid,6008,65
Hotel Mexicaltzingo,13252,65
Hotel Union Guadalajara Jalisco México,6293,65
One Guadalajara Expo,18674,65
Hampton Inn Guadalajara Expo,18378,65
Hotel Victoria Ejecutivo,1018,65
Hotel 1970 Posada Guadalajara,11621,65
Hotel Riu Guadalajara,17010,65
Guadalajara Plaza Ejecutivo López Mateos,1638,65
Hotel Riu Plaza Guadalajara,4665,65
Hotel Becquer,12894,65
Fiesta Inn Guadalajara Expo,11076,65
Hotel de Autor Baruk,8846,65
Hotel Portonovo Plaza Centro,2898,65
"Hotel Proyectos Amador, Madera y Flórez",8892,65
Hotel Santiago de Compostela,19591,65
Hotel Corporacin Botello-Marín,3580,65
Holiday Inn  Suites,3806,65
ONE Hotel,16924,65
Hotel Cervantes,3267,65
Hotel Madrid,18455,65
Hotel Mexicaltzingo,5120,65
Hotel Union Guadalajara Jalisco México,5207,65
Casa del Retoño BB,16574,65
La Villa del Eñsuenoo,19015,65
Hotel Haciendas de Oblatos,6410,65
Hotel Grupo Pacheco-Nieves,9685,65
"Hotel Salgado, Anguiano y Olivas",18290,65
Hotel Brito S.A. de C.V.,14865,65
One Guadalajara Tapatío,7940,65
Hotel El Tapatío,18671,65
Hotel San Juan,7591,65
Hotel Monaco,11214,65
Posada Hidalgo Inn,14074,65
Hotel Rotonda,13236,65
ONE Hotel,15355,65
Hotel Villegas-Rosas e Hijos,17959,65
Holiday Inn  Suites,15794,65
Del carmen,4965,65
"Hotel Industrias Bañuelos, Corona y Calderón",9123,65
Portobelo,8362,65
Six Hotel,3098,65
Hotel del Parque,12078,65
Westin Guadalajara,1689,65
Hilton,19150,65
Expo Hotel,8540,65
,8216,65
ibis Guadalajara Expo,1235,65
Guadalajara Plaza Expo,3326,65
Fiesta Inn Guadalajara,2929,65
Fiesta Inn Guadalajara Expo,8501,65
Hotel Celta,3208,65
Hotel Platino Expo,2029,65
Posada Hidalgo Inn,11827,65
Hotel Rotonda,3321,65
ONE Hotel,17847,65
Hotel Núñez e Hijos,8798,65
Holiday Inn  Suites,10125,65
Del carmen,16906,65
Hotel Hidalgo-Godoy,8020,65
Portobelo,18669,65
Six Hotel,5335,65
Hotel del Parque,19711,65
Motel Aruba,19881,65
Motel Jardín,16488,65
Fiesta Americana,8962,65
NH Guadalajara,16498,65
Hotel Country Plaza,14338,65
Hotel Rotonda,7239,65
Posada Hidalgo Inn,4090,65
ONE Hotel,4176,65
Portobelo,15124,65
Hotel del Parque,12609,65
La Villa del Eñsuenoo,14879,65
Casa del Retoño BB,14470,65
Hotel Haciendas de Oblatos,16303,65
One Guadalajara Tapatío,2775,65
Hotel El Tapatío,4224,65
Motel Aruba,2986,65
Hotel Rotonda,14193,65
Hotel Arguello-Adame,12118,65
Motel Jardín,4580,65
Holiday Inn  Suites,9147,65
Hotel Cervantes-Meraz S.C.,7278,65
Hotel Verdugo S. R.L. de C.V.,7232,65
Holiday Inn  Suites,18573,65
Hotel Portonovo Plaza Centro,15700,65
ONE Hotel,5593,65
Hotel Rotonda,14824,65
Hotel Santiago de Compostela,7012,65
Hotel Cervantes,10127,65
Del carmen,16159,65
Hotel Madrid,9185,65
Hotel Rotonda,3470,65
Hotel Núñez e Hijos,15520,65
Holiday Inn  Suites,19033,65
Hotel Cruz S.C.,4208,65
ONE Hotel,2657,65
Hotel Santiago de Compostela,18713,65
Hotel Portonovo Plaza Centro,1483,65
Hotel Cervantes,4056,65
Del carmen,8745,65
Portobelo,6449,65
