nombre,estado,municipio,ciudad,cp,lat,lon
Calle Fresnos,Puebla,Municipio de Puebla,Puebla,72180,19.0430964,-98.2363431
Privada Circuito Santa Anita Sur,Puebla,Municipio de Puebla,Puebla,72180,19.044051,-98.2386876
Calle 43 Poniente,Puebla,Municipio de Puebla,Puebla,72400,19.0376711,-98.2266385
Calle Osa Mayor,Puebla,Municipio de Puebla,Puebla,72190,19.0329101,-98.2302096
Calle 19 Sur,Puebla,Municipio de Puebla,Puebla,72430,19.0353448,-98.2243682
Circuito Juan Pablo II,Puebla,Municipio de Puebla,Puebla,72410,19.0339111,-98.2254785
Boulevard Atlixco,Puebla,Municipio de Puebla,Puebla,72160,19.0522508,-98.2253023
Boulevard del Niño Poblano,Puebla,Municipio de Puebla,Puebla,72176,19.0374286,-98.2451385
Calle Tlaxco,Puebla,Municipio de Puebla,Puebla,72160,19.0527268,-98.2213555
Boulevard del Niño Poblano,Puebla,San Andrés Cholula,,72453,19.027344,-98.2297627
Calle Leandro Valle,Puebla,Zacatlán,,73310,19.9331444,-97.9576375
Calle Leandro Valle,Puebla,Zacatlán,,73310,19.933033,-97.9572321
Calle Independencia,Puebla,Zacatlán,,73310,19.9330868,-97.9543827
Calle Leandro Valle,Puebla,Zacatlán,,73310,19.9330341,-97.9569266
Calle Ignacio López Rayón,Puebla,Zacatlán,,73310,19.9320898,-97.9589581
Calle Ignacio Ramírez El Nigromante,Puebla,Zacatlán,,73310,19.9345382,-97.9580911
Andador José María Morelos Y Pavón,Puebla,Zacatlán,,73310,19.9315529,-97.9598141
Calle Benito Juárez García,Puebla,Zacatlán,,73310,19.9335576,-97.9606246
Calle Benito Juárez García,Puebla,Zacatlán,,73310,19.9332332,-97.9606725
Calle Benito Juárez García,Puebla,Zacatlán,,73310,19.9339256,-97.9606008
Calle Portal Miguel Hidalgo,Puebla,Huauchinango,,73160,20.1752616,-98.051982
Escalinatas Casa de la Cultura,Puebla,Huauchinango,,73160,20.1752355,-98.0521692
Calle Miguel Hidalgo,Puebla,Huauchinango,,73160,20.1751348,-98.0510266
Calle 2 Poniente,Puebla,Atempan,,73900,19.8412236,-97.4584159
Calle Leona Vicario,Puebla,Huauchinango,,73160,20.1762224,-98.0503829
Calle Carreón,Puebla,Huauchinango,,73160,20.1759656,-98.0602748
Avenida Revolución,Puebla,Huauchinango,,73160,20.1743754,-98.0616112
Calle Lázaro Cárdenas,Puebla,Huauchinango,,73160,20.1790077,-98.0726343
Pachuca - Túxpam,Puebla,Huauchinango,,73160,20.1933018,-98.0354804
Calle Ingeniero Carlos Ramírez Ulloa,Puebla,Tlatlauquitepec,,73900,19.8518406,-97.4954089
Avenida Hermanos Serdán,Puebla,Municipio de Puebla,Puebla,72140,19.0597744,-98.2200356
Calle Tlaxco,Puebla,Municipio de Puebla,Puebla,72160,19.0527268,-98.2213555
Avenida Hermanos Serdán,Puebla,Municipio de Puebla,Puebla,72140,19.0605185,-98.2208057
Avenida 3 Poniente,Puebla,Municipio de Puebla,Puebla,72090,19.0530147,-98.2184047
Boulevard Atlixco,Puebla,Municipio de Puebla,Puebla,72160,19.0522508,-98.2253023
Calle Peso Mexicano,Puebla,Municipio de Puebla,Puebla,72140,19.0632622,-98.2211835
Avenida Reforma,Puebla,Municipio de Puebla,Puebla,72000,19.052932499999997,-98.21422644844102
Avenida Hermanos Serdán,Puebla,Municipio de Puebla,Puebla,72020,19.0937419,-98.2285666
Avenida Hermanos Serdán,Puebla,Municipio de Puebla,Puebla,72020,19.092894,-98.2302764
Avenida Hermanos Serdán,Puebla,Municipio de Puebla,Puebla,72020,19.0918822,-98.2293591
Calle Orquídea,Puebla,Municipio de Puebla,Puebla,72228,19.0722194,-98.1451065
De los Pescaditos,Puebla,Municipio de Puebla,Puebla,72290,19.044086200000002,-98.19078263857378
Callejón 2 Oriente,Puebla,Municipio de Puebla,Puebla,72420,19.0420291,-98.191128
Boulevard Héroes del 5 de Mayo,Puebla,Municipio de Puebla,Puebla,72420,19.0423893,-98.1921707
Calle 4 Norte,Puebla,Municipio de Puebla,Puebla,72000,19.047690250000002,-98.19264295434132
Avenida 2 Oriente,Puebla,Municipio de Puebla,Puebla,72000,19.0425863,-98.1928491
Avenida 8 Oriente,Puebla,Municipio de Puebla,Puebla,72000,19.0455992,-98.1933395
Calle 12 Sur,Puebla,Municipio de Puebla,Puebla,72500,19.0379575,-98.19272352173745
Avenida Malintzi,Puebla,Municipio de Puebla,Puebla,72210,19.0809171,-98.1671615
Calle 12 Sur,Puebla,Municipio de Puebla,Puebla,72500,19.0380175,-98.1928396
Calle Orquídea,Puebla,Municipio de Puebla,Puebla,72228,19.0722194,-98.1451065
De los Pescaditos,Puebla,Municipio de Puebla,Puebla,72290,19.044086200000002,-98.19078263857378
Callejón 2 Oriente,Puebla,Municipio de Puebla,Puebla,72420,19.0420291,-98.191128
Boulevard Héroes del 5 de Mayo,Puebla,Municipio de Puebla,Puebla,72420,19.0423893,-98.1921707
