nombre,precio
Fiesta Inn Las Ánimas,4648
"MM Grand Hotel Puebla, Tapestry Collection by Hilton",1819
Hotel RRU Puebla,10012
Grand Fiesta Americana,9024
Hotel Laboratorios Meléndez y Badillo,8314
City Express Puebla Angelópolis,5572
Hotel Mirto,4358
Hotel Four Points,18870
Hotel Briones-Ruelas,3848
La Quinta Inn  Suites,14825
Casagrande,2041
Hotel Aurever,1976
Vista Zacatlán,4070
Posada Don Ramón,8164
Casa San Miguel,8623
Casa Mónaco,17559
Hotel Casa Quiroz,1869
Hotel del Centro,19390
Hotel Zacatlán,7515
Hotel del Rosario,18856
Hotel Grupo Rincón y Montez,14746
Hotel Martínez-Pulido S. R.L. de C.V.,8223
"Hotel Industrias Mares, Paredes y Mena",15719
Hotel Rivero-Quintanilla S.C.,10115
Hotel Laboratorios Olivo y Saldaña,1212
Hotel Covarrubias y Roldán S.C.,6231
Hotel Despacho Pedroza y Pantoja,14848
Hotel Club Gaona y Laboy,12149
Hotel Hurtado S.C.,10105
Hotel Serrano,6094
Holiday Inn Express,8055
"Hotel Nájera, Rico y Corral",12029
Presidente Intercontinental Puebla,4349
Best Western Plus,4039
Hotel Mirto,13449
Four Points By Sheraton,4169
Hotel Panamerican,12763
StayBridge Suites Puebla,12270
Marriott Puebla Mesón del Ángel,9667
Crowne Plaza,2423
HOTEL ORQUIDE,16054
La Purificadora,18571
Casareyna,5090
Ikonik,13403
LOA Inn Hotels,3582
Casa Azulai Puebla,19089
Hotel Villa Real,10606
Hotel escala,12850
"Hotel Grupo Bustamante, Puente y Calvillo",19918
Hotel,7300
HOTEL ORQUIDE,3279
La Purificadora,2501
Casareyna,8467
Ikonik,10482
LOA Inn Hotels,3614
Casa Azulai Puebla,8628
Hotel Villa Real,4309
Hotel escala,13455
Hotel Barela-Rolón,10108
Hotel,15857
Casa de Cortez,12954
Hotel Cabán-Preciado,6329
San Augustin,13130
NH Puebla,12641
Villas Hotel Cholula,7865
Hotel Mirto,9748
La Fuente,3339
Best Western Plus,6607
Hotel Teresa,18502
Aristos Hotel,9021
Oyo hotel del paseo,6354
Loa Inn Hotel,16147
Suites Sevilla,13433
Best Western Plus,9845
Hotel Mares-Dueñas S.A.,19250
Hotel Mirto,8196
Hotel Panamerican,11626
Oyo hotel del paseo,2832
Virreyes,8505
La Fuente,2051
Holiday Inn Express,11336
Marriott Puebla Mesón del Ángel,14145
StayBridge Suites Puebla,9773
Hotel Global,3168
Crowne Plaza,7913
Mision Grand Exhacienda Chautla,19585
ONE Hotel,11311
Hotel Royal Puebla,7967
RAMADA encore by Wyndham,17358
Four Points By Sheraton,13964
Presidente Intercontinental Puebla,16035
La Purificadora,5681
Hotel Villa Real,9679
Hotel Real del Aguila,5575
LOA Inn Hotels,9081
Casareyna,19394
Ikonik,18661
Casa Azulai Puebla,9609
Hotel Barroco,15038
Collection O Milagro,14087
Alborada Housing Cholula,12861
Hotel Krisgil,8186
Hotel La Cantera,5532
Hotel casa de piedra,17696
Hotel Torremolino,17171
Hotel Sukaza,3978
Auto hotel Zuga,2543
Hotel Dguez,4592
Hotel del Niño Doctor,6008
Hotel Libres,6242
Hotel La Curva,14833
