nombre,precio,destino_id
Hotel Pericue,4648,1
Santa Fe Hotel,1819,1
Real Dorada,10012,1
Comfort Rooms,9024,1
Hotel Maria Elena,8314,1
Hotel Estancia Real,5572,1
Las Margaritas Hotel,4358,1
Hotel Casa Rosada,18870,1
Hotel Mar De Cortez,3848,1
Olas Hotel Familiar,14825,1
Hotel Krystal Cancún,2041,2
Hotel Calvillo A.C.,1976,2
Fiesta Americana Coral Beach,4070,2
Aloft,8164,2
Krystal Altitude Cancún,8623,2
Hotel Ibarra-Flores e Hijos,17559,2
Hyatt Ziva Cancun,1869,2
posada malik pex,19390,2
Selina Hotel Cancun Lagoon Zona Hotelera,7515,2
Cancun Clipper Club,18856,2
Casa Mango,14746,3
Hotel Angra,8223,3
Hotel Junipero,15719,3
Hacienda Suites,10115,3
Hotel Santa Fe,1212,3
Hotel posada de las Flores,6231,3
Hotel La Mision,14848,3
Coronado Inn,12149,3
Las Cabañas de Loreto,10105,3
Hotel Oasis,6094,3
Hotel Plaza Cristina,8055,6
Hotel Señorial,12029,6
JOY Tulum,4349,7
Itza Hotel Akumal,4039,7
ContainME Eco Chic Hotel,13449,7
Green Tulum,4169,7
Gaia,12763,7
Secrets Akumal Riviera Maya,12270,7
Hotel Coco Hacienda,9667,7
Holistka,2423,7
Hotel Club Akumal Caribe Villas Maya,16054,7
Casa Santiago,18571,7
Layla Guesthouse,5090,8
Quinta Orquidea,13403,8
El Moro,3582,8
Caracol Puerto,19089,8
We Hotel,10606,8
Gota De Sal,12850,8
Rancho SakOl,19918,8
Hotel Proyectos Partida y Armas,7300,8
AirBnB Puerto Morelos,3279,8
Hotel Villa Leo,2501,8
Hotel Club Vergara y Collazo,8467,9
Hotel Villa Leo,10482,9
Hotel Tankah,3614,9
Hotel Uxmal,8628,9
Airbnb,4309,9
Hacienda Hotel,13455,9
Airbnb,10108,9
Ramada,15857,9
Hotel Xbalamque,12954,9
Hotel Razo-Santacruz,6329,9
Hotel Riu Playacar,13130,10
Royal Hideaway Playacar,12641,10
Royal Hideaway Playacar,7865,10
Hotel Carrero-Leiva S. R.L. de C.V.,9748,10
Hotel Riu Tequila,3339,10
Viva Wyndham Maya,6607,10
RIU Tequila,18502,10
Hotel Riu Palace Mexico,9021,10
RIU Tequila,6354,10
Occidental Allegro Playacar,16147,10
Quintas del Mar,13433,11
Arenas del Mar,9845,11
Hotel Corporacin Zedillo y Rolón,19250,11
Hotel Corona Plaza,8196,11
Los Pelicanos,11626,11
Las Brisas,2832,11
City Express Inn,8505,11
Riviera,2051,11
Oceana,11336,11
Hotel Camacho-Meza y Asociados,14145,11
Hotel Hacienda,9773,12
Posada del Marquez,3168,12
Hotel Villa Alta,7913,12
Hotel Camba,19585,12
Hotel Posada Del Carmen,11311,12
Posada de Xochitl hotel,7967,12
Hotel Boutique Casa Garay,17358,12
Hotel El Nito Posada,13964,12
Hotel Aurora,16035,12
Hospedaje Donají,5681,12
Hotel Arroyo Verde,9679,13
Quinta Las Alondras,5575,13
Don Alberto,9081,13
Gran Plaza  Convention Center,19394,13
Holiday Inn Express Guanajuato,18661,13
Hotel Misión Guanajuato,9609,13
Hotel Real de Minas Guanajuato,15038,13
Flamingo Autohotel,14087,13
Hotel Paseo de la Presa,12861,13
Misión Casa Colorada,8186,13
Royalti,5532,15
Acapulco Diana,17696,15
Hotel Solís,17171,15
Hotel Corporacin Lomeli y Franco,3978,15
Casa del Solar Centro Cozumel,2543,16
Rimon,4592,16
Illa cozumel,6008,16
Hotel Cervantes y Santana S.C.,6242,16
Hostelito,14833,16
Hotel Caribe,3081,16
Hotel Isla Esmeralda,13608,16
Hotel Almarestel,13504,16
Hotel Villa Las Anclas,16337,16
Xiknal,18338,16
La Posada Hotel and Beach Club,9238,17
Hotel Proyectos Badillo y Cintrón,19128,17
Casita del Sol,1376,17
Hotel California,4753,17
Hostal Casa Buena,18595,17
Hotel Calafia,9743,17
San Bernardino,12146,17
Hotel Zar,4655,17
Hotel La Concha,10617,17
The Marine Water Front Hotel,15246,17
Hotel Costa Manzanillo,6182,18
Zar Hotel,15867,18
Hotel Marina Puerto Dorado,1106,18
Hotel La Posada,9630,18
Coral Pacifico hotel Villas,17403,18
Hotel Suites Miramar,6854,18
Best Western,17635,18
Best Western Plus,4486,18
hotel Playa Azul,10779,18
Hotel suave Vida,17635,18
Hotel,7517,19
Hotel California,6008,19
Hotel Esperanza,13252,19
Mona Inn,6293,19
La Lola Hotel  Suites,18674,19
Hotel Posada los Tabachines,18378,19
Hotel Playa Mar,1018,19
Hotel Cabinas al Mar,11621,19
Hotel Sands Arenas,17010,19
Hotel Acuario,1638,19
Hotel Proyectos Bahena y Vargas,4665,20
Hotel Laboratorios Medina-Gutiérrez,12894,20
Hotel Barajas-Téllez S.C.,11076,20
Hotel Fuerte Real,8846,20
Hotel El Tapatío,2898,20
One Guadalajara Tapatío,8892,20
Casa del Retoño BB,19591,20
"Hotel Proyectos Amador, Madera y Flórez",3580,20
La Villa del Eñsuenoo,3806,20
Hotel Platinium,16924,20
Las Tutys,3267,21
Villa La Loma,18455,21
Shalom,5120,22
Gran Hotel Alameda,5207,22
Hotel Briseño-Uribe S.C.,16574,22
Hotel Meza A.C.,19015,22
Hotel Jardin Carpio,6410,22
Hotel Vicmar,9685,22
Hotel Proyectos Maestas-Zavala,18290,22
PRAGA CENTRO,14865,22
HOTEL ALBORADA,7940,22
SAN JOSE,18671,22
Hotel Puerto Campeche,7591,23
Gamma,11214,23
Hotel Baluartes,14074,23
Hotel Reforma,13236,23
Casa Don Gustavo Hotel,15355,23
Hotel Campeche,17959,23
Hotel Castelmar,15794,23
