destino_id,direccion_id,nombre,descripcion,precio,tipo_actividad
1,100000,Aventura exercitationem,Qui perspiciatis tempora assumenda. Adipisci atque doloremque nobis natus quaerat.,1154.89,Aventura
1,100001,Aventura repellat,Aliquid dolorem enim aspernatur. Sint fugit iste rerum cum.,480.35,Aventura
1,100002,Exposición ipsam,Cum perspiciatis nisi harum nisi iusto dolorum mollitia. Perspiciatis beatae suscipit.,1201.67,Exposición
1,100003,Parque Temático sapiente,Modi consequuntur delectus iure soluta. Ipsam similique mollitia amet.,3266.93,Parque Temático
1,100004,Mercado ut,Doloribus nisi nulla in nesciunt minima vel. Pariatur et eaque consectetur officia.,1427.04,Mercado
1,100005,Tour cum,Culpa eligendi distinctio exercitationem porro sequi magnam. Temporibus sapiente at incidunt eius.,2141.94,Tour
1,100006,Recreativa voluptas,Alias fuga mollitia inventore aliquam facilis ut. Tempore distinctio dolorum.,1716.14,Recreativa
1,100007,Visita Guiada fugiat,Fugit aliquam iusto dicta. Expedita reprehenderit sit dolore optio id eius.,1752.58,Visita Guiada
1,100008,Recreativa saepe,Quas et non maiores harum nemo. Aliquid ipsa maxime rem porro. Facilis architecto optio ex et.,2704.33,Recreativa
1,100009,Concierto incidunt,Inventore neque omnis iure ipsam. Maiores recusandae vero quasi omnis.,3161.77,Concierto
1,100010,Festival suscipit,Fugiat distinctio eveniet quis fugit.,276.83,Festival
1,100011,Educativa facere,Non vitae quaerat quod. Vitae autem ad est. Id quaerat asperiores porro occaecati aut.,4283.82,Educativa
1,100012,Aventura voluptatum,Debitis maxime officiis nulla ullam quo. Ipsa quasi eaque sequi rerum assumenda sunt.,4178.85,Aventura
1,100013,Cultural nemo,Recusandae nisi repudiandae ullam. Commodi porro praesentium velit magnam laudantium.,1371.54,Cultural
1,100014,Visita Guiada quas,Accusamus illum dolore sapiente beatae veniam officia. Libero quaerat magni earum.,3659.18,Visita Guiada
1,100015,Cultural perspiciatis,Aut tenetur accusamus corporis sit voluptas. Iusto voluptas excepturi possimus.,4630.69,Cultural
1,100016,Mercado numquam,Temporibus aliquid recusandae eos fugiat. Doloribus illum placeat debitis.,3853.15,Mercado
1,100017,Excursión laborum,Ratione accusamus modi iste. Nesciunt reprehenderit velit autem doloremque. Nulla velit eveniet.,1611.49,Excursión
1,100018,Recreativa esse,Ratione dolores eum cupiditate amet qui.,2857.54,Recreativa
1,100019,Ecoturismo sequi,Commodi numquam nesciunt quae. Voluptatum minus iste non aut praesentium.,4429.18,Ecoturismo
1,100020,Taller libero,Nemo nemo quae in beatae accusantium. Cupiditate veniam itaque porro facere ipsa.,3737.7,Taller
1,100021,Mercado ex,Ducimus cupiditate corrupti quis. Debitis quo laudantium quidem.,4494.22,Mercado
1,100022,Concierto totam,Non magnam vero ipsum repellat saepe. Magnam cupiditate dolorum ipsa.,734.74,Concierto
1,100023,Conferencia ratione,Repellendus suscipit ut impedit id. Doloremque voluptatum fugiat adipisci ut saepe.,592.76,Conferencia
1,100024,Cultural incidunt,Dolores odit numquam. Beatae temporibus nisi accusamus.,364.46,Cultural
1,100025,Concierto unde,Id repellendus labore alias officia enim similique. Sint ex commodi.,1294.5,Concierto
1,100026,Mercado doloremque,Architecto quod facilis fugit.,3617.57,Mercado
1,100027,Mercado voluptatibus,Magni commodi dicta consequuntur ratione ad. Nemo iusto voluptatem consectetur sunt aperiam id.,1733.87,Mercado
1,100028,Religiosa id,Deserunt vero earum numquam nostrum. Magnam cumque velit culpa.,4771.39,Religiosa
