cp,cod_mun
1000,9010
1010,9010
1020,9010
1030,9010
1040,9010
1049,9010
1050,9010
1060,9010
1070,9010
1080,9010
1089,9010
1090,9010
1100,9010
1109,9010
1110,9010
1120,9010
1125,9010
1130,9010
1139,9010
1140,9010
1150,9010
1160,9010
1170,9010
1180,9010
1200,9010
1210,9010
1219,9010
1220,9010
1230,9010
1239,9010
1240,9010
1250,9010
1259,9010
1260,9010
1269,9010
1270,9010
1275,9010
1276,9010
1278,9010
1279,9010
1280,9010
1285,9010
1289,9010
1290,9010
1296,9010
1298,9010
1299,9010
1310,9010
1320,9010
1330,9010
1340,9010
1376,9010
1377,9010
1389,9010
1400,9010
1407,9010
1408,9010
1410,9010
1419,9010
1420,9010
1430,9010
1450,9010
1460,9010
1470,9010
1480,9010
1490,9010
1500,9010
1509,9010
1510,9010
1520,9010
1530,9010
1538,9010
1539,9010
1540,9010
1548,9010
1549,9010
1550,9010
1560,9010
1566,9010
1569,9010
1588,9010
1590,9010
1600,9010
1610,9010
1618,9010
1619,9010
1620,9010
1630,9010
1640,9010
1645,9010
1650,9010
1700,9010
1708,9010
1710,9010
1720,9010
1729,9010
1730,9010
1740,9010
1750,9010
1759,9010
1760,9010
1770,9010
1780,9010
1789,9010
1790,9010
1800,9010
1807,9010
1810,9010
1820,9010
1830,9010
1840,9010
1849,9010
1857,9010
1859,9010
1860,9010
1863,9010
1870,9010
1900,9010
1904,9010
2000,9002
2010,9002
2020,9002
2040,9002
2050,9002
2060,9002
2070,9002
2080,9002
2090,9002
2099,9002
2100,9002
2120,9002
2128,9002
2129,9002
2130,9002
2140,9002
2150,9002
2160,9002
2200,9002
2230,9002
2240,9002
2250,9002
2300,9002
2310,9002
2320,9002
2330,9002
2340,9002
2360,9002
2400,9002
2410,9002
2420,9002
2440,9002
2459,9002
2460,9002
2470,9002
2480,9002
2490,9002
2500,9002
2519,9002
2520,9002
2530,9002
2600,9002
2630,9002
2640,9002
2650,9002
2660,9002
2670,9002
2680,9002
2700,9002
2710,9002
2719,9002
2720,9002
2730,9002
2750,9002
2760,9002
2770,9002
2780,9002
2790,9002
2800,9002
2810,9002
2830,9002
2840,9002
2860,9002
2870,9002
2900,9002
2910,9002
2920,9002
2930,9002
2940,9002
2950,9002
2960,9002
2970,9002
2980,9002
2990,9002
3000,9014
3010,9014
3020,9014
3023,9014
3100,9014
3103,9014
3104,9014
3200,9014
3230,9014
3240,9014
3300,9014
3303,9014
3310,9014
3320,9014
3330,9014
3340,9014
3400,9014
3410,9014
3420,9014
3430,9014
3440,9014
3500,9014
3510,9014
3520,9014
3530,9014
3540,9014
3550,9014
3560,9014
3570,9014
3580,9014
3590,9014
3600,9014
3610,9014
3620,9014
3630,9014
3640,9014
3650,9014
3660,9014
3700,9014
3710,9014
3720,9014
3730,9014
3740,9014
3800,9014
3810,9014
3820,9014
3840,9014
3900,9014
3910,9014
3920,9014
3930,9014
3940,9014
4000,9003
4010,9003
4020,9003
4030,9003
4040,9003
4100,9003
4120,9003
4200,9003
4210,9003
4230,9003
4240,9003
4250,9003
4260,9003
4300,9003
4310,9003
4318,9003
4320,9003
4330,9003
4340,9003
4360,9003
4369,9003
4370,9003
4380,9003
4390,9003
4400,9003
4410,9003
4420,9003
4440,9003
4450,9003
4460,9003
4470,9003
4480,9003
4489,9003
4490,9003
4500,9003
4510,9003
4519,9003
4530,9003
4600,9003
4610,9003
4620,9003
4630,9003
4640,9003
4650,9003
4660,9003
4700,9003
4710,9003
4730,9003
4739,9003
4800,9003
4810,9003
4815,9003
4830,9003
4840,9003
4870,9003
4890,9003
4899,9003
4909,9003
4910,9003
4918,9003
4919,9003
4920,9003
4929,9003
4930,9003
4938,9003
4939,9003
4940,9003
4950,9003
4960,9003
4970,9003
4980,9003
5000,9004
5010,9004
5020,9004
5030,9004
5050,9004
5100,9004
5110,9004
5118,9004
5119,9004
5120,9004
5129,9004
5200,9004
5219,9004
5220,9004
5230,9004
5240,9004
5260,9004
5269,9004
5270,9004
5280,9004
5310,9004
5320,9004
5330,9004
5348,9004
5360,9004
5370,9004
5379,9004
5400,9004
5410,9004
5500,9004
5520,9004
5530,9004
5600,9004
5610,9004
5700,9004
5710,9004
5730,9004
5750,9004
5760,9004
5780,9004
5790,9004
6000,9015
6010,9015
6020,9015
6030,9015
6040,9015
6050,9015
6060,9015
6070,9015
6080,9015
6090,9015
6100,9015
6140,9015
6170,9015
6200,9015
6220,9015
6240,9015
6250,9015
6270,9015
6280,9015
6300,9015
6350,9015
6400,9015
6430,9015
6450,9015
6470,9015
6500,9015
6600,9015
6700,9015
6720,9015
6760,9015
6780,9015
6800,9015
6820,9015
6840,9015
6850,9015
6860,9015
6870,9015
6880,9015
6890,9015
6900,9015
6920,9015
7000,9005
7010,9005
7020,9005
7040,9005
7050,9005
7058,9005
7060,9005
7069,9005
7070,9005
7080,9005
7089,9005
7090,9005
7100,9005
7109,9005
7110,9005
7119,9005
7130,9005
7140,9005
7144,9005
7149,9005
7150,9005
7160,9005
7164,9005
7170,9005
7180,9005
7183,9005
7187,9005
7188,9005
7189,9005
7190,9005
7199,9005
7200,9005
7207,9005
7209,9005
7210,9005
7214,9005
7220,9005
7224,9005
7230,9005
7239,9005
7240,9005
7250,9005
7259,9005
7268,9005
7270,9005
7279,9005
7280,9005
7290,9005
7300,9005
7310,9005
7320,9005
7330,9005
7340,9005
7350,9005
7359,9005
7360,9005
7369,9005
7370,9005
7380,9005
7400,9005
7410,9005
7420,9005
7430,9005
7440,9005
7450,9005
7455,9005
7456,9005
7460,9005
7469,9005
7470,9005
7480,9005
7500,9005
7509,9005
7510,9005
7520,9005
7530,9005
7540,9005
7550,9005
7560,9005
7570,9005
7580,9005
7600,9005
7620,9005
7630,9005
7640,9005
7650,9005
7670,9005
7680,9005
7700,9005
7707,9005
7708,9005
7720,9005
7730,9005
7739,9005
7740,9005
7750,9005
7754,9005
7755,9005
7760,9005
7770,9005
7780,9005
7790,9005
7800,9005
7810,9005
7820,9005
7830,9005
7838,9005
7839,9005
7840,9005
7850,9005
7858,9005
7859,9005
7860,9005
7869,9005
7870,9005
7880,9005
7889,9005
7890,9005
7899,9005
7900,9005
7910,9005
7918,9005
7919,9005
7920,9005
7930,9005
7939,9005
7940,9005
7950,9005
7960,9005
7969,9005
7970,9005
7979,9005
7980,9005
7990,9005
8000,9006
8010,9006
8020,9006
8030,9006
8040,9006
8100,9006
8200,9006
8210,9006
8220,9006
8230,9006
8240,9006
8300,9006
8310,9006
8320,9006
8400,9006
8420,9006
8500,9006
8510,9006
8600,9006
8610,9006
8620,9006
8650,9006
8700,9006
8710,9006
8720,9006
8730,9006
8760,9006
8770,9006
8800,9006
8810,9006
8830,9006
8840,9006
8900,9006
8910,9006
8920,9006
8930,9006
9000,9007
9010,9007
9020,9007
9030,9007
9040,9007
9060,9007
9070,9007
9080,9007
9089,9007
9090,9007
9099,9007
9100,9007
9130,9007
9140,9007
9180,9007
9200,9007
9208,9007
9209,9007
9210,9007
9220,9007
9230,9007
9239,9007
9240,9007
9250,9007
9260,9007
9270,9007
9280,9007
9290,9007
9300,9007
9310,9007
9319,9007
9320,9007
9350,9007
9359,9007
9360,9007
9400,9007
9410,9007
9420,9007
9429,9007
9430,9007
9438,9007
9440,9007
9450,9007
9460,9007
9470,9007
9479,9007
9480,9007
9500,9007
9510,9007
9520,9007
9530,9007
9550,9007
9560,9007
9570,9007
9578,9007
9600,9007
9608,9007
9609,9007
9620,9007
9630,9007
9637,9007
9638,9007
9640,9007
9648,9007
9660,9007
9670,9007
9680,9007
9689,9007
9690,9007
9696,9007
9698,9007
9700,9007
9704,9007
9705,9007
9706,9007
9708,9007
9709,9007
9710,9007
9720,9007
9730,9007
9740,9007
9750,9007
9760,9007
9769,9007
9770,9007
9780,9007
9790,9007
9800,9007
9810,9007
9819,9007
9820,9007
9828,9007
9829,9007
9830,9007
9837,9007
9838,9007
9839,9007
9840,9007
9849,9007
9850,9007
9856,9007
9858,9007
9859,9007
9860,9007
9868,9007
9870,9007
9880,9007
9890,9007
9897,9007
9900,9007
9910,9007
9920,9007
9930,9007
9940,9007
9960,9007
9969,9007
9970,9007
10000,9008
10010,9008
10020,9008
10130,9008
10200,9008
10300,9008
10320,9008
10330,9008
10340,9008
10350,9008
10360,9008
10368,9008
10369,9008
10370,9008
10378,9008
10379,9008
10380,9008
10400,9008
10500,9008
10580,9008
10600,9008
10610,9008
10620,9008
10630,9008
10640,9008
10660,9008
10700,9008
10710,9008
10800,9008
10810,9008
10820,9008
10830,9008
10840,9008
10900,9008
10910,9008
10920,9008
10926,9008
11000,9016
11040,9016
11100,9016
11200,9016
11210,9016
11220,9016
11230,9016
11240,9016
11250,9016
11260,9016
11270,9016
11280,9016
11289,9016
11290,9016
11300,9016
11310,9016
11320,9016
11330,9016
11340,9016
11350,9016
11360,9016
11370,9016
11400,9016
11410,9016
11420,9016
11430,9016
11440,9016
11450,9016
11460,9016
11470,9016
11480,9016
11489,9016
11490,9016
11500,9016
11510,9016
11520,9016
11529,9016
11530,9016
11540,9016
11550,9016
11560,9016
11570,9016
11580,9016
11590,9016
11600,9016
11610,9016
11619,9016
11650,9016
11700,9016
11800,9016
11810,9016
11820,9016
11830,9016
11840,9016
11850,9016
11860,9016
11870,9016
11910,9016
