cod_ent,nom_ent,ent_abr
1,Aguascalientes,AGU
2,Baja California,BCN
3,Baja California Sur,BCS
4,Campeche,CAM
5,Coahuila,CHP
6,Colima,CHH
7,Chiapas,COA
8,Chihuahua,COL
9,Ciudad de México,CMX
10,Durango,DUR
11,Guanajuato,GUA
12,Guerrero,GRO
13,Hidalgo,HID
14,Jalisco,JAL
15,México,MEX
16,Michoacán,MIC
17,Morelos,MOR
18,Nayarit,NAY
19,Nuevo León,NLE
20,Oaxaca,OAX
21,Puebla,PUE
22,Querétaro,QUE
23,Quintana Roo,ROO
24,San Luis Potosí,SLP
25,Sinaloa,SIN
26,Sonora,SON
27,Tabasco,TAB
28,Tamaulipas,TAM
29,Tlaxcala,TLA
30,Veracruz,VER
31,Yucatán,YUC
32,Zacatecas,ZAC
