actividad_id,dia_semana,hora_inicio,hora_fin
135,0,07:00,15:00
135,1,07:00,15:00
135,2,12:00,20:00
135,3,09:00,17:00
135,4,08:00,16:00
135,5,08:00,14:00
135,6,08:00,14:00
3388,0,07:00,15:00
3388,1,12:00,20:00
3388,2,12:00,20:00
3388,3,11:00,19:00
3388,4,07:00,15:00
3388,5,11:00,17:00
3388,6,10:00,16:00
13407,0,07:00,15:00
13407,1,07:00,15:00
13407,2,08:00,16:00
13407,3,08:00,16:00
13407,4,11:00,19:00
5478,0,07:00,15:00
5478,1,11:00,19:00
5478,2,08:00,16:00
5478,3,12:00,20:00
5478,4,12:00,20:00
5478,5,12:00,18:00
5478,6,11:00,17:00
20178,0,08:00,16:00
20178,1,10:00,18:00
20178,2,11:00,19:00
20178,3,09:00,17:00
20178,4,13:00,21:00
20178,5,13:00,19:00
14525,0,13:00,21:00
14525,1,13:00,21:00
14525,2,08:00,16:00
14525,3,12:00,20:00
14525,4,10:00,18:00
3814,0,09:00,17:00
3814,1,08:00,16:00
3814,2,08:00,16:00
3814,3,13:00,21:00
3814,4,09:00,17:00
3814,5,07:00,13:00
9162,0,10:00,18:00
9162,1,07:00,15:00
9162,2,09:00,17:00
9162,3,13:00,21:00
9162,4,09:00,17:00
13755,0,09:00,17:00
13755,1,13:00,21:00
13755,2,07:00,15:00
13755,3,12:00,20:00
13755,4,10:00,18:00
13755,5,11:00,17:00
13755,6,07:00,13:00
4986,0,07:00,15:00
4986,1,11:00,19:00
4986,2,09:00,17:00
4986,3,13:00,21:00
4986,4,12:00,20:00
4986,5,11:00,17:00
18796,0,11:00,19:00
18796,1,08:00,16:00
18796,2,12:00,20:00
18796,3,07:00,15:00
18796,4,07:00,15:00
18796,5,12:00,18:00
13718,0,13:00,21:00
13718,1,09:00,17:00
13718,2,07:00,15:00
13718,3,13:00,21:00
13718,4,08:00,16:00
15259,0,10:00,18:00
15259,1,09:00,17:00
15259,2,10:00,18:00
15259,3,12:00,20:00
15259,4,13:00,21:00
20961,0,08:00,16:00
20961,1,09:00,17:00
20961,2,09:00,17:00
20961,3,08:00,16:00
20961,4,12:00,20:00
20961,5,09:00,15:00
4631,0,12:00,20:00
4631,1,12:00,20:00
4631,2,07:00,15:00
4631,3,11:00,19:00
4631,4,12:00,20:00
4631,5,08:00,14:00
4631,6,11:00,17:00
10050,0,08:00,16:00
10050,1,08:00,16:00
10050,2,10:00,18:00
10050,3,10:00,18:00
10050,4,09:00,17:00
10050,5,12:00,18:00
10050,6,12:00,18:00
5658,0,08:00,16:00
5658,1,12:00,20:00
5658,2,09:00,17:00
5658,3,13:00,21:00
5658,4,13:00,21:00
5658,5,13:00,19:00
5658,6,07:00,13:00
448,0,13:00,21:00
448,1,07:00,15:00
448,2,13:00,21:00
448,3,09:00,17:00
448,4,10:00,18:00
13726,0,07:00,15:00
13726,1,08:00,16:00
13726,2,11:00,19:00
13726,3,12:00,20:00
13726,4,09:00,17:00
13726,5,08:00,14:00
15595,0,10:00,18:00
15595,1,10:00,18:00
15595,2,12:00,20:00
15595,3,10:00,18:00
15595,4,08:00,16:00
15595,5,09:00,15:00
15595,6,08:00,14:00
3449,0,12:00,20:00
3449,1,11:00,19:00
3449,2,11:00,19:00
3449,3,09:00,17:00
3449,4,12:00,20:00
11974,0,10:00,18:00
11974,1,11:00,19:00
11974,2,10:00,18:00
11974,3,09:00,17:00
11974,4,08:00,16:00
11974,5,08:00,14:00
11974,6,11:00,17:00
19416,0,07:00,15:00
19416,1,13:00,21:00
19416,2,07:00,15:00
19416,3,13:00,21:00
19416,4,07:00,15:00
19416,5,08:00,14:00
13765,0,08:00,16:00
13765,1,13:00,21:00
13765,2,12:00,20:00
13765,3,10:00,18:00
13765,4,11:00,19:00
13765,5,07:00,13:00
13765,6,10:00,16:00
14755,0,11:00,19:00
14755,1,10:00,18:00
14755,2,11:00,19:00
14755,3,09:00,17:00
14755,4,11:00,19:00
14755,5,13:00,19:00
6952,0,12:00,20:00
6952,1,12:00,20:00
6952,2,07:00,15:00
6952,3,12:00,20:00
6952,4,11:00,19:00
16369,0,13:00,21:00
16369,1,12:00,20:00
16369,2,09:00,17:00
16369,3,07:00,15:00
16369,4,09:00,17:00
16369,5,10:00,16:00
8123,0,10:00,18:00
8123,1,07:00,15:00
8123,2,12:00,20:00
8123,3,12:00,20:00
8123,4,09:00,17:00
2728,0,13:00,21:00
2728,1,08:00,16:00
2728,2,11:00,19:00
2728,3,07:00,15:00
2728,4,13:00,21:00
2728,5,12:00,18:00
2728,6,09:00,15:00
12282,0,11:00,19:00
12282,1,11:00,19:00
12282,2,08:00,16:00
12282,3,08:00,16:00
12282,4,09:00,17:00
12282,5,13:00,19:00
12282,6,08:00,14:00
14638,0,13:00,21:00
14638,1,11:00,19:00
14638,2,07:00,15:00
14638,3,11:00,19:00
14638,4,09:00,17:00
14638,5,10:00,16:00
14638,6,07:00,13:00
2271,0,09:00,17:00
2271,1,13:00,21:00
2271,2,13:00,21:00
2271,3,09:00,17:00
2271,4,08:00,16:00
16832,0,08:00,16:00
16832,1,11:00,19:00
16832,2,07:00,15:00
16832,3,07:00,15:00
16832,4,12:00,20:00
11861,0,13:00,21:00
11861,1,07:00,15:00
11861,2,13:00,21:00
11861,3,11:00,19:00
11861,4,13:00,21:00
11861,5,08:00,14:00
3129,0,12:00,20:00
3129,1,10:00,18:00
3129,2,11:00,19:00
3129,3,08:00,16:00
3129,4,09:00,17:00
20429,0,13:00,21:00
20429,1,11:00,19:00
20429,2,10:00,18:00
20429,3,08:00,16:00
20429,4,11:00,19:00
20429,5,13:00,19:00
20429,6,12:00,18:00
17755,0,08:00,16:00
17755,1,12:00,20:00
17755,2,09:00,17:00
17755,3,10:00,18:00
17755,4,12:00,20:00
17755,5,12:00,18:00
17755,6,09:00,15:00
3370,0,11:00,19:00
3370,1,10:00,18:00
3370,2,07:00,15:00
3370,3,08:00,16:00
3370,4,08:00,16:00
3370,5,07:00,13:00
14959,0,07:00,15:00
14959,1,11:00,19:00
14959,2,11:00,19:00
14959,3,08:00,16:00
14959,4,11:00,19:00
14959,5,08:00,14:00
13045,0,07:00,15:00
13045,1,12:00,20:00
13045,2,12:00,20:00
13045,3,07:00,15:00
13045,4,08:00,16:00
1035,0,07:00,15:00
1035,1,13:00,21:00
1035,2,09:00,17:00
1035,3,07:00,15:00
1035,4,11:00,19:00
17785,0,09:00,17:00
17785,1,12:00,20:00
17785,2,10:00,18:00
17785,3,08:00,16:00
17785,4,11:00,19:00
12908,0,12:00,20:00
12908,1,11:00,19:00
12908,2,11:00,19:00
12908,3,10:00,18:00
12908,4,08:00,16:00
