Razón Social,Estado,Municipio,Domicilio,Colonia,C.P.,Teléfono,E-mail,tipo_hospedaje,id_propietario,destino_id
HOTEL COLON,México,Texcoco,Calle COLON 218 int 0,Colonia CENTRO,56100,5959546946,elhuero23@hotmail.com,Hotel,1,82
HOTEL DULCE AMANECER,México,Timilpan,"Calle TULIPAN, MANZANA 3 120 int -",Colonia LOMAS DE SAN MIGUEL,52928,5889966315,reynajimenez.ger@outlook.com,Hotel,2,15
VILLAS DE SAN JOSE,México,Tianguistenco,Carretera LA MARQUESA TENANGO KM 23 int -,Colonia CENTRO,52600,7131330969,hotelvillasdesanjose@gmail.com,Hotel,3,4
IMPULSORA PLAZA DE ZACATECAS,México,Tlalnepantla de Baz,Avenida GUSTAVO BAZ 29 int NA,Colonia XOCOYAHUALCO,54080,5576077000,cebaz.contador@cityexpress.con.mx,Hotel,4,95
HOTEL LA MURALLA,México,Toluca,Avenida PASEO TOLLOCAN 1098 int -,Colonia SANTA ANA TLAPALTITLÁN,50160,7221991051,vermello@prodigy.net.mx,Hotel,5,36
HOTEL ROMANO,México,Toluca,Avenida FELIPE BERRIOZABAL 106 int SN,Colonia VALLE VERDE,50140,7211432955,RESERVACIONES@ELROMANO.COM.MX,Hotel,6,32
SAN ANTONIO,México,Toluca,Avenida DON CON SANTA MARIA ENDARE - int -,Colonia -,50700,7121590900,HOTELSANATNTOIO.VENTAS@GMAIL.COM,Hotel,7,29
MINICAR ATLACOMULCO SA DE CV,México,Toluca,Avenida ISIDRO FABELA SUR / int /,Condominio SAN MARTIN,50450,7121220566,FGONZALES@VW-MINICAR.COM.MX,Hotel,8,18
HOTELERA TAJO,México,Toluca,Avenida LOPEZ PORTILLO 633 int -,Colonia LA MAGDALENA,50220,7292543140,recepcionlp29@gmail.com,Hotel,9,95
HOTEL,México,Toluca,Boulevard NARCISO BASSOLS 23.5 KM int -,Colonia TENANGO DEL VALLE,52300,7225737969,hotel2.dulce.amanecer@gmail.com,Hotel,10,14
AEROPUERTO HOTEL,México,Toluca,Boulevard MIGUEL ALEMAN 300 int -,Colonia SAN PEDRO TOTOLTEPEC,50200,7222100712,HOTELAEROPUERTOTOLUCA@GMAIL.COM,Hotel,11,87
CONCORD,México,Toluca,Boulevard MIGUEL ALEMAN VALDEZ 109 int -,Colonia SAN PEDRO TOTOLTEPEC,50226,7222734654,VILACHASA@HOTMAIL.COM,Hotel,12,95
HOSPEDAJE COSMOS DEL CENTRO,México,Toluca,Calle SANTOS DEGOLLADO 204 int -,Barrio SANTA CLARA,50050,7222156036,hotelcosmos.centro@gmail.com,Hotel,13,70
HOTEL,México,Toluca,Calle MARIANO MATAMOROS 1397 int -,Colonia MODERNA DE LA CRUZ,50180,7222981504,,Hotel,14,12
HOTEL,México,Toluca,Calle AQUILES SERDAN - int -,Colonia MOLINO ARRIBA,50850,7192651564,luciajuarezsabino@gmail.com,Hotel,15,76
HOTEL LOS PINOS,México,Toluca,Avenida GUERRERO PONIENTE 108 int -,Colonia CENTRO,54240,7617342334,PUMA1955@HOTMAIL.COM,Hotel,16,55
HOTEL,México,Toluca,Boulevard MIGUEL ALEMAN 505 int -,Colonia SAN PEDRO TOTOLTEPEC,50200,,,Hotel,17,5
HOTEL RANCHO SAN DIEGO,México,Toluca,Calle IXTAPAN DE LA SAL - int -,Colonia -,51900,,,Hotel,18,4
HOTEL JUAREZ,México,Toluca,Calle RAFEL M. HIDALGO 1304 int -,Colonia VALLE VERDE Y TERMINAL,50140,7222170374,PROVEEDORES@HOTELJUAREZTOLUCA.COM,Hotel,19,12
HOTEL FIESTA INN,México,Toluca,Calle IGNACIO ALLENDE 124 int -,Colonia CENTRO,50000,7221678900,LIZBETH.FUENTES@POSADAS.COM,Hotel,20,28
REAL VALLE VERDE SAN ANGEL S.A. DE C.V.,México,Toluca,Calle ALFREDO DEL MAZO VELEZ 602 int -,Colonia VALLE VERDE,50140,7222105905,hotelvalleverde50140@hotmail.com,Hotel,21,30
HOTEL CONCORDE,México,Toluca,Calle AEROPUERTO MIGUEL ALEMÁN 119 int -,Colonia SAN PEDRO TOTOLTEPEC,50226,,vilachasa@hotmail.com,Hotel,22,65
MANSION,México,Toluca,Carretera FEDERAL LIBRE MARQUESA-TENANGO KM 23.2 int -,Colonia CENTRO,52613,,reservacion.mansion.inn@hotmail.com,Hotel,23,78
HOTEL PANAMERICANO,México,Toluca,Carretera TOLUCA-ATLACOMULCO - int -,Colonia SAN JOAQUIN,50734,7121365244,,Hotel,24,4
HOTEL BOUTIQUE,México,Toluca,Calle CALZADA AL PACIFICO 1103 int -,Colonia SAN BUENAVENTURA,50110,7221322841,h.gaxin@gmail.com,Hotel,25,72
HOTEL MARRIOTT,México,Toluca,Privada BAHIA DE TODOS LOS SANTOS 111 int .,Colonia SANTA ANA TLAPALTITLAN,50160,7228658185,,Hotel,26,26
HOTEL EJECUTIVO 8,México,Toluca,Carretera CUOTA FEDERAL TOLUCA-ATLACOMULCO KM45 int -,Colonia SAN JOAQUIN,50734,7121365244,8HOTELEJECUTIVO@GMAIL.COM,Hotel,27,92
Hotel Gran Via,México,Tultitlán,Avenida JOSE LOPEZ PORTILLO 88B int N/A,Colonia SAN FRANCISCO CHILPAN,54940,,iforrel@gmail.com,Hotel,28,84
Hotel misión,México,Valle de Bravo,Avenida Fontana brava SN int S/n,Colonia AVANDARO,51200,,,Hotel,29,90
El mirador,México,Valle de Bravo,Calle José Guadarrama 413 int S/n,Condominio Colores,51230,,gregoriogonzalez_cabrera_@hotmail.com,Hotel,30,70
Danzaluna,México,Valle de Bravo,Camino S/n S/n int 80,Paraje S/n,51200,,hdanzaluna@gmail.com,Hotel,31,54
HOTELERIA PACHUCA,México,Zumpango,Avenida LA LAGUNA S/N int SN,Barrio SAN JUAN,55600,5500000000,,Hotel,32,29
FRANCISCO JESUS,México,Zumpango,Carretera ZUMPANGO NEXTLALPAN S/N int SN,Barrio SANTA MARIA,55600,5949188084,,Hotel,33,58
GRUPO HOTELERO,México,Tultitlán,Avenida VIA JOSE LOPEZ PORTILLO 144 int N/A,Colonia BELLO HORIZONTE,54948,5558949764,,Hotel,34,76
HOTELERIA PACHUCA,México,Zumpango,Carretera CUAUTITLAN S/N int SN,Barrio SAN JUAN,55600,0159191730,CORPORATIVOLUNA@YAHOO.COM,Hotel,35,36
CORPORATIVO AWEN,México,Cuautitlán Izcalli,Avenida Chalma Sur S/N int N/A,Colonia Arcos de la Hacienda,54730,5585311013,d.gonzalez@hotelesmx.com,Hotel,36,104
HOTEL SAN LUIS,Michoacán de Ocampo,Apatzingán,Calle LICENCIADO JOSÉ MANUEL DE HERRERA 221 int NO,Colonia BABILONIA,60670,4531023109,,Hotel,37,112
MOTEL,Michoacán de Ocampo,Huandacareo,Calle N/A N/A int NA,Colonia N/A,58820,,,Hotel,38,1
HOTEL VILLA CAPRI,Michoacán de Ocampo,Morelia,Ampliación AV. FRANCISCO IMADERO 2069 int NA,Ampliación TRES PUENTES,58150,4432330550,hotelvillacapri@hotmail.com,Hotel,39,98
HOTEL POSADA DEL CORTIJO,Michoacán de Ocampo,Morelia,Calle EDUARDO RUIZ 673 int N/A,Colonia CENTRO HISTORICO,58000,4433129695,posadadelcortijo2023@gmail.com,Hotel,40,104
SAN VICENTE,Michoacán de Ocampo,Morelia,Calle Lázaro Cárdenas 472 int N/A,Colonia Ventura Puente,58020,,,Hotel,41,21
ELEGAN S,Michoacán de Ocampo,Morelia,Calzada LA HUERTA 3000 int 32,Colonia LA HUERTA,58080,4431809118,ELEGANSGRACIELA@GMAIL.COM,Hotel,42,90
HOTEL RINCON TARASCO,Michoacán de Ocampo,Morelia,Avenida GUADALUPE VICTORIA 330 int N/A,Colonia CENTRO,58000,4433173833,HOTELRICNONTARASCO@HOTMAIL.COM,Hotel,43,55
HOTEL Y RESTAURANT  GRANADA,Morelos,Cuautla,Avenida REFORMA 11 int 0,Colonia EMILIANO ZAPATA,62744,,,Hotel,44,44
HOTEL 12 CORAZONES,Morelos,Cuautla,Calle 8 SUR 2 int 0,Colonia PLAN DE AYALA,62743,,,Hotel,45,36
HOTEL LOMAS DE CUAUTLA,Morelos,Cuautla,Carretera MEXICO OAXACA 106 int 0,Colonia HERMENEGILDO GALEANA,62743,,,Hotel,46,20
HOTEL CASA COLONIAL CÁTEDRAL,Morelos,Cuernavaca,Calle Nezahualcoyotl 37 int -,Colonia Centro,62000,7773102988,gerencia.casacolonial@gmail.com,Hotel,47,28
MOTEL PETIT,Morelos,Jiutepec,Boulevard PASEO CUAUHNAHUAC KM 4 int 1912,Colonia LOS TARIANES,62577,7776586596,,Hotel,48,98
HOTEL CALIFORNIA,Morelos,Jiutepec,Boulevard CUAUHNAHUAC KM 11.5 int 14,Colonia PROGRESO,62574,7773206724,,Hotel,49,44
HOTEL COSTA DEL MORO,Morelos,Jiutepec,Boulevard CUAUHNAHUAC KM 6.4 int NO,Colonia PEDREGAL DE LAS FUENTES,62476,7773190747,,Hotel,50,14
GALEON,Morelos,Jiutepec,Calle CEDRO S/N int NO APLICA,Colonia TEXCALPAN,62578,7773203414,,Hotel,51,12
HOTEL ARCOIRIS,Morelos,Jiutepec,Carretera FEDERAL CUERNAVACA-CUAUTLA 11.5 int NO APLICA,Colonia PEDREGAL DE LAS FUENTES,62578,7776528940,,Hotel,52,49
XOLATLACO TEPOZTECO,Morelos,Tepoztlán,Calle TEPOZTLAN S/N int NO,Colonia SIN DENOMINACION,62525,7771359046,,Hotel,53,13
HOTEL SEVILLA,Morelos,Cuautla,Calle CONSPIRADORES 9 int 0,Colonia CENTRO,62740,,,Hotel,54,46
