,hospedaje_id,amenidad_id
0,1,8
1,1,2
2,1,18
3,1,16
4,1,15
5,1,9
6,1,7
7,1,6
8,2,28
9,2,3
10,2,2
11,2,6
12,2,14
13,2,15
14,2,33
15,3,2
16,3,36
17,3,13
18,3,35
19,3,27
20,3,15
21,3,29
22,4,18
23,4,1
24,4,11
25,4,28
26,4,22
27,4,40
28,4,10
29,5,22
30,5,7
31,5,6
32,5,25
33,6,23
34,6,39
35,6,17
36,7,30
37,7,35
38,7,8
39,8,6
40,8,36
41,8,19
42,8,24
43,8,13
44,8,5
45,9,15
46,9,19
47,9,6
48,10,7
49,10,25
50,10,18
51,10,30
52,11,24
53,11,11
54,11,40
55,11,23
56,11,14
57,11,18
58,11,5
59,11,39
60,12,16
61,12,11
62,12,30
63,12,25
64,12,18
65,12,15
66,12,21
67,13,15
68,13,3
69,13,21
70,14,18
71,14,5
72,14,14
73,14,37
74,14,21
75,14,38
76,15,32
77,15,26
78,15,30
79,15,10
80,15,17
81,15,9
82,15,16
83,15,36
84,16,38
85,16,28
86,16,40
87,16,26
88,16,24
89,16,15
90,16,9
91,16,33
92,17,6
93,17,4
94,17,8
95,17,10
96,17,11
97,17,28
98,18,5
99,18,25
100,18,39
101,18,30
102,18,34
103,18,17
104,18,1
105,19,8
106,19,35
107,19,18
108,19,22
109,19,40
110,19,19
111,19,28
112,19,11
113,20,1
114,20,17
115,20,33
116,20,12
117,20,38
118,20,7
119,21,20
120,21,33
121,21,13
122,21,10
123,21,24
124,21,11
125,21,34
126,21,1
127,22,21
128,22,32
129,22,2
130,22,8
131,22,24
132,22,20
133,22,16
134,23,16
135,23,37
136,23,6
137,24,32
138,24,5
139,24,35
140,25,9
141,25,31
142,25,36
143,25,11
144,26,34
145,26,39
146,26,28
147,26,14
148,26,35
149,27,13
150,27,20
151,27,26
152,27,24
153,27,29
154,27,34
155,27,36
156,27,8
157,28,15
158,28,5
159,28,22
160,28,2
161,29,36
162,29,15
163,29,38
164,29,39
165,29,1
166,29,5
167,29,4
168,30,5
169,30,3
170,30,22
171,30,33
172,31,18
173,31,32
174,31,14
175,31,35
176,32,37
177,32,31
178,32,16
179,32,27
180,33,7
181,33,28
182,33,23
183,33,27
184,34,4
185,34,7
186,34,40
187,34,26
188,34,22
189,34,39
190,35,13
191,35,35
192,35,29
193,35,9
194,36,12
195,36,18
196,36,30
197,36,16
198,36,5
199,36,29
200,37,7
201,37,4
202,37,35
203,37,1
204,37,6
205,37,16
206,37,11
207,38,32
208,38,31
209,38,14
210,38,26
211,38,4
212,38,11
213,39,1
214,39,25
215,39,17
216,39,30
217,39,19
218,39,28
219,40,36
220,40,32
221,40,10
222,40,13
223,40,19
224,40,14
225,40,4
226,40,34
227,41,21
228,41,4
229,41,39
230,41,31
231,41,33
232,41,34
233,41,11
234,41,38
235,42,6
236,42,12
237,42,5
238,42,38
239,42,16
240,42,26
241,42,8
242,43,16
243,43,38
244,43,3
245,43,6
246,43,27
247,43,34
248,43,21
249,44,14
250,44,21
251,44,16
252,44,17
253,44,26
254,45,20
255,45,30
256,45,21
257,45,5
258,46,30
259,46,40
260,46,37
261,47,5
262,47,35
263,47,14
264,48,17
265,48,9
266,48,23
267,48,5
268,48,16
269,48,24
270,48,19
271,49,29
272,49,35
273,49,20
274,49,40
275,50,34
276,50,1
277,50,36
278,50,20
279,50,7
280,50,9
281,50,17
282,50,8
283,51,36
284,51,10
285,51,18
286,52,39
287,52,14
288,52,22
289,52,17
290,52,33
291,53,17
292,53,4
293,53,6
294,53,28
295,53,18
296,53,3
297,54,22
298,54,9
299,54,17
300,55,29
301,55,36
302,55,28
303,55,1
304,56,5
305,56,10
306,56,35
307,57,24
308,57,38
309,57,36
310,58,28
311,58,9
312,58,3
313,58,20
314,59,3
315,59,23
316,59,14
317,59,16
318,59,7
319,60,36
320,60,27
321,60,40
322,60,10
323,60,16
324,61,12
325,61,27
326,61,2
327,61,22
328,62,16
329,62,18
330,62,11
331,62,7
332,62,25
333,62,3
334,63,15
335,63,13
336,63,30
337,63,23
338,63,20
339,63,40
340,64,2
341,64,13
342,64,26
343,64,22
344,65,5
345,65,18
346,65,23
347,65,33
348,65,26
349,66,35
350,66,22
351,66,2
352,66,8
353,66,17
354,66,12
355,66,36
356,66,3
357,67,39
358,67,28
359,67,23
360,68,21
361,68,28
362,68,33
363,68,8
364,68,25
365,68,13
366,68,17
367,68,3
368,69,28
369,69,1
370,69,34
371,69,35
372,69,13
373,69,24
374,69,40
375,69,5
376,70,22
377,70,21
378,70,8
379,70,20
380,70,33
381,70,37
382,70,27
383,70,39
384,71,19
385,71,36
386,71,9
387,71,13
388,71,27
389,71,25
390,72,12
391,72,37
392,72,20
393,72,26
394,72,36
395,72,1
396,72,38
397,72,19
398,73,28
399,73,38
400,73,39
401,73,21
402,74,29
403,74,40
404,74,14
405,74,33
406,74,31
407,74,11
408,75,6
409,75,19
410,75,33
411,75,22
412,75,40
413,75,16
414,75,20
415,75,15
416,76,10
417,76,2
418,76,3
419,76,16
420,77,40
421,77,5
422,77,30
423,77,27
424,77,13
425,77,25
426,78,26
427,78,16
428,78,10
429,78,1
430,78,7
431,78,28
432,79,12
433,79,34
434,79,30
435,79,4
436,80,16
437,80,8
438,80,30
439,80,9
440,80,38
441,80,34
442,80,21
443,81,40
444,81,33
445,81,28
446,81,36
447,81,29
448,81,11
449,82,31
450,82,29
451,82,17
452,82,16
453,82,18
454,82,34
455,82,32
456,82,37
457,83,29
458,83,5
459,83,19
460,83,16
461,83,18
462,84,21
463,84,35
464,84,6
465,84,9
466,84,10
467,85,25
468,85,10
469,85,14
470,85,5
471,86,27
472,86,22
473,86,35
474,86,30
475,86,40
476,86,4
477,87,27
478,87,25
479,87,38
480,87,2
481,88,25
482,88,31
483,88,1
484,88,23
485,88,20
486,88,40
487,88,27
488,89,35
489,89,39
490,89,15
491,89,32
492,89,38
493,89,18
494,89,28
495,90,2
496,90,25
497,90,22
498,90,26
499,90,11
500,90,30
501,91,40
502,91,35
503,91,2
504,91,26
505,92,37
506,92,2
507,92,6
508,92,28
509,92,9
510,92,30
511,92,12
512,93,17
513,93,25
514,93,21
515,94,30
516,94,21
517,94,22
518,94,25
519,95,27
520,95,17
521,95,6
522,95,31
523,95,2
524,96,35
525,96,4
526,96,23
527,96,15
528,96,5
529,96,3
530,96,2
531,96,16
532,97,2
533,97,40
534,97,10
535,97,16
536,98,31
537,98,8
538,98,37
539,98,14
540,99,17
541,99,24
542,99,11
543,99,8
544,99,38
545,99,20
546,100,38
547,100,2
548,100,20
549,101,25
550,101,26
551,101,13
552,101,5
553,101,16
554,101,7
555,101,20
556,102,39
557,102,8
558,102,37
559,102,3
560,102,23
561,102,35
562,102,28
563,102,24
564,103,33
565,103,22
566,103,1
567,104,32
568,104,7
569,104,28
570,104,24
571,104,30
572,104,10
573,105,12
574,105,34
575,105,18
576,105,35
577,105,31
578,105,30
579,106,38
580,106,18
581,106,21
582,106,16
583,106,6
584,106,39
585,107,16
586,107,30
587,107,37
588,107,25
589,107,22
590,107,2
591,108,21
592,108,12
593,108,32
594,108,14
595,108,23
596,108,17
597,109,18
598,109,39
599,109,36
600,109,1
601,109,34
602,110,6
603,110,16
604,110,27
605,110,32
606,111,16
607,111,31
608,111,32
609,111,29
610,111,2
611,111,6
612,111,19
613,112,26
614,112,16
615,112,20
616,112,38
617,113,31
618,113,36
619,113,34
620,113,23
621,113,28
622,114,36
623,114,22
624,114,23
625,114,30
626,114,18
627,114,20
628,114,17
629,114,15
630,115,13
631,115,21
632,115,8
633,116,35
634,116,12
635,116,13
636,116,14
637,116,31
638,116,18
639,116,34
640,116,19
641,117,13
642,117,19
643,117,15
644,118,12
645,118,20
646,118,1
647,118,35
648,118,9
649,119,3
650,119,4
651,119,36
652,119,19
653,119,9
654,120,32
655,120,7
656,120,1
657,120,37
658,120,19
659,120,31
660,120,35
661,120,29
662,121,12
663,121,4
664,121,17
665,121,31
666,121,8
667,122,26
668,122,32
669,122,5
670,123,4
671,123,10
672,123,39
673,123,37
674,123,20
675,123,6
676,123,16
677,124,36
678,124,27
679,124,39
680,125,40
681,125,15
682,125,34
683,125,25
684,125,29
685,125,36
686,125,20
687,126,28
688,126,20
689,126,37
690,126,4
691,126,7
692,126,14
693,126,35
694,127,6
695,127,11
696,127,16
697,127,12
698,127,36
699,128,11
700,128,1
701,128,27
702,129,39
703,129,31
704,129,19
705,129,3
706,129,15
707,129,38
708,130,19
709,130,30
710,130,5
711,130,15
712,130,17
713,130,13
714,130,28
715,130,8
716,131,15
717,131,10
718,131,18
719,131,39
720,131,5
721,131,4
722,131,11
723,132,39
724,132,37
725,132,19
726,132,29
727,132,8
728,133,20
729,133,26
730,133,18
731,133,33
732,133,35
733,133,32
734,134,6
735,134,39
736,134,3
737,134,28
738,134,21
739,134,17
740,135,6
741,135,15
742,135,37
743,136,2
744,136,18
745,136,37
746,136,3
747,136,12
748,136,31
749,136,34
750,137,29
751,137,18
752,137,12
753,137,28
754,137,32
755,137,6
756,137,31
757,137,23
758,138,22
759,138,21
760,138,7
761,138,11
762,138,40
763,138,27
764,139,32
765,139,19
766,139,26
767,139,36
768,139,3
769,139,30
770,139,6
771,139,21
772,140,21
773,140,8
774,140,26
775,140,33
