review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,2120010279,Alimentos y bebidas,Chess Club I,Manuel Gómez Morin,Hornos Insurgentes ,Guerrero,Acapulco de Juárez
,2120010278,Alimentos y bebidas,Chess Club II,Manuel Gómez Morin,Hornos Insurgentes ,Guerrero,Acapulco de Juárez
,4120350003,Agencia de viajes,Turismo Mared,Miguel Hidalgo .,Centro,Guerrero,Iguala de la Independencia
,2120010146,Alimentos y bebidas,Starbucks Coffee La Isla Acapulco ,Blvd. de las Naciones .,Playa Diamante,Guerrero,Acapulco de Juárez
,2120010277,Alimentos y bebidas,Restaurante Bar La Unión ,Av. Costera Miguel Alemán,Fraccionamiento Hornos,Guerrero,Acapulco de Juárez
,4120380114,Agencia de viajes,VIAJES MARPLAY ZIHUATANEJO,CALLE NICOLAS BRAVO,CENTRO,Guerrero,Zihuatanejo de Azueta
,2120010159,Alimentos y bebidas,Burger King Diana,Av. Costera Miguel Alemán S/N Loc.,Magallanes,Guerrero,Acapulco de Juárez
,1120380260,Hospedaje,HOTEL J.B.,Carretera escenica a Playa La Ropa,La Ropa,Guerrero,Zihuatanejo de Azueta
,31120380119,Guía de turistas,Miguel Angel Morales Ramìrez,Sin nùmero,Aeropuerto,Guerrero,Zihuatanejo de Azueta
,4120010257,Agencia de viajes,Ay! Travel Agencia de Viajes,Costera Miguel Alemán,Magallanes,Guerrero,Acapulco de Juárez
,2120010309,Alimentos y bebidas,Restaurant Alba,Av. La Barra de Coyuca,Barra de Coyuca ,Guerrero,Acapulco de Juárez
,2120010311,Alimentos y bebidas,Restaurante Mar de Noche   ,AV. Fuerza Aérea Mexicana N°.,Pie de la Cuesta ,Guerrero,Acapulco de Juárez
,2120010310,Alimentos y bebidas,Restaurante Acapulquito ,AV. Fuerza Aérea N°,Pie de la Cuesta ,Guerrero,Acapulco de Juárez
,4120010254,Agencia de viajes,Acapulco Kingdom,Monte Blanco Mz.,Praderas de Costa Azul,Guerrero,Acapulco de Juárez
,11120010001,Arrendadora de autos,Thrifty,Aeropuerto Internacional de Acapulco,Ampliación la Maquina,Guerrero,Acapulco de Juárez
,11120380002,Arrendadora de autos,Firefly,Zihuatanejo,Joyas de Ixtapa,Guerrero,Zihuatanejo de Azueta
,11120380001,Arrendadora de autos,Hertz,Interior Aeropuerto Zihuatanejo,Marina Ixtapa,Guerrero,Zihuatanejo de Azueta
,2120010194,Alimentos y bebidas,Starbucks Coffee Acapulco Costa Azul,Costera Miguel Alemán .,Costa Azul,Guerrero,Acapulco de Juárez
,31120380123,Guía de turistas,Etelberto Lagunas Mena,Blvd. Ixtapa,Ixtapa,Guerrero,Zihuatanejo de Azueta
,2120010151,Alimentos y bebidas,Domino´s Pizza Costa Azul,Costera Miguel Alemán,Costa Azul,Guerrero,Acapulco de Juárez
,2120010307,Alimentos y bebidas,La Barra 520,"Av. Costera Miguel Alemán, Núm.",Fracc. Magallanes ,Guerrero,Acapulco de Juárez
,2120210009,Alimentos y bebidas,Enramada Itzayana,Avenida sin mbre s/n,Barra de Coyuca ,Guerrero,Coyuca de Benítez
,2120210008,Alimentos y bebidas,Enramada Hawaii 5-0,Miguel Hidalgo N°.,Barra de Coyuca ,Guerrero,Coyuca de Benítez
