review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,4010013872,Agencia de viajes,MOOD TRAVELER,Benjamin de la Mora,Guadalupe,Aguascalientes,Aguascalientes
,2010010161,Alimentos y bebidas,Burger King Aguascalientes ,Avenida Aguascalientes,Jardines de La Asunción,Aguascalientes,Aguascalientes
,4010013983,Agencia de viajes,TURITIME,De la Infantería,Mujeres Ilustres,Aguascalientes,Aguascalientes
,2010010151,Alimentos y bebidas,Domino´s Pizza Aguascalientes Inegi ,Boulevard Aguascalientes Sur,Jardines de La Asunción,Aguascalientes,Aguascalientes
,4010014004,Agencia de viajes,Travel the world,Av. Convención de,Jesús Terán,Aguascalientes,Aguascalientes
,2010010135,Alimentos y bebidas,Starbucks Coffee Aguascalientes Asunción ,José María Chávez ,Agricultura,Aguascalientes,Aguascalientes
,2010010209,Alimentos y bebidas,Cenaduría Farolito,Moctezuma,Centro,Aguascalientes,Aguascalientes
,2010010147,Alimentos y bebidas,Burger King Colosio,Av. Independencia .,Jardines de la Concepción,Aguascalientes,Aguascalientes
,4010013895,Agencia de viajes,NAGESA TOURS,5 de Febrero no,La Estación,Aguascalientes,Aguascalientes
,4010013969,Agencia de viajes,AGENCIA DE VIAJES BRILLO DEL MAR,Av. San Francisco de los Viveros,Balcones de Oriente,Aguascalientes,Aguascalientes
,4010013970,Agencia de viajes,HODO ¡Tu Próximo Viaje!,Río Tíber .,Fracc. Colinas del Río ,Aguascalientes,Aguascalientes
,4010013975,Agencia de viajes,ZERTRAVEL,Prolongación Zaragoza,Valle de las Trojes,Aguascalientes,Aguascalientes
,4010013827,Agencia de viajes,BRÚJULA NEGRA AGENCIA DE VIAJES,Ignacio T  Chavez,Las Flores,Aguascalientes,Aguascalientes
,4010013896,Agencia de viajes,MAY VACATIONS AGUASCALIENTES,Acanto no,Lomas del Chapulín,Aguascalientes,Aguascalientes
,4010013900,Agencia de viajes,LEBISU GANI VIAJES,Hacienda de Cortes no,Real de Haciendas,Aguascalientes,Aguascalientes
,33010110001,Parque temático,RANCHO ENTRE OLIVOS,Carretera 45 Zac-Ags . 20.5,La Providencia,Aguascalientes,San Francisco de los Romo
,11010010010,Arrendadora de autos,Thrifty,Carretera Panamericana . 22,El Cedazo (Cedazo de San Antonio),Aguascalientes,Aguascalientes
,2010060005,Alimentos y bebidas,E´LAN RESTAURANT,Carr. Valladolid-Emilia Zapata,Ejido El Garabato,Aguascalientes,Pabellón de Arteaga
,4010110664,Agencia de viajes,SOFT TRAVEL,Juárez,Centro,Aguascalientes,San Francisco de los Romo
,2010010204,Alimentos y bebidas,PIZZA LUCCA,Galeana,Centro,Aguascalientes,Aguascalientes
,1010010186,Hospedaje,GRAN ARJE,Naranjo,Circunvalación Poniente,Aguascalientes,Aguascalientes
,4010014006,Agencia de viajes,Wanderlust Tours Ags,Av. La Querencia,La Querencia,Aguascalientes,Aguascalientes
,4010013878,Agencia de viajes,Agencia de Viajes 'Huakai',Avenida Heroe Inmortal no,Morelos I,Aguascalientes,Aguascalientes
,4010053819,Agencia de viajes,Vive la Vida Travel,Avenida gales,Bosques del Paraiso,Aguascalientes,Jesús María
,4010013656,Agencia de viajes,IMAGINE TOURS,Jardin de Guadalupe,Lindavista,Aguascalientes,Aguascalientes
,2010010219,Alimentos y bebidas,Starbucks Coffee,Convención Pte.,Olivares Santana,Aguascalientes,Aguascalientes
,33010060004,Parque temático,VINÍCOLA EL AGUAJE,Carretera Garabato a Emilia Zapata,Ejido Garabato,Aguascalientes,Pabellón de Arteaga
,4010053821,Agencia de viajes,PASSAPORTO,Calzada Navarra,Residencial Alcázar,Aguascalientes,Jesús María
,11010010002,Arrendadora de autos,THRIFTY CAR RENTAL,"Carretera Panamericana, 22",El Cedazo (Cedazo de San Antonio),Aguascalientes,Aguascalientes
,1010010134,Hospedaje,City Express by Marriott Aguascalientes Sur,José María Chávez ,San Pedro,Aguascalientes,Aguascalientes
,2010010210,Alimentos y bebidas,Crokas,Moctezuma,Centro,Aguascalientes,Aguascalientes
,2010010141,Alimentos y bebidas,Domino´s Pizza Aguascalientes Bosques,Av. Aguascalientes rte .,Bosques del Prado Norte,Aguascalientes,Aguascalientes
,33010040001,Parque temático,Vinícola El Secreto,"Cami Rancho San José, Carr Cosío Ags",Ejido La Punta,Aguascalientes,Cosío
,1010040001,Hospedaje,Vinícola El Secreto,"Cami Rancho San José, Carr Cosío Ags",Ejido La Punta,Aguascalientes,Cosío
,2010040001,Alimentos y bebidas,Vinícola El Secreto,"Cami Rancho San José, Carr Cosío Ags",Ejido La Punta,Aguascalientes,Cosío
,33010040002,Parque temático,Vinícola El Secreto,"Cami Rancho San José, Carr Cosío Ags",Ejido La Punta,Aguascalientes,Cosío
,1010040002,Hospedaje,Vinícola El Secreto,"Cami Rancho San José, Carr Cosío Ags",Ejido La Punta,Aguascalientes,Cosío
,4010013864,Agencia de viajes,SHEKINAH TOURS,Loma Azul,Lomas del Mirador,Aguascalientes,Aguascalientes
,2010060003,Alimentos y bebidas,EXPERIENCIAS UBUNTU,Carretera 10 Garabato-Santiago . 2,Ejido Santiago,Aguascalientes,Pabellón de Arteaga
,4010013976,Agencia de viajes,TRAVELAND AGS,Cordillera de los Alpes,Jardines de la Concepción,Aguascalientes,Aguascalientes
,4010013977,Agencia de viajes,TRAVELAND AGS,Cordillera de los Alpes,Jardines de la Concepción,Aguascalientes,Aguascalientes
,4010013660,Agencia de viajes,VIAJES 3B,José Ma. Velasco no,Santa Anita,Aguascalientes,Aguascalientes
,2010010220,Alimentos y bebidas,SONORA´S MEAT AGUASCALIENTES,Av. Aguascalientes Sur,Jardines de las Fuentes,Aguascalientes,Aguascalientes
,4010013999,Agencia de viajes,DREAMERS TOURS,Av. Heroe Inmortal,Jardines de Casa Nueva,Aguascalientes,Aguascalientes
,4010014000,Agencia de viajes,GODIN ERRANTE,González Saracho,Centro,Aguascalientes,Aguascalientes
,4010014001,Agencia de viajes,GABY´S TOURS,Felipe Ángeles,Jesús Terán,Aguascalientes,Aguascalientes
,2010010222,Alimentos y bebidas,NEKUATIK Dulces Mexicanos,Venustia Carranza,Centro,Aguascalientes,Aguascalientes
,4010014010,Agencia de viajes,VIAJES JOLLY ROGER,Juan G. Alvarado,Villas de Ntra. Sra. de la Asunción,Aguascalientes,Aguascalientes
,4010013978,Agencia de viajes,ZAMAR TRAVEL,Av. Ojocaliente,Ojocaliente II,Aguascalientes,Aguascalientes
,4010053820,Agencia de viajes,DREAMS TRAVEL,Circuito Campida,Condominio Belmondo,Aguascalientes,Jesús María
,4010014005,Agencia de viajes,Diversity Travel,Ezequiel A. Chávez,Barrio de la Purisima,Aguascalientes,Aguascalientes
,4010014007,Agencia de viajes,VIAJES TURISTICOS MAC,Francisco Melchor,La Salud,Aguascalientes,Aguascalientes
,4010090002,Agencia de viajes,VIAJES MARMOLEJO,Victoria,Centro,Aguascalientes,Tepezalá
,33010010001,Parque temático,CLUB HIPICO ECUESTRE REAL CAÑADA HONDA,Circuito Londres,Real Cañada Honda,Aguascalientes,Aguascalientes
,2010010162,Alimentos y bebidas,Burger King Colosio ,Av. Independencia .,Jardines de la Concepción,Aguascalientes,Aguascalientes
,4010014015,Agencia de viajes,Pasos Viajeros By Fraveo ,República De Panamá,Las Americas ,Aguascalientes,Aguascalientes
,2010030011,Alimentos y bebidas,RESTAURANT LAS TRANCAS,Blvd Rodolfo Landeros Gallegos,La Panadera,Aguascalientes,Calvillo
,2010010195,Alimentos y bebidas,Starbucks Coffee,Av. Independencia,Nueva Rinconada,Aguascalientes,Aguascalientes
,4010013985,Agencia de viajes,POSTAL VIAJES,Eduardo J. Correa,Barrio de San Marcos,Aguascalientes,Aguascalientes
,4010013993,Agencia de viajes,Travel Tin,Virgen de Lourdes .,La Estrella,Aguascalientes,Aguascalientes
,4010010639,Agencia de viajes,EL SABUESO ERRANTE,Avenida Convencion de,Jesús Terán Peredo,Aguascalientes,Aguascalientes
,4010013971,Agencia de viajes,SYA VIAJES,Carlos Sagredo,San Cayetano,Aguascalientes,Aguascalientes
,2010010144,Alimentos y bebidas,Domino´s Pizza Aguascalientes La Fuente,Av. Convención de,Residencial del Valle I,Aguascalientes,Aguascalientes
,4010013986,Agencia de viajes,Viajes Ohana,Calle José Reyes Martinez,Gremial,Aguascalientes,Aguascalientes
,33010050001,Parque temático,VIÑEDOS CASA LEAL,Antiguo Cami a Zacatecas,Viñedos Casa Leal,Aguascalientes,Jesús María
,27010010005,Agencia integradora de servicios,GLOBAL PLANNER,Prol. Ignacio Zaragoza,Valle de las Trojes,Aguascalientes,Aguascalientes
,4010014013,Agencia de viajes,Viandante Adventure ,Revolucion,Loma Bonita ,Aguascalientes,Aguascalientes
,4010013964,Agencia de viajes,TOURISTA,Éba,El Plateado,Aguascalientes,Aguascalientes
,2010010214,Alimentos y bebidas,NEVERIA EL ANTIGUO AS,Alameda,Barrio de la Purisima,Aguascalientes,Aguascalientes
,2010010215,Alimentos y bebidas,NEVERIA EL ANTIGUO AS,Alameda,Barrio de la Purisima,Aguascalientes,Aguascalientes
,1010010185,Hospedaje,CASA CARRANZA CIENTOVEINTE,Venustia Carranza,Centro,Aguascalientes,Aguascalientes
,2010060004,Alimentos y bebidas,HACIENDA DE SAN LUIS DE LETRAS,Teodoro Olivares s/n,San Luis de Letras,Aguascalientes,Pabellón de Arteaga
,1010060002,Hospedaje,HACIENDA DE SAN LUIS DE LETRAS,Teodoro Olivares s/n,San Luis de Letras,Aguascalientes,Pabellón de Arteaga
,4010013965,Agencia de viajes,VAGANCY,San Ignacio,Centro,Aguascalientes,Aguascalientes
,4010013904,Agencia de viajes,XIIMBAL TOURS,Maria Luisa Mier Madrazo no,Rodolfo Landeros Gallegos,Aguascalientes,Aguascalientes
,2010010216,Alimentos y bebidas,SERRANIS PIZZA VILLASUNCIÓN,C. C. Villasunción local,Prados de Villasunción,Aguascalientes,Aguascalientes
,11010010001,Arrendadora de autos,AVIS AGU ,"Carretera Panaméricana, 22, Local 8, s/n",Peñuelas (El Cienegal),Aguascalientes,Aguascalientes
,33010080001,Parque temático,Parque Temático La Alameda,Circuito Armando Rodríguez,Pdte. Elias Calles,Aguascalientes,San José de Gracia
,4010014002,Agencia de viajes,MILLENIAL TRAVELS,Av. Independencia,Circunvalación Norte,Aguascalientes,Aguascalientes
,4010053818,Agencia de viajes,FORASTEROS,Regidores,Ayuntamiento,Aguascalientes,Jesús María
,1010010184,Hospedaje,HOTEL REAL PLAZA AGUASCALENTES,Av. Adolfo López Mateos,Centro,Aguascalientes,Aguascalientes
,1010010183,Hospedaje,HOTEL REAL PLAZA AGUASCALIENTES,Av. Adolfo López Mateos,Centro,Aguascalientes,Aguascalientes
,2010010211,Alimentos y bebidas,HOTEL REAL PLAZA AGUASCALIENTES,Av. Adolfo López Mateos,Centro,Aguascalientes,Aguascalientes
,4010013979,Agencia de viajes,EMOJIS TRAVEL AGENCY,Av. rias Centenarias,Villa de las Norias,Aguascalientes,Aguascalientes
,33010060001,Parque temático,VIÑA LAS CRUCES,Plan Grande s/n,Ejido Emiliano Zapata,Aguascalientes,Pabellón de Arteaga
,2010050013,Alimentos y bebidas,RESTAURANTE PUENTE VIEJO PICACHO,Carretera 70 Poniente . 12,Villas de Monteclaro,Aguascalientes,Jesús María
,1010010179,Hospedaje,HOTEL QUINTA REAL AGUASCALIENTES,Avenida Aguascalientes ,Jardines de La Asunción,Aguascalientes,Aguascalientes
,4010013890,Agencia de viajes,"VIAJERO CHECK IN ""AGENCIA DE VIAJES""",Prolongación Gral. Ignacio Zaragoza NO,Trojes de Alonso,Aguascalientes,Aguascalientes
,11010010008,Arrendadora de autos,THRIFTY CAR RENTAL,Avenida Independencia,Sartenejo,Aguascalientes,Aguascalientes
,2010010217,Alimentos y bebidas,COYOACÁN CAFEBRERÍA,Venustia Carranza,Centro,Aguascalientes,Aguascalientes
,2010010150,Alimentos y bebidas,Domino´s Pizza AGS Altaria.,Boulevard a Zacatecas .,Trojes de Alonso,Aguascalientes,Aguascalientes
,2010010163,Alimentos y bebidas,Burger King Altaria,Blvd. a Zacatecas .,Trojes de Alonso,Aguascalientes,Aguascalientes
,2010010138,Alimentos y bebidas,Starbucks Coffee City Express Aguascalientes,José María Chávez,San Pedro,Aguascalientes,Aguascalientes
,4010013972,Agencia de viajes,BRIO ADVENTURE,Vivero del Alamo,Casa Blanca,Aguascalientes,Aguascalientes
,4010013994,Agencia de viajes,MONCHO´S TOURS,Av. José Joaquín Herrera,Solidaridad 3a. Sección,Aguascalientes,Aguascalientes
,2010010201,Alimentos y bebidas,Domino´s Pizza,Siglo XXI rte .,Porta Real,Aguascalientes,Jesús María
,2010010202,Alimentos y bebidas,Domino´s Pizza,Siglo XXI . .,Villa de Nuestra Señora de La Asunción Sector Encino,Aguascalientes,Aguascalientes
,4010014011,Agencia de viajes,Corazón Nómada Tours,,Paseos del Sol,Aguascalientes,Aguascalientes
,5010010783,Transportadora turística,HIDROSKY,Prolongación Libertad,Las Arboledas,Aguascalientes,Aguascalientes
,4010013960,Agencia de viajes,TURIDESTINOS AGENCIA DE VIAJES,Circuito Coral,Barlovento,Aguascalientes,Aguascalientes
,2010010205,Alimentos y bebidas,DECO21 BISTRO,Montes Himalaya,Jardines de la Concepción,Aguascalientes,Aguascalientes
,4010013987,Agencia de viajes,MYA´S TRAVEL,Carlos Sagredo,San Cayetano,Aguascalientes,Aguascalientes
,1010010154,Hospedaje,IBIS AGUASCALIENTES NORTE,Boulevard Aguascalientes Zacatecas no,Arroyo El Molino,Aguascalientes,Aguascalientes
,4010014008,Agencia de viajes,Bokobá by Gani Viajes,Sierra Nevada,Los Bosques,Aguascalientes,Aguascalientes
,4010013737,Agencia de viajes,CAXI Estación de Viajes,Avenida Convencion Sur,Santa Elena,Aguascalientes,Aguascalientes
,4010013959,Agencia de viajes,Revel Travel,Avenida Monte Blanco,Trojes de Oriente 2da. Sección,Aguascalientes,Aguascalientes
,2010010212,Alimentos y bebidas,LA RESACA BARBACOA,Av. Universidad,Bosques del Prado Sur,Aguascalientes,Aguascalientes
,4010014009,Agencia de viajes,Vaiven Travel Store,Pozo de la Plata no,Pozo Bravo Norte,Aguascalientes,Aguascalientes
,4010013724,Agencia de viajes, TIME2 TRAVEL,Avenida Aguascalientes Norte,Bosques del Prado Norte,Aguascalientes,Aguascalientes
,2010070002,Alimentos y bebidas,HACIENDA EL SAUCILLO,Cami Real,El Saucillo,Aguascalientes,Rincón de Romos
,4010053814,Agencia de viajes,TU TRAYECTO,Avenida Villa Plata no,Alcázar Residencial,Aguascalientes,Jesús María
,4010013988,Agencia de viajes,Radar Travel,Hda. de Chapingo .,Real de Haciendas,Aguascalientes,Aguascalientes
,4010013735,Agencia de viajes,VIAJES CIELITO LINDO,Miguel Meneses,La Purísima,Aguascalientes,Aguascalientes
,4010080001,Agencia de viajes,Agencia de Viajes De Extremo a Extremo,Edmundo Gamez Orozco,Las Cañadas,Aguascalientes,San José de Gracia
,2010010133,Alimentos y bebidas,Starbucks Coffee Colosio,Prolongación Ignacio Zaragoza .,Valle de las Trojes,Aguascalientes,Aguascalientes
,2010010134,Alimentos y bebidas,Starbucks Coffee Altaria,Blvd. A Zacatecas,Trojes de Alonso,Aguascalientes,Aguascalientes
