review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,31130390003,Guía de turistas,Luis Fernando Escorza Avila ,Cerrada Bartolome de Medina .,Barrio Santa Teresa,Hidalgo,Mineral del Monte
,2130480081,Alimentos y bebidas,Dominos Pizza Zona Plateada ,Av. Camino Real de la Plata ,Zona Plateada,Hidalgo,Pachuca de Soto
,1130100001,Hospedaje,City Express By Marriott Tula,Carretera Jorobas Tula,Loma del Barrio del Cardonal,Hidalgo,Atitalaquia
,31130380009,Guía de turistas,Armando Ángeles Hernández ,,El puente,Hidalgo,Mineral del Chico
,4130480173,Agencia de viajes,Zazil Viajes,Priv. Mina de Concepción,Fracc. Priv. Mina de Concepción,Hidalgo,Pachuca de Soto
,4130480176,Agencia de viajes,Agencia de Viajes Álbum de Viajes ,Privada María .,Fraccionamiento Santa Teresa ,Hidalgo,Pachuca de Soto
,2130480042,Alimentos y bebidas,Starbucks Coffee Galerías Pachuca ,Cami Real de la Plata .,Zona Plateada,Hidalgo,Pachuca de Soto
,2130480043,Alimentos y bebidas,Starbucks Coffee Pachuca DT ,Blvd. Everardo Marquez .,Periodistas,Hidalgo,Pachuca de Soto
,4130080003,Agencia de viajes,Agencia de Viajes Odahoo Tours,5 DE MAYO ORIENTE,Centro,Hidalgo,Apan
,1130240036,Hospedaje,Hotel Santa Cecilia la Mora Huasca ,Carretera Pachuca  Huasca Km 7,La Mora,Hidalgo,Huasca de Ocampo
,1130560002,Hospedaje,Hotel Campestre El Mirador,Cami Santiago-Altepemila .,Alta Luz,Hidalgo,Santiago Tulantepec de Lugo Guerrero
,1130309445,Hospedaje,Hotel Club Alcantara,Peña y Ramirez .,Centro,Hidalgo,Ixmiquilpan
,2130570001,Alimentos y bebidas,Los Escamoles de San Miguel,Carretera Federal Mexico-Tuxpan 67,La estancia,Hidalgo,Singuilucan
,2130450001,Alimentos y bebidas,'La Mejor Cecina de Omitlán',Carretera México Tampico km 22 no,Omitlán de Juárez Centro,Hidalgo,Omitlán de Juárez
,2130240020,Alimentos y bebidas,Rancho Santa Elena ,Domicilio Co cido Rancho Santa Elena,Santo Domingo Aguazarca,Hidalgo,Huasca de Ocampo
,4130480168,Agencia de viajes,EK Travel,Dr. Manuel Gea González .,Doctores,Hidalgo,Pachuca de Soto
,1130240040,Hospedaje,Villas Los Ocalos,Libramiento Huasca San Miguel Regla,San Miguel Regla,Hidalgo,Huasca de Ocampo
,2130480066,Alimentos y bebidas,MyM´S Pizza,Avenida Juárez,Articulo 123,Hidalgo,Pachuca de Soto
,31130510007,Guía de turistas,María Elena Silvia Santos Rosas,Del Mango,Campestre Villas del Álamo,Hidalgo,Mineral de la Reforma
,1130150004,Hospedaje,La Gloria Tolantongo,Camino La Gloria Tolantongo,La Mesa,Hidalgo,Cardonal
,2130150002,Alimentos y bebidas,La Gloria Tolantongo,Camino La Gloria Tolantongo,La Mesa,Hidalgo,Cardonal
,28130150002,Balneario y parque acuático,La Gloria Tolantongo,Camino La Gloria Tolantongo,La Mesa,Hidalgo,Cardonal
,1130309439,Hospedaje,Parque Acuático Pueblo Nuevo,Manantial Santa Cira .,Pueblo Nuevo,Hidalgo,Ixmiquilpan
,28130300007,Balneario y parque acuático,Parque Acuático Pueblo Nuevo,Manantial Santa Cira ,Pueblo Nuevo,Hidalgo,Ixmiquilpan
,1130280004,Hospedaje,Hotel Fayad,Hidalgo y Morelos s/n,Huejutla de Reyes Centro,Hidalgo,Huejutla de Reyes
,1130280003,Hospedaje,Hotel los Mangos ,Melchor Ocampo,Juárez,Hidalgo,Huejutla de Reyes
,1130280001,Hospedaje,Hotel Media Luna Inn,Coauhila,Tahuizan,Hidalgo,Huejutla de Reyes
,2130280001,Alimentos y bebidas,Restaurant La Vega,Carretera México Tampico,Olímpica,Hidalgo,Huejutla de Reyes
