review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,2290330097,Alimentos y bebidas,Café BUNTE ,"Plaza Inn, Núm no",Tlaxcala Centro,Tlaxcala,Tlaxcala
,35290210006,Tour operador,Servicios Isondues,Hidalgo,Domingo Arenas,Tlaxcala,Nanacamilpa de Mariano Arista
,1290060012,Hospedaje,Cabañas Blancas,Porfirio Bonilla,La Soledad,Tlaxcala,Calpulalpan
,1290210021,Hospedaje,"Hospedaje Rural Familiar ""Salvar-Tierra""",Alvaro Obregon,San Felipe Hidalgo,Tlaxcala,Nanacamilpa de Mariano Arista
,4290360001,Agencia de viajes,Génesis,Suiza,San Francisco Ocotelulco,Tlaxcala,Totolac
,32290060023,Operadora de aventura/naturaleza,Experiencia Magueyera Saniz,Prolongación Morelos Núm.,San Felipe Soltepec,Tlaxcala,Calpulalpan
,32290210047,Operadora de aventura/naturaleza,Centro Turístico El Moral,Cami a la Obra Núm.,Guadalupe Tepuente,Tlaxcala,Nanacamilpa de Mariano Arista
,2290520002,Alimentos y bebidas,Restaurant Bar La Cabaña,Carretera Perimetral km.10,1ra. Sección San José Teacalco,Tlaxcala,San José Teacalco
,2290330108,Alimentos y bebidas,MICHELANDIA,Constitución ,Tlaxcala Centro,Tlaxcala,Tlaxcala
,4290330020,Agencia de viajes,EL JARDIN DEL VIAJE,Prol. Xicohténcatl,Tlaxcala Centro,Tlaxcala,Tlaxcala
,1290330055,Hospedaje,HOTEL DE LA CAPILLA,Calle de la capilla abierta .,Tlaxcala,Tlaxcala,Tlaxcala
,2290130046,Alimentos y bebidas,Buffa Wings Huamantla,Negrete Pte.,Centro,Tlaxcala,Huamantla
,2290130047,Alimentos y bebidas,El Gran Buffet,C. Reforma rte .,Centro ,Tlaxcala,Huamantla
,2290130048,Alimentos y bebidas,Restaurante Reforma,Reforma Sur .,Centro,Tlaxcala,Huamantla
,2290130049,Alimentos y bebidas,Saborio ,Allende nte .,Huamantla Centro,Tlaxcala,Huamantla
,2290130050,Alimentos y bebidas,El Cuartel Café,Roberto Cobarrubias rte .,Centro,Tlaxcala,Huamantla
,4290300001,Agencia de viajes,La Ruta de la Miel,,Guadalupe Victoria,Tlaxcala,Terrenate
,2290130051,Alimentos y bebidas,Saborio,Hidalgo Poniente .,Huamantla Centro,Tlaxcala,Huamantla
,2290130052,Alimentos y bebidas,Restaurante & Bar La Conviteria,Sobre Blvd. Luis Donaldo Colosio .,Barrio Santa Maria Yancuitlalpan,Tlaxcala,Huamantla
,2290130053,Alimentos y bebidas,Churrería Porfirio Huamantla,Juárez Nte .,Centro,Tlaxcala,Huamantla
,2290130054,Alimentos y bebidas,La Planta Baja,Juarez rte .,Centro,Tlaxcala,Huamantla
,2290130055,Alimentos y bebidas,Restaurante Bar El Campanario,Hidalgo Poniente .,Centro,Tlaxcala,Huamantla
,2290130056,Alimentos y bebidas,Restaurante Piedra y Olivo,Hidalgo Pte. .,Barrio Sta. Cruz,Tlaxcala,Huamantla
,31290050007,Guía de turistas,RENE DELGADO CASTAÑEDA,CALLE,CENTRO,Tlaxcala,Apizaco
,2290130057,Alimentos y bebidas,Restaurante La Plazuela,Hidalgo Pte. .,Barrio Sta. Cruz,Tlaxcala,Huamantla
,33290130001,Parque temático,Arte Mágico de Huamantla,Guerrero Sur .,Centro,Tlaxcala,Huamantla
,2290130058,Alimentos y bebidas,El Farallón Mariscos Bar,Juarez rte .,Centro,Tlaxcala,Huamantla
,1290130020,Hospedaje,Hotel Calesa,Juárez Sur .,Centro,Tlaxcala,Huamantla
,2290130059,Alimentos y bebidas,La Catrina,Negrete Oriente .,Centro,Tlaxcala,Huamantla
,2290130060,Alimentos y bebidas,Mantra,Allende rte .,Centro,Tlaxcala,Huamantla
,2290130061,Alimentos y bebidas,Toro Bravo Food & Drinks,Matamoros Oriente .,Centro,Tlaxcala,Huamantla
,29290130001,Campo de golf,Campo de Golf Country Club Soltepec,Carretera 3 Huamantla - Puebla,Ignacio Zaragoza,Tlaxcala,Huamantla
,2290130040,Alimentos y bebidas,Cantaritos Bar,Blvd. Juan Pablo II,Centro,Tlaxcala,Huamantla
,2290130041,Alimentos y bebidas,Café La Gloria,Hidalgo .,Centro,Tlaxcala,Huamantla
,2290130042,Alimentos y bebidas,Restaurante 'El Quinto Toro',Juarez .,Centro,Tlaxcala,Huamantla
,2290130043,Alimentos y bebidas,PAMOWY,,Barrio San Sebastian,Tlaxcala,Huamantla
,1290130018,Hospedaje,Hotel Azucena,Zaragoza Oriente .,Centro,Tlaxcala,Huamantla
,2290130044,Alimentos y bebidas,La Josefa,Juárez rte .,Centro ,Tlaxcala,Huamantla
,2290130045,Alimentos y bebidas,Restaurante - Bar Ruinas Cultura Tlaxcalteca,Blvd. Yancuitlalpan,Barrio Santa Maria Yancuitlalpan,Tlaxcala,Huamantla
,1290130019,Hospedaje,Hotel Tepeyac,Morelos Poniente .,Centro,Tlaxcala,Huamantla
,31290210074,Guía de turistas,Julio Cruz Brindis ,C.5 de mayo,San Felipe Hidalgo,Tlaxcala,Nanacamilpa de Mariano Arista
,32290340002,Operadora de aventura/naturaleza,La Peñuela,Rancho Tetzitzilica S/n,"Colonia, La Rosa",Tlaxcala,Tlaxco
,31290210091,Guía de turistas,Alberto Marcial Vargas Cortes,Cami a Atzompan,San Felipe Hidalgo,Tlaxcala,Nanacamilpa de Mariano Arista
,32290210042,Operadora de aventura/naturaleza,Tours Luciernagas,Blvd. Revolución .,Nanacamilpa,Tlaxcala,Nanacamilpa de Mariano Arista
,1290060014,Hospedaje,Bonhomia Suites,Carretera Mex - Ver .,San Rafael,Tlaxcala,Calpulalpan
,32290210043,Operadora de aventura/naturaleza,Rancho Huertas,Cami a Comunidad de Tepuente Fracc.,Bosque Santuario de las Luciérnagas,Tlaxcala,Nanacamilpa de Mariano Arista
,2290210011,Alimentos y bebidas,Restaurante Bar 'El Magueyal',Allende .,Obregón,Tlaxcala,Nanacamilpa de Mariano Arista
,32290210044,Operadora de aventura/naturaleza,Centro Ecoturístico Kopitlán,Cami La Palangana,Ciudad de Nanacamilpa,Tlaxcala,Nanacamilpa de Mariano Arista
,27290210002,Agencia integradora de servicios,Bosque Mágico,Privada Juárez .,Barrio Francisco Villa,Tlaxcala,Nanacamilpa de Mariano Arista
,2290210014,Alimentos y bebidas,Restaurant DAIMARU,C. Revolución núm.,Infonavit Nanancamilpa,Tlaxcala,Nanacamilpa de Mariano Arista
,2290210012,Alimentos y bebidas,Mercado La Estación,Privada Juárez .,Barrio Francisco Villa,Tlaxcala,Nanacamilpa de Mariano Arista
,2290210013,Alimentos y bebidas,Café La Antigua,Privada Juárez .,Barrio Francisco Villa,Tlaxcala,Nanacamilpa de Mariano Arista
,1290120001,Hospedaje,Hotel Anbaroa Villas,Av. Álvaro Obregón .,Pueblo La Magdalena Cuextotitla,Tlaxcala,Españita
,35290230002,Tour operador,Taller de Dulces Típicos y Artesanales Ramírez,Acoyotl .,Pueblo San Miguel del Milagro,Tlaxcala,Natívitas
,2290340023,Alimentos y bebidas,La Barquita de San Ándres,Domingo Arenas .,José Maria Morelos Buenavista,Tlaxcala,Tlaxco
,5290210001,Transportadora turística,Transportadora Turística Ciclo Tours,Escobedo .,Francisco Villa,Tlaxcala,Nanacamilpa de Mariano Arista
,32290210045,Operadora de aventura/naturaleza,Granja Salma,Cami al Forestal 2.4,San Felipe Hidalgo,Tlaxcala,Nanacamilpa de Mariano Arista
,32290210046,Operadora de aventura/naturaleza,Tres Villas,Cami a Santa Clara 2.7,Santa Clara el Corte,Tlaxcala,Nanacamilpa de Mariano Arista
,1290210038,Hospedaje,Cabañas Sierra Nevada,Cami Secundaria Tecnica .,Nanacamilpa,Tlaxcala,Nanacamilpa de Mariano Arista
,1290330058,Hospedaje,Hotel Casa Tlaxcalli,Av.,Centro,Tlaxcala,Tlaxcala
,33290340001,Parque temático,RANCHOLANDIA,Rancho Toltecapa S/n,Rancho Toltecapa,Tlaxcala,Tlaxco
,1290210032,Hospedaje,Hotel JR,Calle 16 de septiembre,Chapultepec,Tlaxcala,Nanacamilpa de Mariano Arista
,1290340028,Hospedaje,Alquería Central Hotel Boutique,16 de Septiembre,Tlaxco,Tlaxcala,Tlaxco
,2290340019,Alimentos y bebidas,Tlaxco de mi Corazón ,16 de septiembre,Tlaxco,Tlaxcala,Tlaxco
,2290050030,Alimentos y bebidas,El Breve Espacio ,,10 de Mayo ,Tlaxcala,Apizaco
,35290130009,Tour operador,Tour Aventura TLX,Calle,Barrio Resurrección ,Tlaxcala,Huamantla
,2290230008,Alimentos y bebidas,Casa Taurina,Sta. Isabel Xoxtla ,Santa Águeda,Tlaxcala,Tetlatlahuca
,2290330106,Alimentos y bebidas,Domino´s Pizza Tlaxcala Centro,Julian Carrillo .,Tlaxcala Centro,Tlaxcala,Tlaxcala
,31290210013,Guía de turistas,Domingo Morales Juárez,Del Campesino,San Felipe Hidalgo,Tlaxcala,Nanacamilpa de Mariano Arista
,2290330049,Alimentos y bebidas,Restaurante Leña y Olivo,Cami Real .,Santa María Ixtulco,Tlaxcala,Tlaxcala
,2290230001,Alimentos y bebidas,La Route Des Vins,"Carretera Xoxtla, Sta. Isabel Tetlatlahuca",Santa Isabel Tetlatlahuca,Tlaxcala,Tetlatlahuca
,1290330028,Hospedaje,Hotel Real del Lago,Av. de los Deportes .,Adolfo López Mateos,Tlaxcala,Tlaxcala
,2290130036,Alimentos y bebidas,Salón Restaurante Variedades,C. Juárez rte Núm.,Centro,Tlaxcala,Huamantla
,4290330036,Agencia de viajes,Almadie Excelencia en Viajes by FraVEO,Cerrada Alamos .,Loma Bonita,Tlaxcala,Tlaxcala
,35290340005,Tour operador,Ganadería el Grullo   ,Carretera ApizacoTlaxco y Km16 Rancheria Sta. Elena 022,RANCHO COAXAMALUCAN,Tlaxcala,Tlaxco
,1290050036,Hospedaje,Hotel Malinalli Express,Boulevard Alamos Núm.,Centro,Tlaxcala,Apizaco
,35290340004,Tour operador,Tlaxco Operadora Turística ,Calle Independencia ,Tlaxco,Tlaxcala,Tlaxco
,2290330117,Alimentos y bebidas,GS RESTAURANT TLAXCALA ,BOULEVARD  REVOLUCIÓN .,LA GARITA ,Tlaxcala,Tlaxcala
,2290330069,Alimentos y bebidas,Starbucks Coffee Galerias Tlaxcala,Libramiento Poniente Tlaxcala 328 Local 151,San Sebastián Atlahapa,Tlaxcala,Tlaxcala
,2290130038,Alimentos y bebidas,ESLABROS RESTAURANTE ,Reforma rte .,Centro,Tlaxcala,Huamantla
,1290050037,Hospedaje,HOTEL LUIS ALBERTO S.A de C.V. ,,Boulevard ,Tlaxcala,Apizaco
,2290050027,Alimentos y bebidas,SPINETTA,,Boulevard,Tlaxcala,Apizaco
,2290210008,Alimentos y bebidas,Villas del Bosque Santa Clara ,Cami al Forestal K.m,San Felipe Hidalgo,Tlaxcala,Nanacamilpa de Mariano Arista
,31290330007,Guía de turistas,Joanna Michel Maldonado,Rivera del Zahuapan no,Adolfo López Mateos,Tlaxcala,Tlaxcala
,2290330120,Alimentos y bebidas,Restaurante Liverpool Tlaxcala,Av. Libramiento Tlaxcala,San Sebastián Atlahapa,Tlaxcala,Tlaxcala
,2290330083,Alimentos y bebidas,CASA TAURINA ,AVENIDA INDEPENDENCIA .,Tlaxcala Centro,Tlaxcala,Tlaxcala
,28290450001,Balneario y parque acuático,El Tejocote,Mupal a Benito Juárez no,Benito Juárez,Tlaxcala,Benito Juárez
,2290330074,Alimentos y bebidas,Domino´s Pizza Tlaxcala.,Guillermo Valle .,Tlaxcala Centro,Tlaxcala,Tlaxcala
,2290330121,Alimentos y bebidas,"Oliva, Horno Leña Vino ",Plaza Xicohténcatl Núm.,Centro,Tlaxcala,Tlaxcala
,27290330007,Agencia integradora de servicios,Escala,C. Amarotla Núm.,Fraccionamiento Amarotla,Tlaxcala,Tlaxcala
,28290580001,Balneario y parque acuático,CENTRO RECREATIVO Y DEPORTIVO AYOTLI ,CALLE ZARAGOZA no,Santa Catarina Ayometla,Tlaxcala,Santa Catarina Ayometla
,1290260001,Hospedaje,Motel Oro Verde,Calle Emilio Carranza,Santa Cruz Tlaxcala,Tlaxcala,Santa Cruz Tlaxcala
,2290340017,Alimentos y bebidas,LA AZOTEA,Independencia Nacional,Tlaxco,Tlaxcala,Tlaxco
,2290330101,Alimentos y bebidas,DELITZIA,Plaza de la Constitución .,Tlaxcala Centro,Tlaxcala,Tlaxcala
,31290210064,Guía de turistas,Benita Hernández Zamudio,Aldama,Chapultepec,Tlaxcala,Nanacamilpa de Mariano Arista
,31290210065,Guía de turistas,Esteban García Fernández,Aldama,Chapultepec,Tlaxcala,Nanacamilpa de Mariano Arista
,31290210066,Guía de turistas,Jaquelin García Hernández,Aldama,Chapultepec,Tlaxcala,Nanacamilpa de Mariano Arista
,31290210067,Guía de turistas,Gustavo García Hernández ,Aldama,Chapultepec,Tlaxcala,Nanacamilpa de Mariano Arista
,31290210083,Guía de turistas,MAGDALENA ROSALBA MORALES JUAREZ ,Carrillo Puerto ,San Felipe Hidalgo,Tlaxcala,Nanacamilpa de Mariano Arista
,2290130039,Alimentos y bebidas,HERRADERO ROOF GARDEN,JUAREZ NORTE,CENTRO,Tlaxcala,Huamantla
,2290130037,Alimentos y bebidas,RESTAURANTE MERENDERO CAMPESTRE,,Barrio San Antonio,Tlaxcala,Huamantla
,1290020009,Hospedaje,Hotel Boutique Casa Del Bosque,C. Progreso Núm.,San Esteban Tizatlan ,Tlaxcala,Apetatitlán de Antonio Carvajal
,1290130016,Hospedaje,HOTEL MALINCHE,,Barrio San Antonio ,Tlaxcala,Huamantla
,2290260004,Alimentos y bebidas,RESTAURANT BAR LAS TRUCHAS ,Av. Trinidad .,Sta. Cruz Tlaxcala ,Tlaxcala,Santa Cruz Tlaxcala
,28290260002,Balneario y parque acuático,BALNEARIO 'LAS TRUCHAS' ,Av. Trinidad .,Sta. Cruz ,Tlaxcala,Santa Cruz Tlaxcala
,1290330053,Hospedaje,HOTEL BOUTIQUE LAS TORRES,Av. Vicente Guerrero .,Centro ,Tlaxcala,Tlaxcala
,2290100012,Alimentos y bebidas,Terraza Gourmet,Bernardo Picazo,Santa Ana Chiautempan Centro,Tlaxcala,Chiautempan
,1290060013,Hospedaje,HOTEL BOUTIQUE CASA RAFAELITA ,Guillermo Prieto N,Centro ,Tlaxcala,Calpulalpan
,1290130013,Hospedaje,HOTEL DEL PARQUE ,Parque Juarez .,Huamantla Centro ,Tlaxcala,Huamantla
,2290060008,Alimentos y bebidas,CAFE RESTAURANTE LA PARROQUIA ,Galeana .,Centro ,Tlaxcala,Calpulalpan
,35290210008,Tour operador,Tlali Nantli ,Calle Benito Juárez,Barrio Obregón ,Tlaxcala,Nanacamilpa de Mariano Arista
,1290330039,Hospedaje,"HOTEL XIADANI RESTAURANTE, TEMAZCAL Y SPA ",LOS PINOS .,La Trinidad Tepehitec,Tlaxcala,Tlaxcala
,2290340016,Alimentos y bebidas,La Casona de Don Agustín,Plaza Principal ,Tlaxco,Tlaxcala,Tlaxco
,2290060116,Alimentos y bebidas,Capuchina,Calle,Centro ,Tlaxcala,Calpulalpan
,2290130035,Alimentos y bebidas,LA MAGIA DEL JARDIN AÑORANZA ,Allende sur .,Centro ,Tlaxcala,Huamantla
,2290130062,Alimentos y bebidas,Natural Express,C. Hidalgo Poniente Núm.,Centro,Tlaxcala,Huamantla
,1290330054,Hospedaje,Mesón Santa Rosa,Avinida Independencia Núm.,Centro,Tlaxcala,Tlaxcala
,2290330116,Alimentos y bebidas,Mesón Santa Rosa,Avenida Independencia Núm.,Centro ,Tlaxcala,Tlaxcala
,35290210007,Tour operador,GO Travel Tlaxcala,C. Benito Juárez Núm.,Nanacamilpa,Tlaxcala,Nanacamilpa de Mariano Arista
,2290340024,Alimentos y bebidas,Km 18,Carretera Apizaco-Tlaxco  Km 18,Rancho el Grullo,Tlaxcala,Tlaxco
,2290340003,Alimentos y bebidas,Restaurante Rincón Taurino,Plaza Principal ,Tlaxco,Tlaxcala,Tlaxco
,1290210034,Hospedaje,HOSTAL  LOS MANANTIALES ,kilometro,Camino al forestal,Tlaxcala,Nanacamilpa de Mariano Arista
,32290210035,Operadora de aventura/naturaleza,Villas del Bosque Santa Clara,Camino al Forestal,San Felipe Hidalgo,Tlaxcala,Nanacamilpa de Mariano Arista
,2290330088,Alimentos y bebidas,LA CASA DE LOS HACENDADOS ,Plaza de la Constitución .,Tlaxcala Centro,Tlaxcala,Tlaxcala
,2290330122,Alimentos y bebidas,CHOCOLATLI,Calle Lira yOrtega Núm.,"Centro, Tlaxcala",Tlaxcala,Tlaxcala
,32290210011,Operadora de aventura/naturaleza,CENTRO TURÍSTICO LAGUNA AZUL,Calle de las Cabañas,San Felipe Hidalgo,Tlaxcala,Nanacamilpa de Mariano Arista
,1290210010,Hospedaje,Rancho La Soledad,Cami Nanacamilpa Tepuente ,La Villa,Tlaxcala,Nanacamilpa de Mariano Arista
,1290210011,Hospedaje,CENTRO TURÍSTICO LAGUNA AZUL,Calle de las Cabañas,San Felipe Hidalgo,Tlaxcala,Nanacamilpa de Mariano Arista
,1290360006,Hospedaje,Hotel Cancalli Business & Suites, Aldama ,Acxotla del Río,Tlaxcala,Totolac
