review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,4270030003,Agencia de viajes,Soñare Tours Tabasco ,Miguel Hidalgo,Frontera Centro,Tabasco,Centla
,4270044295,Agencia de viajes,TURISMO GUAYACÁN AGENCIA DE VIAJES ,Calle Aquiles Serdán ,Atasta,Tabasco,Centro
,4270044234,Agencia de viajes,GRACE VIAJES Y EVENTOS,CALLE UNO,Reforma,Tabasco,Centro
,2270040083,Alimentos y bebidas,Starbucks Coffee Paseo Tabasco ,Prol. Paseo Tabasco .,Galaxia/tabasco 2000,Tabasco,Centro
,27270040002,Agencia integradora de servicios,Denice Cuevas Catalán Wedding Planner & Events,1 NORTE no,San Ángel,Tabasco,Centro
,31270050006,Guía de turistas,LUIS RAÚL NARANJO LÁZARO ,Calle Jac o López .,Colonia Villa Chichicapa ,Tabasco,Comalcalco
,35270100001,Tour operador,BEEL TOURS ,Calle José María Morelos .,Colonia Barrio La Guadalupe ,Tabasco,Jalpa de Méndez
,4270044290,Agencia de viajes,Oda Travel,Av. Esmeralda Mza.,Hacienda Esmeralda,Tabasco,Centro
,1270170010,Hospedaje,Hotel Carbot ,Calle,Colonia Benito Juárez García ,Tabasco,Tenosique
,2270040084,Alimentos y bebidas,Starbucks Coffee CM Cd. Deportiva ,Av. Heróico Colegio Militar,Atasta,Tabasco,Centro
,2270040085,Alimentos y bebidas,Starbucks Coffee Galerías Tabasco ,Prol. Paseo Tabasco .,Los Ríos,Tabasco,Centro
,4270044296,Agencia de viajes,BEE TRAVEL CO AGENCIA DE VIAJES ,José Gorostiza,Medellin y Madero 2a Secc,Tabasco,Centro
,1270120002,Hospedaje,Hotel Claudia ,Lerdo de Tejada ,Macuspana Centro,Tabasco,Macuspana
,4270044280,Agencia de viajes,VIAJES VACARTE,LAS AMERICAS,Lidia Esther Mónica de Portilla,Tabasco,Centro
,4270044289,Agencia de viajes,Creatur,Av. Paseo Tabasco .,Tabasco 2000,Tabasco,Centro
,1270049988,Hospedaje,Hotel Marriott Villahermosa,Av. Paseo Tabasco ,Galaxia/tabasco 2000,Tabasco,Centro
,2270040086,Alimentos y bebidas,Starbucks Coffee Altabrisa Tabasco ,Periférico Carlos Pellicer Cámara .,Primero de Mayo,Tabasco,Centro
,2270040112,Alimentos y bebidas,Restaurante Pescados & Mariscos,FELIPE CARRILLO PUERTO,ATASTA,Tabasco,Centro
,2270040113,Alimentos y bebidas,EL RINCÓN TABASQUEÑO ,Carretera Estatal Villahermosa a Luis Gil Pérez 0.700,Ranchería Ixtacomitán 1ra Sección ,Tabasco,Centro
,35270040002,Tour operador,Locura de Vida México ,Calle,Colonia San Ángel ,Tabasco,Centro
,4270044294,Agencia de viajes,H&P Agencia de Viajes ,Joaquin Pedrero,Centro ,Tabasco,Centro
,27270040003,Agencia integradora de servicios,Dexperiencia,Ave. José Pages Llergo,Arboledas,Tabasco,Centro
,12700410000,Hospedaje,Hotel La Venta Inn,Adolfo Ruiz Cortines,Oropeza,Tabasco,Centro
,4270044292,Agencia de viajes,ROQUE ONLINE TOURS TABASCO ,Calle Ignacio Zarazoza .,Colonia Centro,Tabasco,Centro
,2270040100,Alimentos y bebidas,Restaurante Liverpool Villahermosa Altabrisa,Interior Carlos Pellicer Camara,Primero de Mayo,Tabasco,Centro
,4270100001,Agencia de viajes,G D  TRANFERS,Calle Benito Juárez García .,Colonia Barrio de Santa Ana,Tabasco,Jalpa de Méndez
,4270044287,Agencia de viajes,Olmexa Tours,Vulcanólogos,Gaviotas Sur Sección San Jose,Tabasco,Centro
,2270040088,Alimentos y bebidas,Starbucks Coffee Sendero Villahermosa,Av. Carlos Pellicer Cámara .,José María Pino Suárez,Tabasco,Centro
,2270130002,Alimentos y bebidas,El Sazón Yokot´an ,Carretera Villahermosa a Nacajuca 6.5,Ranchería Saloya 1ra Sección ,Tabasco,Nacajuca
,2270130003,Alimentos y bebidas,Restaurante El Guajolote Choco Criollo ,Carretera Villahermosa a Nacajuca 4.5,Ranchería Saloya 2da Sección ,Tabasco,Nacajuca
,4270044240,Agencia de viajes,TRAVEL RUIZ,Periférico Carlos Pellicer Cámara ,Galaxia/tabasco 2000,Tabasco,Centro
,31270150009,Guía de turistas,MATEO GÓMEZ MARTÍNEZ ,Calle S/n no,Arroyo Chispa,Tabasco,Tacotalpa
,1270020007,Hospedaje,HOTEL MADAN CÁRDENAS ,Calle Francisco Trujillo Gurría .,Colonia Pueblo Nuevo,Tabasco,Cárdenas
,2270020008,Alimentos y bebidas,Restaurante Los Ciruelos ,Calle Francisco Trujillo Gurría .,Colonia Pueblo Nuevo ,Tabasco,Cárdenas
,2270040114,Alimentos y bebidas,Restaurante Madan ,Avenida Francisco I. Madero .,Colonia Centro,Tabasco,Centro
,31270040010,Guía de turistas,Jannet del Carmen Vidal Garcia,Proyectistas ,Gaviotas Sur Sección San Jose,Tabasco,Centro
,4270130002,Agencia de viajes,OXYGEN PEAKS,Calle Macuili,Fracc. Brisas de Carrizal,Tabasco,Nacajuca
,4270030002,Agencia de viajes,FAMILY TOURS AGENCIA DE VIAJES ,Calle Josefa Ortiz de Domínguez s/n,Fraccionamiento Grijalva II,Tabasco,Centla
,4270030001,Agencia de viajes,FAMILY TOURS AGENCIA DE VIAJES ,Calle Josefa Ortiz de Domínguez s/n,Fraccionamiento Grijalva II,Tabasco,Centla
,4270044274,Agencia de viajes,Viajes Tabasco,Avenida Paseo Tabasco ,Galaxia/tabasco 2000,Tabasco,Centro
,5270040017,Transportadora turística,Transportadora Turística CAMGO,Plutarco Elías Calles ,Jesús Garcia,Tabasco,Centro
,2270130006,Alimentos y bebidas,Restaurante Sazón Ancestral ,Carretera Villahermosa - Nacajuca 12,Ranchería Saloya 1ra Sección ,Tabasco,Nacajuca
,2270040087,Alimentos y bebidas,Starbucks Coffee Plaza Mayorca,Circuito Interior Carlos Peliicer Camara .,La Choca,Tabasco,Centro
,4270044283,Agencia de viajes,Destino Sur DMC / Wigo Viajes ,Avenida Samarkanda ,Galaxia/tabasco 2000,Tabasco,Centro
,35270040003,Tour operador,TOURS TABASCO,Carretera a Bosques de Saloya 1,Ranchería Emiliano Zapata ,Tabasco,Centro
,4270044293,Agencia de viajes,VILLATOURS TABASCO,Avenida,Colonia Centro,Tabasco,Centro
,1270049995,Hospedaje,Hotel Viva Villahermosa ,Boulevard Adolfo Ruíz Cortines,Lindavista,Tabasco,Centro
,2270040013,Alimentos y bebidas,Bar La Cantina (Hotel Viva Villahermosa),Boulevard Adolfo Ruíz Cortines,Lindavista,Tabasco,Centro
,2270040014,Alimentos y bebidas,Centro Nocturno La Troje (Hotel Viva Villahermosa),Boulervard Adolfo Ruíz Cortines,Lindavista,Tabasco,Centro
,2270040009,Alimentos y bebidas,Restaurante La Hacienda (Hotel Viva Villahermosa),Boulevard Adolfo Ruíz Cortines,Lindavista,Tabasco,Centro
,2270040010,Alimentos y bebidas,Bar Cantaritos (Hotel Viva Villahermosa),Boulevard Adolfo Ruíz Cortines,Lindavista,Tabasco,Centro
,4270044256,Agencia de viajes,Mahaná Travel,Calle 7,Santa Elena,Tabasco,Centro
,4270044248,Agencia de viajes,Surline Travel,CALLE RAMÓN GALGUERA NOVEROLA,Carlos Pellicer Camara,Tabasco,Centro
,4270044291,Agencia de viajes,GuíaTours Mx,Rosales .,Centro ,Tabasco,Centro
,1270160002,Hospedaje,Hotel Villa Rica de la Veracruz ,Boulevard Francisco Trujillo Gurría .,Colonia Centro,Tabasco,Teapa
,1270170011,Hospedaje,Hotel La Roca,CALLE,SAN MIGUELITO,Tabasco,Tenosique
,2270057065,Alimentos y bebidas,Hits Kitchen,LIC. ADOLFO LÓPEZ MATEO,CENTRO,Tabasco,Comalcalco
,2270010002,Alimentos y bebidas,GRANO DE ORO CAFÉ ,Avenida,Luis Donaldo Colosio Murrieta ,Tabasco,Balancán
,2270040003,Alimentos y bebidas,Fiesta Inn Villahermosa Cencali.,Benito Juárez Garcia .,Lindavista,Tabasco,Centro
,2270010001,Alimentos y bebidas,Restaurante Barro y Leña 94,Av. Periférico,Periférico,Tabasco,Balancán
,1270170009,Hospedaje,Hotel Alva Boutique,CALLE,Centro,Tabasco,Tenosique
,1270140001,Hospedaje,City Express By Marriott Paraíso ,Carretera Federal Paraíso El Bellote,La Ceiba,Tabasco,Paraíso
,2270140028,Alimentos y bebidas,Restaurante El Costeño de Chiltepec,González,Puerto Chiltepec,Tabasco,Paraíso
,4270044281,Agencia de viajes,Adevi Tours ,Privada 2 de Febrero,Plutarco Elías Calles (Cura Hueso),Tabasco,Centro
,2270057067,Alimentos y bebidas,LA CAMPESINA DEL CACAO ,CARR PRINCIPAL A BELISARIO DOMINGUEZ,Betania,Tabasco,Comalcalco
,2270057066,Alimentos y bebidas,Hits Pizzas,BENITO JUAREZ GARCIA,CENTRO,Tabasco,Comalcalco
,4270050002,Agencia de viajes,VIATOREM Agencia de Viajes ,V. Carlos Greene Mza,Infonavit,Tabasco,Comalcalco
,35270040001,Tour operador,G TRAVEL DMC,"CALLE GOLONDRINA, MZ",COLONIA FRACC. EL PARAISO,Tabasco,Centro
,4270044288,Agencia de viajes,Tabasco.Travel,Periferico Carlos Pellicer Cámara,Galaxia/tabasco 2000,Tabasco,Centro
,2270130004,Alimentos y bebidas,QUELONIOS RESTAURANTE ,Carretera Villahermosa a Nacajuca,Ranchería Saloya 2da. Sección,Tabasco,Nacajuca
,2270130005,Alimentos y bebidas,COCTELERÍA PANCHO LÓPEZ ,Carretera Villahermosa a Nacajuca 15,Ranchería Arroyo ,Tabasco,Nacajuca
,31270030001,Guía de turistas,Cristel Del Carmen Reyes Jiménez ,Calle Ignacio Aldama s/n,Villa Vecente Guerrero,Tabasco,Centla
,1270160003,Hospedaje,Hotel Diamante Teapa,Calle Estrella Córdova Matus .,Colonia Chacuiba ,Tabasco,Teapa
,2270160003,Alimentos y bebidas,Restaurante Grill 28 Teapa,Calle Estrella Córdova Matus .,Colonia Chacuiba ,Tabasco,Teapa
,3127016c5201a,Guía de turistas,Francisco Sánchez Asencio,Carretera Teapa a Pichucalco,Ignacio Allende 2a Secc,Tabasco,Teapa
,05270032c7c25,Transportadora turística,Parador Turístico El Negro Chon,Frontera a Jonuta,San Juanito De Tres Brazos,Tabasco,Centla
,0227003777e92,Alimentos y bebidas,Restaurante Turístico Familiar El Negro Chon,Frontera a Jonuta,San Juanito De Tres Brazos,Tabasco,Centla
,0527003ee4192,Transportadora turística,Servicios Turísticos Boca Tres Brazos,Frontera a Jonuta,San Juanito De Tres Brazos,Tabasco,Centla
,0127003759873,Hospedaje,Cabañas El Negro Chon,Frontera a Jonuta,San Juanito De Tres Brazos,Tabasco,Centla
,0127004e7f49c,Hospedaje,Hotel Boutique Menta y Cacao,Narciso Saenz,Villahermosa Centro,Tabasco,Centro
,35270047a440e,Tour operador,Adventure Jaguar Mx,Lilas,Villa de las Flores,Tabasco,Centro
,042700488858f,Agencia de viajes,Viajes Ecoexpress by Fraveo,Avenida Samarkanda,Galaxia/tabasco 2000,Tabasco,Centro
,0127003c71a5e,Hospedaje,Coco Beach Tabasco,La Playa ,La Sábana,Tabasco,Centla
,022700343999f,Alimentos y bebidas,Restaurante Miragotcha ,Villahermosa a Frontera ,Francisco I Madero,Tabasco,Centla
,0227003bd0ca6,Alimentos y bebidas,Restaurante Palapa El Puente ,Porfirio Diaz ,Nueva Esperanza De Quintín Aráuz,Tabasco,Centla
,022700376faa1,Alimentos y bebidas,CAFÉ BAR EL PASAJE ,Álvaro Obregón,Frontera Centro,Tabasco,Centla
,01270039decd5,Hospedaje,HOTEL MARMOR PLAZA ,Álvaro Obregón,Frontera Centro,Tabasco,Centla
,0227003b5049d,Alimentos y bebidas,Carnitas Y Pollos Asados ,M.Abasolo,Frontera Centro,Tabasco,Centla
,0227003951a45,Alimentos y bebidas,Restaurante Cocofish ,La Playa,La Sábana,Tabasco,Centla
,04270047a10f9,Agencia de viajes,Roma Agencia De Viajes,Sabancuy,Carrizal,Tabasco,Centro
,042700519c9c5,Agencia de viajes,"KM TRAVEL, AGENCIA DE VIAJES",OTTO WOLTER HAYER,Solidaridad Nacional A C,Tabasco,Comalcalco
,01270046de079,Hospedaje,Hotel Santo Domingo Express,AV. FRANCISCO I. MADERO,Villahermosa Centro,Tabasco,Centro
,0227004ab0675,Alimentos y bebidas,Hotel Holiday Inn Villahermosa Aeropuerto,Carretera Villahermosa a Macuspana,La Palma,Tabasco,Centro
,0427004df2c80,Agencia de viajes,SI VOY AGENCIA DE VIAJES,ENCARNACION B. DE MADRAZO,Magisterial,Tabasco,Centro
,3427004c96334,Spa,Hotel Holiday Inn Villahermosa Aeropuerto,Carretera Villahermosa a Macuspana,La Palma,Tabasco,Centro
,012700442c603,Hospedaje,Hotel Holiday Inn Villahermosa Aeropuerto,Carretera Villahermosa a Macuspana,La Palma,Tabasco,Centro
,312700441b88b,Guía de turistas,Patricia Marcella Henrica Maria Sliepenbeek,Privada Palma Diamante,Pajonal,Tabasco,Centro
,0427004033412,Agencia de viajes,womi travel,Andador Lluvia de Oro,Las Rosas,Tabasco,Centro
,0127016d082f9,Hospedaje,Hotel Casa Zafiro ,Lic. Manuel A. Jiménez,Teapa Centro,Tabasco,Teapa
,33270092ff40c,Parque temático,Granja Didáctica Pony Ranch,Principal,Aquiles Serdán 3ra. Sección (San Román),Tabasco,Jalapa
,0427004b5dd39,Agencia de viajes,Nitzafy Tours & Experience,Ramón Galguera Noverola,Carlos Pellicer Camara,Tabasco,Centro
,0427006252eaa,Agencia de viajes,Agencia de Viajes Tabtravel,And. Del Boxeo Mza,San Antonio INVITAB,Tabasco,Cunduacán
,04270040480fd,Agencia de viajes,Viajes Paz y Fe OPN,Almendra,El Espejo 1,Tabasco,Centro
,02270040d55d5,Alimentos y bebidas,Restaurante Condimento Buffet & Alta Cocina Mexicana,Paseo Tabasco,Galaxia/tabasco 2000,Tabasco,Centro
,0227004d8c50c,Alimentos y bebidas,Bar Great Room,Avenida Paseo Tabasco,Galaxia/tabasco 2000,Tabasco,Centro
,01270016a1517,Hospedaje,Hotel Balam Kú,Eusebio Castillo,Las Flores,Tabasco,Balancán
,012701637af5a,Hospedaje,Hotel EntreCerros Mesón,PLAZA INDEPENDENCIA ,Teapa Centro,Tabasco,Teapa
,0227003acd83a,Alimentos y bebidas,Panaderia Rosa Trejo - Uyotot Pajwa,Av. José Maria Morelos y Pavón,Frontera Centro,Tabasco,Centla
,0427004e61c18,Agencia de viajes,VAIR DESTINOS ,VULCANÓLOGOS ,Gaviotas Sur Sección San Jose,Tabasco,Centro
,0527016bbcbff,Transportadora turística,TURISMO TECOMAXIACAN,FRANCISCO TRIJILLO GURRIA ,La Sierra,Tabasco,Teapa
,05270048b7230,Transportadora turística,JF Travel,Cerrada del Caminero ,Primero de Mayo,Tabasco,Centro
,04270044c0fb9,Agencia de viajes,Turisimo Travel,Av Jose María Pino Suárez,Villahermosa Centro,Tabasco,Centro
,042700486f18a,Agencia de viajes,VEVIRE,VIA 2,Oropeza,Tabasco,Centro
,312701575d217,Guía de turistas,MARTHA CLAUDIA SÁNCHEZ MORENO,0,Mexiquito,Tabasco,Tacotalpa
,0227003b49c58,Alimentos y bebidas,CAFETERÍA LA MALINCHE,FELIPE JUSTO SIERRA,Deportiva,Tabasco,Centla
,0427002e3dc73,Agencia de viajes,Viajando 100pre,Abedules,Los Reyes Loma Alta,Tabasco,Cárdenas
,0127004954c68,Hospedaje,HOTEL OLMECA PLAZA,FRANCISCO I. MADERO,Villahermosa Centro,Tabasco,Centro
,0127004a816b9,Hospedaje,HOTEL GAMMA VILLAHERMOSA ,FRANCISCO I. MADERO,Villahermosa Centro,Tabasco,Centro
,0127004dd858a,Hospedaje,OLMECA PLAZA URBAN EXPRESS HOTEL,ALDAMA,Villahermosa Centro,Tabasco,Centro
