review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,4050351409,Agencia de viajes,VIAJES MARNIC SA DE CV ,DEGOLLADO no,Torreón Centro,Coahuila de Zaragoza,Torreón
,4050350087,Agencia de viajes,VIAJES NORMAR,FELICIANO COBIAN,Los Ángeles,Coahuila de Zaragoza,Torreón
,4050351464,Agencia de viajes,CAPITAL CENTENNIALS SA DE CV ,AV. ALDAMA,CENTRO,Coahuila de Zaragoza,Torreón
,2050110004,Alimentos y bebidas,RESTAURANTE MOLINO COLORADO,VIESCA,CENTRO,Coahuila de Zaragoza,General Cepeda
,4050300203,Agencia de viajes,ZUMA BY GANI VIAJES,HALITA,GUSTAVO DIAZ ORDAZ,Coahuila de Zaragoza,Saltillo
,4050190001,Agencia de viajes,AGENCIA DE VIAJES SIN LIMITE,RAYON,CENTRO,Coahuila de Zaragoza,Morelos
,4050300196,Agencia de viajes,Be Traveler,Torre del Greco .,Fracc. Sorrento,Coahuila de Zaragoza,Saltillo
,4050300202,Agencia de viajes,VIAJEROS,NAZARIO S. ORTIZ,Lagos Continental,Coahuila de Zaragoza,Saltillo
,1050300033,Hospedaje,Extended Suites,Blvd. Nazario Ortiz Garza .,Lagos Continental,Coahuila de Zaragoza,Saltillo
,1050300048,Hospedaje,VOCO SUITES SALTILLO ,VENUSTIANO CARRANZA no,Valle Hermoso,Coahuila de Zaragoza,Saltillo
,010503010bd53,Hospedaje,HOLIDAY INN EXPRESS SALTILLO ZONA AEROPUERTO,CARRETERA MONTERREY SALTILLO NO.,Jardines Coloniales,Coahuila de Zaragoza,Saltillo
,11050350001,Arrendadora de autos,Hertz,Carretera Torreón San Pedro . 9,Ejido Ignacio Allende,Coahuila de Zaragoza,Torreón
,11050300003,Arrendadora de autos,Hertz,Av. Venustia Carranza,Kiosco,Coahuila de Zaragoza,Saltillo
,11050270001,Arrendadora de autos,Hertz,Carretera Saltillo MTY . 13.5,Ramos Arizpe Centro,Coahuila de Zaragoza,Ramos Arizpe
,11050350002,Arrendadora de autos,Firefly,San Pedro 9,Aeropuerto,Coahuila de Zaragoza,Torreón
,1050300046,Hospedaje,HYATT PLACE SALTILLO,V. CARRANZA,Real de Peña,Coahuila de Zaragoza,Saltillo
,33050240001,Parque temático,Viñedos RGMX,Buena Fe .,Los Angeles,Coahuila de Zaragoza,Parras
,4050300176,Agencia de viajes,Zafiro World Trip Tours,Veracruz,República,Coahuila de Zaragoza,Saltillo
,4050300208,Agencia de viajes,TRAVEL OFFICE,BLVD. JOSE NARRO ROBLES,VILLA TOSCANA,Coahuila de Zaragoza,Saltillo
,1050200008,Hospedaje,HOTEL SABINO GORDO,ADOLFO E. ROMO no,Ciudad Melchor Múzquiz Centro,Coahuila de Zaragoza,Múzquiz
,5050350001,Transportadora turística,SITRATUR,Villa Bernini,Villas del Renacimiento,Coahuila de Zaragoza,Torreón
,1050300047,Hospedaje,HOTEL SAN JORGE,MANUEL ACUÑA no,Saltillo Centro,Coahuila de Zaragoza,Saltillo
,4050300100,Agencia de viajes,B&C TRAVEL,José Narro Robles,Los González,Coahuila de Zaragoza,Saltillo
,4050351453,Agencia de viajes,SIGUIENTE AVENTURA,Punta Estrella,San Felipe,Coahuila de Zaragoza,Torreón
,2050350055,Alimentos y bebidas,Starbucks Coffee Galerías Laguna ,Av. Periférico Raúl López Sánchez .,Residencial el Fresno,Coahuila de Zaragoza,Torreón
,2050350092,Alimentos y bebidas,VICTORIA S  PASSTICERIA,BLVD INDEPENDENCIA,NAVARRO,Coahuila de Zaragoza,Torreón
,2050300101,Alimentos y bebidas,RESTAURANTE GOURMET SALTILLO,BLVD EULALIO GUTIERREZ,EX HACIENDA SAN JOSE DE LOS CERRITOS,Coahuila de Zaragoza,Saltillo
,4050351468,Agencia de viajes,VIAJES INTERLAG,AV. MATAMOROS,CENTRO,Coahuila de Zaragoza,Torreón
,4050351463,Agencia de viajes,M TURISMO,AGUSTIN,FRACCIONAMIENTO REAL SAN AGUSTIN,Coahuila de Zaragoza,Torreón
,4050300123,Agencia de viajes,VIAGGI TOURS,VENUSTIANO CARRANZA,Virreyes Residencial,Coahuila de Zaragoza,Saltillo
,1050300003,Hospedaje,COURTYARD BY MARRIOT SALTILLO,BOULEVARD GALERIAS SALTILLO NO.,Residencial los Parques,Coahuila de Zaragoza,Saltillo
,33050240002,Parque temático,RGMX,Buena Fe .,Los Angeles,Coahuila de Zaragoza,Parras
,27050070001,Agencia integradora de servicios,SERTUCO,PDTE. CARRANZA,Cuatro Ciénegas de Carranza Centro,Coahuila de Zaragoza,Cuatro Ciénegas
,1050070004,Hospedaje,HOSTAL DOÑA CARLOTA,PDTE. CARRANZA,Cuatro Ciénegas de Carranza Centro,Coahuila de Zaragoza,Cuatro Ciénegas
,1050070003,Hospedaje,HOTEL PLAZA,ZARAGOZA,Cuatro Ciénegas de Carranza Centro,Coahuila de Zaragoza,Cuatro Ciénegas
,1050180015,Hospedaje,HOTEL LUDIVINA,BENITO JUAREZ,Los Pinos,Coahuila de Zaragoza,Monclova
,2050300041,Alimentos y bebidas,Domino´s Pizza Saltillo,Blvd. Venustia Carranza .,República,Coahuila de Zaragoza,Saltillo
,2050070005,Alimentos y bebidas,RESTAURANT  LA CASONA,ZARAGOZA,Cuatro Ciénegas de Carranza Centro,Coahuila de Zaragoza,Cuatro Ciénegas
,1050180014,Hospedaje,HOTEL ROYAL INN MONCLOVA,HIDALGO,Monclova Centro,Coahuila de Zaragoza,Monclova
,35050200002,Tour operador,Ecotour Muzquiz Xtreme,Cruz Maltos .,Barrio La Piedra,Coahuila de Zaragoza,Múzquiz
,1050350052,Hospedaje,Hotel Abasolo,Garcia Carrillo .,Centro,Coahuila de Zaragoza,Torreón
,4050300205,Agencia de viajes,Mundus Travel Agency,Quetzacoatl .,Fracc. Valle Real,Coahuila de Zaragoza,Saltillo
,4050300190,Agencia de viajes,Epictravels Saltillo Centro,Presidente Cardenas no,Saltillo Centro,Coahuila de Zaragoza,Saltillo
,2050300046,Alimentos y bebidas,Domino´s Pizza Mira Sierra,Blvd. Fundadores .,Ciudad Mirasierra,Coahuila de Zaragoza,Saltillo
,4050351467,Agencia de viajes,TURISMO SALINAS,MARIA MONTESSORI,La Unión,Coahuila de Zaragoza,Torreón
,35050120002,Tour operador,TOUR OPERACIONES RIO GRANDE,CONOCIDO SN,CENTRO,Coahuila de Zaragoza,Guerrero
,4050300154,Agencia de viajes,RS VIAJES SALTILLO,LA SALLE,La Salle,Coahuila de Zaragoza,Saltillo
,27050050001,Agencia integradora de servicios,Eventos  La  casa de la  Abuela ,TENIENTE RUBIROSA,Candela,Coahuila de Zaragoza,Candela
,2050300038,Alimentos y bebidas,Starbucks Coffee Hotel La Quinta ,Blvd. Luis Echeverría .,Guanajuato,Coahuila de Zaragoza,Saltillo
,2050300039,Alimentos y bebidas,Starbucks Coffee Plaza Carranza,Blvd. Venustia Carranza .,Kiosco,Coahuila de Zaragoza,Saltillo
,2050300040,Alimentos y bebidas,Starbucks Coffee Galerías Saltillo,Blvd. Nazario S. Ortíz Garza .,Residencial los Parques,Coahuila de Zaragoza,Saltillo
,2050250004,Alimentos y bebidas,Starbucks Coffee Piedras Negras,Lib. Manuel Pérez Treviño mzn,Tecnológico,Coahuila de Zaragoza,Piedras Negras
,2050180011,Alimentos y bebidas,Starbucks Coffee Monclova DT,Blvd. Harold R. Pape .,Del Prado,Coahuila de Zaragoza,Monclova
,4050300198,Agencia de viajes,Travel 360,Blvd. Isidro López Zertuche .,Universidad,Coahuila de Zaragoza,Saltillo
,1050300006,Hospedaje,FOUR POINTS BY SHERATON SALTILLO,CARRETERA MONTERREY SALTILLO no,Valle Real,Coahuila de Zaragoza,Saltillo
,35050240005,Tour operador,PARRAS ADVENTURE TOUR,MUZQUIZ,CENTRO,Coahuila de Zaragoza,Parras
,4050090108,Agencia de viajes,Agencia De Viajes Calderon ,COLONOS INDEPENDIENTES,2 DE MARZO,Coahuila de Zaragoza,Francisco I. Madero
,4050300200,Agencia de viajes,V&V Viajes de Saltillo,Pedro de Aguirre .,Fracc. Urdinola,Coahuila de Zaragoza,Saltillo
,4050300201,Agencia de viajes,Terraqueo Travel Agency,Calle Real de Pontevedra .,Los Reales,Coahuila de Zaragoza,Saltillo
,4050180039,Agencia de viajes,TRAVEL GO AGENCIA DE VIAJES ,ZARAGOZA ESQUINA CON ILDEFONSO FUENTES,ZONA CENTRO ,Coahuila de Zaragoza,Monclova
,1050350053,Hospedaje,Hotel Posada del Sol Inn,Boulevard Revolución,Centro,Coahuila de Zaragoza,Torreón
,2050300061,Alimentos y bebidas,Burger King Saltillo  Nogalera,Prol. Francisco de Urdiñola,Lourdes,Coahuila de Zaragoza,Saltillo
,4050300207,Agencia de viajes,Bon Voyage Mx,Bosques de Echegaray .,El Olmo,Coahuila de Zaragoza,Saltillo
,27050300015,Agencia integradora de servicios,BD Tours & Travels,ABELARDO L RODRIGUEZ,La Aurora,Coahuila de Zaragoza,Saltillo
,2050300096,Alimentos y bebidas,Domino´s Pizza,Blvd. Antonio Cárdenas .,Lourdes,Coahuila de Zaragoza,Saltillo
,2050300097,Alimentos y bebidas,Domino´s Pizza,Periférico Luis Echeverría Álvarez .,Satélite Norte,Coahuila de Zaragoza,Saltillo
,2050270006,Alimentos y bebidas,Domino´s Pizza,Carretera Monterrey Saltillo ,Ramos Arizpe Centro,Coahuila de Zaragoza,Ramos Arizpe
,4050351466,Agencia de viajes,M R Travels,Av. Epifanio Zuñiga .,Las Luisas,Coahuila de Zaragoza,Torreón
,1050070014,Hospedaje,HOTEL SANTA FE,JUAREZ,Cuatro Ciénegas de Carranza Centro,Coahuila de Zaragoza,Cuatro Ciénegas
,1050300023,Hospedaje,HOTEL URDIÑOLA,VICTORIA no,Saltillo Centro,Coahuila de Zaragoza,Saltillo
,1050300024,Hospedaje,HOTEL PREMIER,ALLENDE NORTE no,Saltillo Centro,Coahuila de Zaragoza,Saltillo
,4050180034,Agencia de viajes,Viajes Zabdi,Andador Andrés S. Viesca .,Miravalle,Coahuila de Zaragoza,Monclova
,1050350042,Hospedaje,WYNDHAM TORREON,AUTOPISTA TORREON SAN PEDRO,Villas las Margaritas,Coahuila de Zaragoza,Torreón
,1050300004,Hospedaje,HAMPTON INN BY HILTON SALTILLO ZONA AEROPUERTO,CARRETERA SALTILLO MONTERREY NO.,Jardines Coloniales,Coahuila de Zaragoza,Saltillo
,1050320004,Hospedaje,HOTEL CENTRO EXPRESS,VENUSTIANO CARRANZA,Comercial,Coahuila de Zaragoza,San Juan de Sabinas
,4050300136,Agencia de viajes,Viajes El Corte Inglés,Boulevard Nazario Ortíz Garza .,Residencial los Parques,Coahuila de Zaragoza,Saltillo
,1050250004,Hospedaje,QUALITY INN PIEDRAS NEGRAS,CARRETERA 57,Mirador,Coahuila de Zaragoza,Piedras Negras
,4050300197,Agencia de viajes,BON VOYAGE ADVENTURE,RAPASAYO,FRACC LOS OLIVOS,Coahuila de Zaragoza,Saltillo
,2050300098,Alimentos y bebidas,MATSURI RAMEN,BLVD. V. CARRANZA,República,Coahuila de Zaragoza,Saltillo
,4050300095,Agencia de viajes,PROMOTRAVEL AGENCIA DE VIAJES,Paseo de la reforma,Rancho las Varas,Coahuila de Zaragoza,Saltillo
,2050350056,Alimentos y bebidas,Starbucks Coffee Plaza 505,Torreón San Pedro ,Santa Bárbara,Coahuila de Zaragoza,Torreón
,4050020002,Agencia de viajes,Excel Tours Holbox,COATZACOALCOS,Fraccionamiento Veracruz,Coahuila de Zaragoza,Acuña
,2050300063,Alimentos y bebidas,Burger King Galerías Saltillo ,Blvd. Nazario S. Ortiz Garza .,Residencial los Parques,Coahuila de Zaragoza,Saltillo
,1050070022,Hospedaje,HOTEL CASA NODIN,GUERRERO,ZONA CENTRO,Coahuila de Zaragoza,Cuatro Ciénegas
,4050180038,Agencia de viajes,TRAVEL GO AGENCIA DE VIAJES,ZARAGOZA,CENTRO,Coahuila de Zaragoza,Monclova
,2050300064,Alimentos y bebidas,Burger King Saltillo Sendero ,Carretera a los Gonzalez .,San José de los Cerritos,Coahuila de Zaragoza,Saltillo
,35050300010,Tour operador,MR. TRAVEL,MISION DE LA LAGUNA,LAS MISIONES,Coahuila de Zaragoza,Saltillo
,4050300192,Agencia de viajes,Bela Luna Tours,Blvd. Eulaliio Gutiérrez Treviño .,Jacarandas,Coahuila de Zaragoza,Saltillo
,4050300094,Agencia de viajes,ARLAN TOURS,CARMEN AGUIRRE DE FUENTES,Saltillo Centro,Coahuila de Zaragoza,Saltillo
,2050300036,Alimentos y bebidas,Starbucks Coffee,Blvd. Venustia Carranza,Puerta del Sol,Coahuila de Zaragoza,Saltillo
,2050300049,Alimentos y bebidas,Domino´s Pizza Saltillo Fundadores ,Periferico Luis Echeverria Alvarez .,Avícola,Coahuila de Zaragoza,Saltillo
,2050300050,Alimentos y bebidas,Domino´s Pizza Saltillo Coss ,Blvd. Francisco Coss S/N Local,Saltillo Centro,Coahuila de Zaragoza,Saltillo
,27050070003,Agencia integradora de servicios,EVENTOURS 4C,Zaragoza,Cuatro Ciénegas de Carranza Centro,Coahuila de Zaragoza,Cuatro Ciénegas
,1050270011,Hospedaje,LA AZUFROSA  AGUAS TERMALES,EJE VIAL FRANCISCO VILLA 10,EJIDO LA AZUFROSA,Coahuila de Zaragoza,Ramos Arizpe
,35050050001,Tour operador,TOURS  LA  CASA DE LA  ABUELA,TENIENTE RUBIROSA,Candela,Coahuila de Zaragoza,Candela
