review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,1180130002,Hospedaje,Hotel Verde Encanto,Miguel Hidalgo,Centro,Nayarit,San Pedro Lagunillas
,2180060015,Alimentos y bebidas,Mariscos y Carnes Güicho s,Emilio M. Gonzalez,Santo Santiago,Nayarit,Ixtlán del Río
,1180160003,Hospedaje,VILLAS RUMI,Luis Donaldo Colosio,Playa Novillero,Nayarit,Tecuala
,2180170103,Alimentos y bebidas,RESTAURANT HOTEL LA LOMA,Av. Paseo de la Loma,Col. Centro,Nayarit,Tepic
,31180170003,Guía de turistas,MARCO ANTONIO PARRA,Art.,Infonavit el Mirador,Nayarit,Tepic
,2180200133,Alimentos y bebidas,Starbucks Coffee Paradise Plaza,Av. Paseo de los Cocoteros .,Flamingos,Nayarit,Bahía de Banderas
,2180170035,Alimentos y bebidas,Starbucks Coffee Forum Tepic ,Blvd. Luis Donaldo Colosio .,Benito Juárez Oriente,Nayarit,Tepic
,1180200117,Hospedaje,INOVATION TRAVEL,PASEO DE LAS PALMAS,NAUTICO TURISTICO,Nayarit,Bahía de Banderas
,1180020005,Hospedaje,Hotel Boutique Ibarra,Hidalgo Oriente,Centro Ahuacatlán,Nayarit,Ahuacatlán
,2180200238,Alimentos y bebidas,Restaurante Black Forest,Marlin .,La Cruz de Huanacaxtle,Nayarit,Bahía de Banderas
,1180040053,Hospedaje,Decameron Isla Coral,Calle Cedros,Rincón de Guayabitos,Nayarit,Compostela
,1180060016,Hospedaje,Hotel Maya,HIdalgo,Centro,Nayarit,Ixtlán del Río
,2180170108,Alimentos y bebidas,Restaurante Casa Naiyari,Calle de las Piedras,"Las Lomas, San Cayetano",Nayarit,Tepic
,1180200029,Hospedaje,Occidental Nuevo Vallarta,Av. Paseo de los Cocoteros ,Colibrí,Nayarit,Bahía de Banderas
,11180170001,Arrendadora de autos,Dollar,Domicilio Co cido,Palomas Doradas,Nayarit,Xalisco
,2180120074,Alimentos y bebidas,Blas Bay,Carretera San Blas-Tepic 3 . 203,Rincón de Matanchen,Nayarit,San Blas
,1180170139,Hospedaje,Hotel Casa Naiyari,Calle de Las Piedras,"Las Lomas, san Cayetano",Nayarit,Tepic
,5180120014,Transportadora turística,PIPILAS TOURS,Malecon Héroes,Centro,Nayarit,San Blas
,2180200186,Alimentos y bebidas,Domino´s Pizza Las Palmas Vallarta,Carretera mezcales Sn Vicente ,Haciendas de San Vicente,Nayarit,Bahía de Banderas
,1180060009,Hospedaje,HOTEL PARAISO,Hidalgo Poniente,Mexpan,Nayarit,Ixtlán del Río
,2180200062,Alimentos y bebidas,Restaurante Bar Hacienda ,Av. Costera y La Playa y Nuevo Vallarta,Playas del Pacífico,Nayarit,Bahía de Banderas
,2180200071,Alimentos y bebidas,Lobby Bar Crystal,Av. Costera y La Playa y Nuevo Vallarta,Loma Bonita,Nayarit,Bahía de Banderas
,2180040017,Alimentos y bebidas,ONE & ONLY MANDARINA BAR TREE TOP,Carretera Fed. 200 .104+800,El Monteon,Nayarit,Compostela
,2180040016,Alimentos y bebidas,ONE & ONLY MANDARINA RESTAURANTE BAR CARAO,Carretera Fed. 200 .104+800,El Monteon,Nayarit,Compostela
,1180010001,Hospedaje,HOTEL QUINTA BLANCA,Morelos,Centro,Nayarit,Acaponeta
,1180030002,Hospedaje,Hotel Rivera,Dr. Juan Bernal,Estancia de Los López,Nayarit,Amatlán de Cañas
,2180120073,Alimentos y bebidas,'El Original Pan de Platano de Juan Bananas',H. Batallon Sur,Centro,Nayarit,San Blas
,31180200021,Guía de turistas,Juan Carlos Villegas Alcantar ,Gómez Farias,Localidad El Porvenir ,Nayarit,Bahía de Banderas
,1180150002,Hospedaje,Hotel Plaza Los Reyes,,Centro,Nayarit,Santiago Ixcuintla
,2180170105,Alimentos y bebidas,Dos de Asada,Ge va,Fraccionamiento Cuidad del Valle,Nayarit,Tepic
,28180030004,Balneario y parque acuático,Balneario El Salto,Carretera Rosario Tepuzhuacan 1.5,Tepuzhuacan,Nayarit,Amatlán de Cañas
,1180040094,Hospedaje,Posada Jaltemba,Avenida Sol Nuevo,Rincon de Guayabitos,Nayarit,Compostela
,4180170077,Agencia de viajes,LUNA TOURS,MIÑON,Tepic Centro,Nayarit,Tepic
,2180080006,Alimentos y bebidas,Don Lauro Restaurante,Carretera Xalisco -Compostela,Centro,Nayarit,Xalisco
,2180200237,Alimentos y bebidas,RESTAURANTE SEN LIN,PASEO DE LOS COCOTEROS,"NAUTICO TURISTICO, NUEVO NAYARIT",Nayarit,Bahía de Banderas
,2180170106,Alimentos y bebidas,Restaurant Las Marietas,Avenida Del Valle,Ciudad del valle ,Nayarit,Tepic
,2180200242,Alimentos y bebidas,RESTAURANT VISTA HERMOSA,Playa la manzanilla,Alcatraces,Nayarit,Bahía de Banderas
