review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,1040020051,Hospedaje,HOTEL FRANCIS DRAKE,CAlle 12,San Francisco de Campeche Centro,Campeche,Campeche
,1040030099,Hospedaje,EUROHOTEL,Calle 22,Ciudad del Carmen Centro,Campeche,Carmen
,5040050001,Transportadora turística,TURISTICA RAMMSGIRA,CALLE,Hecelchakan,Campeche,Hecelchakán
,4040024388,Agencia de viajes,Viajar es A Mar,PRIV.,FRACC. VILLAS DE KALÁ,Campeche,Campeche
,1040030130,Hospedaje,Hampton Inn by Hilton Ciudad del Carmen,Av. Isla de Tris KM.5,Residencial San Miguel,Campeche,Carmen
,2040110005,Alimentos y bebidas,ANTOJITOS DENICE,CALLE,CENTRO,Campeche,Candelaria
,2040030060,Alimentos y bebidas,LA PLAYITA SABANCUY  ,Carretara del Golfo 180 Km. 76.5,Sabancuy,Campeche,Carmen
,4040024384,Agencia de viajes,Chelita Travel Campeche,Sur,Samula,Campeche,Campeche
,1040100009,Hospedaje,HOTEL CHICANNÁ ECOVILLAGE RESORT,Carretera Escárcega Chetumal  km no,Xpujil,Campeche,Calakmul
,35040020006,Tour operador,Guía De Turistas & Tour Operator,Av. Pedro Sainz De Baranda,Guadalupe,Campeche,Campeche
,4040040003,Agencia de viajes,VIAJES NEWTRAVEL SEYBAPLAYA,Calle 18 entre 25 y 27,Seybaplaya,Campeche,Champotón
,4040024393,Agencia de viajes,Viajes Inolvidables MX,Av. Lopez Mateos .,San José,Campeche,Campeche
,4040024372,Agencia de viajes,Dayli,Av. Miguel Alemán,Guadalupe,Campeche,Campeche
,5040020782,Transportadora turística,CRIGAR DS TOURS,Calle 8,San Francisco de Campeche Centro,Campeche,Campeche
,2040030064,Alimentos y bebidas,Restaurante Los Pelicanos,Ampliación Malecon Costero,Obrera,Campeche,Carmen
,2040030065,Alimentos y bebidas,"Palmeritas, Costa Maya Chilo Verdejo",Blvd. Malecón Costero,Justo Sierra,Campeche,Carmen
,1040020086,Hospedaje,HOTEL MAYA BECAN,AV. REPUBLICA no,Santa Ana,Campeche,Campeche
,2040020032,Alimentos y bebidas,Restaurante Liverpool Campeche,Pedro Sainz de Baranda ,Ah-kim-pech,Campeche,Campeche
,1040110005,Hospedaje,HOTEL EL MALECÓN,CALLE,CENTRO,Campeche,Candelaria
,1040020091,Hospedaje,HOTEL CAMPECHE,Calle,San Francisco de Campeche Centro,Campeche,Campeche
,4040030017,Agencia de viajes,Solo Viaja Travels,Avenida,Col. Fátima,Campeche,Carmen
,5040030440,Transportadora turística,La Fragata de Isla Aguada,José María Pino Suarez no,Isla Aguada,Campeche,Carmen
,5040030441,Transportadora turística,Los Eligios de Diez,Calle 21 Alvaro Obregón entre 5 Mayo y Fco. I. Madero,Isla Aguada,Campeche,Carmen
,4040030006,Agencia de viajes,Travels Aventura,Machiche,23 de Julio,Campeche,Carmen
,1040020103,Hospedaje,HOTEL MAYA CAMPECHE,Calle 57,San Francisco de Campeche Centro,Campeche,Campeche
,27040020006,Agencia integradora de servicios,Guía de Turistas & Tour Operator,"Av. Pedro Sáinz de Baranda, Interior Hotel Ocean View",Guadalupe,Campeche,Campeche
,2040020044,Alimentos y bebidas,CENTRO RECREATIVOS LOS CACHITOS,RUSTICO SAN FRANCISCO UXMAL,China,Campeche,Campeche
,1040020120,Hospedaje,CENTRO RECREATIVO LOS CACHITOS,PREDIO RUSTICO DENOMINADO SAN FRANCISCO UXMAL,China,Campeche,Campeche
,5040030451,Transportadora turística,VYTRATUR ATASTA,CALLE VENUSTIANO CARRANZA .,"CENTRO, NUEVO PROGRESO",Campeche,Carmen
,1040020107,Hospedaje,HOTEL DEL PASEO,CALLE 8,San Román,Campeche,Campeche
,1040020111,Hospedaje,Hotel El Navegante,calle 65,San Francisco de Campeche Centro,Campeche,Campeche
,1040030079,Hospedaje,Fiesta Inn Ciudad del Carmen ,Av. Periférica norte,Petrolera,Campeche,Carmen
