review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,35030080036,Tour operador,Cabo Adventures,Ave. Paseo de La Marina,Centro,Baja California Sur,Los Cabos
,5030080274,Transportadora turística,Servicios Turísticos Bix Anikech,"Colina Sevilla, Mz 0",Colinas de San José,Baja California Sur,Los Cabos
,27030080052,Agencia integradora de servicios,Airport Baja Transfers,Arrollo del Triunfo .,Fraccionamiento Altamira,Baja California Sur,Los Cabos
,3030080001,Hospedaje,Hotel Cabo Azul Resort & Spa ,Paseo Malecón San Jóse Lt.,San José del Cabo Centro,Baja California Sur,Los Cabos
,2030080334,Alimentos y bebidas,San Lucero Restaurant & Wine Bar,Cabo San Lucas,Ampliación Matamoros,Baja California Sur,Los Cabos
,2030080144,Alimentos y bebidas,Starbucks Coffee Marina los Cabos,Blvd. Marina .,Cabo San Lucas Centro,Baja California Sur,Los Cabos
,5030030700,Transportadora turística,JR Transbaja Tours,Guasinapi .,Guaycura,Baja California Sur,La Paz
,5030030699,Transportadora turística,Transportes Terrestres Bonita Aventura,Calle Isla Cerralvo .,Tabachines,Baja California Sur,La Paz
,5030080287,Transportadora turística,Compañia Impulsora del Transporte de Cancún,Av. del Ciruelo,Floresta,Baja California Sur,Los Cabos
,31030030067,Guía de turistas,Saramanta,Pelíca s .,Residencial Las Garzas,Baja California Sur,La Paz
,4030030091,Agencia de viajes,Baja Discovery Tours,Francisco I. Madero .,Centro,Baja California Sur,La Paz
,31030080081,Guía de turistas,Francisco Rojas Acosta,Alikan/Abasolo .,Mariano Matamoros,Baja California Sur,Los Cabos
,2030080261,Alimentos y bebidas,Don Manuel´s,Camino del Mar ,El Pedregal,Baja California Sur,Los Cabos
,2030080262,Alimentos y bebidas,Crudo - Pool Bar,Camino del Mar ,El Pedregal,Baja California Sur,Los Cabos
,2030080263,Alimentos y bebidas,Beach Club,Camino del Mar,El Pedregal,Baja California Sur,Los Cabos
,2030080264,Alimentos y bebidas,Va y Viene,Camino del Mar,El Pedregal,Baja California Sur,Los Cabos
,2030080265,Alimentos y bebidas,SOTOL,"Ctra. Fed. Libre Transpeninsular San Lucas San José, Km 19.5",San José del Cabo Centro,Baja California Sur,Los Cabos
,34030080021,Spa,Eforea SPA,"Ctra. Fed. Libre Transpeninsular San Lucas San José, Km 19.5",San José del Cabo Centro,Baja California Sur,Los Cabos
,5030080271,Transportadora turística,Desert Shuttle,Circuito Valparaiso Mza,Los Portales,Baja California Sur,Los Cabos
,4030080092,Agencia de viajes,Agencia de Viajes Aero-Sky,Avenida Leona Vicario M 0,Lomas del Sol 2da. Etapa,Baja California Sur,Los Cabos
,27030030008,Agencia integradora de servicios,Baja Wild Encounters,Corredor Isla Cerralvo,El Sargento,Baja California Sur,La Paz
,5030080286,Transportadora turística,CC Luxury Transfers S. de R.L. de C.V. ,Tabachines .,Buenos Aires ,Baja California Sur,Los Cabos
,5030030703,Transportadora turística,Torreavi Transportadora Turística,Retor,Indeco,Baja California Sur,La Paz
,11030080029,Arrendadora de autos,"Icaro Soluciones, SA de CV",Carretera Transpeninsular,El Tezal,Baja California Sur,Los Cabos
,2030080145,Alimentos y bebidas,Starbucks Coffee CM Los Cabos,Blvd. Mauricio Castro ,San José del Cabo Centro,Baja California Sur,Los Cabos
,2030080146,Alimentos y bebidas,Starbucks Coffee Aeropuerto Los Cabos ,Carr. Transpeninsular,Aeropuerto,Baja California Sur,Los Cabos
,4030030089,Agencia de viajes,Viajes Luna,Avenida,Centro,Baja California Sur,La Paz
,5030080280,Transportadora turística,Transfers Logistic Cabo S.A.S de C.V.,Violeta .,Lomas de Pacifico ,Baja California Sur,Los Cabos
,31030030064,Guía de turistas,Jafet Abraham Badillo Espinosa,Calle Cadegomo .,Guaycura ,Baja California Sur,La Paz
,11030090001,Arrendadora de autos,Hertz,Zona Comercial,Nuevo Loreto,Baja California Sur,Loreto
