review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,33020010003,Parque temático,Cava San Antonio,Cami Vecinal,Rancho Nova,Baja California,Ensenada
,2020040215,Alimentos y bebidas,DISCO BAR HAWAII,ARGUELLO,ZONA CENTRO,Baja California,Tijuana
,2020040190,Alimentos y bebidas,Domino´s Pizza Fundadores ,Blvd. Fundadores .,El Rubí,Baja California,Tijuana
,2020050045,Alimentos y bebidas,Domino´s Pizza Rosarito ,Blvd. Benito Juarez .,Rosarito Centro,Baja California,Playas de Rosarito
,1020049810,Hospedaje,Hotel City Express Suites By Marriott Tijuana Rio,Blvd. Sanchez Taboada .,Marrón,Baja California,Tijuana
,2020040205,Alimentos y bebidas,Panda Express ,Ctra. Aeropuerto,Nueva Tijuana,Baja California,Tijuana
,1020020084,Hospedaje,Extended Suites ,Calzada Manuel Gomez Morín .,Vista Hermosa,Baja California,Mexicali
,2020040173,Alimentos y bebidas,Starbucks Coffee Aeropuerto Tijuana Interior ,Car. AeropuertO Meza Otay S/N Int.,Nueva Tijuana,Baja California,Tijuana
,2020040171,Alimentos y bebidas,Starbucks Coffee Galerías Hipódromo ,Blvd Aguascalientes ,Altabrisa,Baja California,Tijuana
,2020040172,Alimentos y bebidas,Starbucks Coffee Macroplaza Tijuana,Blvd. Insurgentes .,Río Tijuana 3a Etapa,Baja California,Tijuana
,4020010009,Agencia de viajes,Adventour Z,El roble .,3 Arbolitos,Baja California,Ensenada
,11020020006,Arrendadora de autos,Hertz,Carretera Mesa de André 23.5,Rivera,Baja California,Mexicali
,11020020005,Arrendadora de autos,Hertz,"Moli del Rey, Blvd. Benito Juárez",Reforma,Baja California,Mexicali
,11020040003,Arrendadora de autos,Hertz,Paseo de los Héroes,Zona Urbana Río Tijuana,Baja California,Tijuana
,11020040002,Arrendadora de autos,Hertz,Carretera Aeropuerto,Nueva Tijuana,Baja California,Tijuana
,11020020007,Arrendadora de autos,Firefly,Calle vena,Compuertas,Baja California,Mexicali
,11020040004,Arrendadora de autos,Firefly,Carretera Aeropuerto,Nueva Tijuana,Baja California,Tijuana
,2020020059,Alimentos y bebidas,Restaurante Liverpool Mexicali,Adolfo Lopez Mateos ,Zona Industrial,Baja California,Mexicali
,2020010034,Alimentos y bebidas,MX HOTEL  & RESORT,CALLE PRINCIPAL,FRANCISCO ZARCO,Baja California,Ensenada
,2020040158,Alimentos y bebidas,Starbucks Coffee Camino Real Tijuana ,Paseo De Los Héroes,Zona Urbana Río Tijuana,Baja California,Tijuana
,4020010008,Agencia de viajes,Adventourz,EL ROBLE,3 Arbolitos,Baja California,Ensenada
,27020040006,Agencia integradora de servicios,AVENTURAR,Boulevard Fundadores,Juárez,Baja California,Tijuana
,4020020077,Agencia de viajes,TRAVESIAS TRAVEL,AVENIDA REFORMA,SEGUNDA SECCIÓN,Baja California,Mexicali
,2020040213,Alimentos y bebidas,Restaurante Liverpool Tijuana,Via Rapida Oriente,Chapultepec Alamar,Baja California,Tijuana
,1020019786,Hospedaje,SANTA MAGDALA HOTEL BOUTIQUE,Carretera Tecate - Ensenada 103,El Sauzal,Baja California,Ensenada
,2020040180,Alimentos y bebidas,Domino´s Pizza Río,Paseo de los Héroes .,Zona Centro,Baja California,Tijuana
,2020020067,Alimentos y bebidas,Starbucks Coffee,Calzada CETYS ,Real del Sol,Baja California,Mexicali
,2020040212,Alimentos y bebidas,Starbucks Coffee,Blvd. Bellas Artes .,Manuel Rivera Anaya,Baja California,Tijuana
,1020019790,Hospedaje,HOTEL & RV PARK ROSA EVELYN,BLVD. LAZARO CARDENAS,LAZARO CARDENAS,Baja California,Ensenada
,1020058989,Hospedaje,ROSARITO BEACH HOTEL ,BLVD. BENITO JUAREZ,Rosarito Centro,Baja California,Playas de Rosarito
,2020040181,Alimentos y bebidas,Domino´s Pizza Palmas,Blvd. Díaz Ordaz .,El Prado,Baja California,Tijuana
,27020040007,Agencia integradora de servicios,FAMA PRODUCCIONES,PROLONGACION PASEO DE LOS HEROES,20 DE NOVIEMBRE,Baja California,Tijuana
,2020020054,Alimentos y bebidas,Starbucks Coffee Mexicalli Centinela DT,Lote S/N Sección A Porción Sur Mzn,Industrial,Baja California,Mexicali
,2020010019,Alimentos y bebidas,Starbucks Coffee Macro Plaza Ensenada ,Av. Pedro Loyola ,Sección Primera,Baja California,Ensenada
,4020044207,Agencia de viajes,SIBARIA TOURS,COAHUILA,ZONA CENTRO,Baja California,Tijuana
,4020010010,Agencia de viajes,Parra del Valle Hotel Boutique ,Av. Luis Gónzalez Ocampo .,Piedras Negras ,Baja California,Ensenada
,2020040211,Alimentos y bebidas,CABANNA,BLVD AGUA CALIENTE,NEIDHART,Baja California,Tijuana
,4020020075,Agencia de viajes,Experiencias y viajes momentours,Av. L. Monteja,Calafia,Baja California,Mexicali
,4020030008,Agencia de viajes,vivelo club vacacional,carr libre tecateens,Valle de las Palmas,Baja California,Tecate
