review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,2301180065,Alimentos y bebidas,Dominos Pizza Orizaba Plaza 31,Av. Oriente,Abelardo L Rodriguez,Veracruz de Ignacio de la Llave,Orizaba
,4300282718,Agencia de viajes,Whatatour ,Navegantes ,Virginia,Veracruz de Ignacio de la Llave,Boca del Río
,4301180034,Agencia de viajes,Tours y Viajes Mayad,Av. Oriente,Centro,Veracruz de Ignacio de la Llave,Orizaba
,2300280060,Alimentos y bebidas,Domino´s Pizza Boca del Rio ,Blvd. Miguel Aleman,Playa Hermosa,Veracruz de Ignacio de la Llave,Boca del Río
,28301410002,Balneario y parque acuático,CLUB DEPORTIVO YANKUIK AMEYALI ,Crisantemos .,Modesto Canela,Veracruz de Ignacio de la Llave,San Andrés Tuxtla
,2300446189,Alimentos y bebidas,MESÓN DE LA JAIBA,Av.,Centro,Veracruz de Ignacio de la Llave,Córdoba
,2300446170,Alimentos y bebidas,LA JAIBA LOCA,AV. 2 ,Córdoba Centro,Veracruz de Ignacio de la Llave,Córdoba
,2300390057,Alimentos y bebidas,RESTAURANT DE MARISCOS JUAN CHINCHONCHA,Ambrosio Solorza .,Puerto México,Veracruz de Ignacio de la Llave,Coatzacoalcos
,2301580019,Alimentos y bebidas,RESTAURANT C.VI.CHE,Carretera Federal 180 80.5 S/n Poza Rica- Nautla,Playa Oriente,Veracruz de Ignacio de la Llave,Tecolutla
,33301240001,Parque temático,PARQUE TEMÁTICO TAKILHSUKUT,Carretera Poza Rica-San Andres S/n. Km 17.5,Comunidad 'El Tajín',Veracruz de Ignacio de la Llave,Papantla
,31301150001,Guía de turistas,ABIGAIL FLORIDO ALFARO,Lázaro Cardenas .,Aquíles Serdan,Veracruz de Ignacio de la Llave,Nogales
,2300280098,Alimentos y bebidas,MARISCOS VILLA RICA (SUC. XKATLEN),Mocambo .,Mocambo,Veracruz de Ignacio de la Llave,Boca del Río
,2300280097,Alimentos y bebidas,MARISCOS VILLA RICA (SUC. VILLA EXPRESS),Habaneras .,Mocambo,Veracruz de Ignacio de la Llave,Boca del Río
,2300280099,Alimentos y bebidas,TRATTORIA IL VENEZIANO,Blvd Manuel Ávilla Camacho .,Fraccionamiento Costa De Oro 1ra Sección,Veracruz de Ignacio de la Llave,Boca del Río
,2301316500,Alimentos y bebidas,MAZUNTE,Calle México .,27 de Septiembre,Veracruz de Ignacio de la Llave,Poza Rica de Hidalgo
,27301180002,Agencia integradora de servicios,ROMANO ANFITRIONES TURÍSTICOS,Primera Privada Sur,Guadalupe Victoria ,Veracruz de Ignacio de la Llave,Orizaba
,4301930112,Agencia de viajes,GREY TRAVEL,Blvd Manuel Ávila Camacho S/n (Plaza Acuario),Ricardo Flores Magón,Veracruz de Ignacio de la Llave,Veracruz
,30300650003,Guardavida/salvavida,RENZO SAJITH ROMERO CASTILLO,Calle U .,Fraccionamiento Cincuentenario,Veracruz de Ignacio de la Llave,Emiliano Zapata
,2301120004,Alimentos y bebidas,LA RUZZTICA,Lerdo .,Centro,Veracruz de Ignacio de la Llave,Naolinco
,1300260006,Hospedaje,HOTEL JUNO,Fortino Cabañas,Salvador Diaz Mirón,Veracruz de Ignacio de la Llave,Banderilla
,1300260005,Hospedaje,HOTEL EIFFEL,Blvd Xalapa Banderilla KM146,Banderilla Centro,Veracruz de Ignacio de la Llave,Banderilla
,1300580001,Hospedaje,CENTRO TURISTICO TLENKUALI,SIN NOMBRE,Ahuimol 1,Veracruz de Ignacio de la Llave,Chicontepec
,4300870129,Agencia de viajes,Mundochic Viajes By Fraveo,Av. Mártires, Francisco Ferrer Guardia,Veracruz de Ignacio de la Llave,Xalapa
,2301930091,Alimentos y bebidas,RESTAURANT ENOTECA VAN EYCK,Av. Cristobal Colón .,Fraccionamiento Reforma,Veracruz de Ignacio de la Llave,Veracruz
,2302040001,Alimentos y bebidas,PIZZAS MINONI D AGUA DULCE ,Cinco Presidentes .,Cuatro Caminos,Veracruz de Ignacio de la Llave,Agua Dulce
,2300300004,Alimentos y bebidas,PIZZAS MINONI D MENDOZA,Av. Miguel Hidalgo .,Centro,Veracruz de Ignacio de la Llave,Camerino Z. Mendoza
,2300450003,Alimentos y bebidas,PIZZAS MINONI D COSAMALOAPAN,Av. Venustia Carranza .,Centro,Veracruz de Ignacio de la Llave,Cosamaloapan de Carpio
,2300450002,Alimentos y bebidas,PIZZERIA MINONI D COSAMALOAPAN,Av. Venustia Carranza .,Centro,Veracruz de Ignacio de la Llave,Cosamaloapan de Carpio
,2300480002,Alimentos y bebidas,PIZZAS MINONI D COSOLEACAQUE,Miguel Hidalgo .,Barrio Primero,Veracruz de Ignacio de la Llave,Cosoleacaque
,2300030008,Alimentos y bebidas,PIZZAS MINONI F. CHEDRAUI ACAYUCAN,Blvd. Juan de la Luz Enríquez .,La Palma,Veracruz de Ignacio de la Llave,Acayucan
,1300449481,Hospedaje,HOTEL PASTORA,Calle,Centro,Veracruz de Ignacio de la Llave,Córdoba
,2301180073,Alimentos y bebidas,CORAZÓN DE AMARANTO CDA ORIZABA,Calle Oriente,Centro,Veracruz de Ignacio de la Llave,Orizaba
,2301740001,Alimentos y bebidas,CORAZÓN DE AMARANTO CDA TIERRA BLANCA,Juan Malpica .,Centro,Veracruz de Ignacio de la Llave,Tierra Blanca
,2301930044,Alimentos y bebidas,Domino´s Pizza Cd. Industrial.,Calle,Tejería,Veracruz de Ignacio de la Llave,Veracruz
,31301930045,Guía de turistas,Javier Cruz Velasco,Calle C,21 de Abril,Veracruz de Ignacio de la Llave,Veracruz
,1301890052,Hospedaje,HOTEL MAY PALACE ,Av. Juárez .,Centro,Veracruz de Ignacio de la Llave,Tuxpan
,2300490001,Alimentos y bebidas,SOLUCIONES EMPRESARIALES LA CORRALETA,Carretera Federal Km 1 +150 S/n,La Tinaja,Veracruz de Ignacio de la Llave,Cotaxtla
,1300320012,Hospedaje,ECOTURISMO EL APOMPAL,SIN NOMBRE,Catemaco,Veracruz de Ignacio de la Llave,Catemaco
,2300280050,Alimentos y bebidas,Starbucks Coffee Costa de Oro (Plaza Boka) ,Blvd. Ruíz Cortines .,Jardines de Virginia,Veracruz de Ignacio de la Llave,Boca del Río
,2300390040,Alimentos y bebidas,Starbucks Coffee Coatzacoalcos,Av. Universidad Veracruzana ,Rancho Alegre I,Veracruz de Ignacio de la Llave,Coatzacoalcos
,2301930094,Alimentos y bebidas,MARISCOS VILLA RICA (Suc. Diligencias),Independencia,Centro,Veracruz de Ignacio de la Llave,Veracruz
,2300110009,Alimentos y bebidas,JARRITA DE ORO (Suc. Riviera Veracruzana),Blvd del Sol Lt,Fraccionamiento Lomas del Sol,Veracruz de Ignacio de la Llave,Alvarado
