review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,2140670512,Alimentos y bebidas,RESTAURANTE TIKI TACO,FRANCISCO MEDINA ASCENCIO no,Zona Hotelera Norte,Jalisco,Puerto Vallarta
,2140670513,Alimentos y bebidas,RESTAURANTE DA MARIO,BOULEVAR FCO MEDINA ASCENCIO no,Zona Hotelera Norte,Jalisco,Puerto Vallarta
,34140670004,Spa,SPA,FRANCISCO MEDINA ASCENCIO no,Zona Hotelera Norte,Jalisco,Puerto Vallarta
,1140670290,Hospedaje,HOTEL SUNSCAPE RESORTS & SPA PUERTO VALLARTA,FRANCISCO MEDINA ASCENCIO no,Zona Hotelera Norte,Jalisco,Puerto Vallarta
,2140670509,Alimentos y bebidas,BAR RENDEZVOUS,BOULEVAR FCO MEDINA ASCENCIO no,Zona Hotelera Norte,Jalisco,Puerto Vallarta
,2140670510,Alimentos y bebidas,BAR BARRACUDA,BOULEVAR FCO MEDINA ASCENCIO no,Zona Hotelera Norte,Jalisco,Puerto Vallarta
,2140670511,Alimentos y bebidas,RESTAURANTE WORLD CAFE,FRANCISCO MEDINA ASCENCIO no,Zona Hotelera Norte,Jalisco,Puerto Vallarta
,1140670421,Hospedaje,The Paramar Beachfront Hotel Boutique PV,PARAGUAY,5 de Diciembre,Jalisco,Puerto Vallarta
,4141201146,Agencia de viajes,LUNEA TRAVEL ,AVENIDA AMERICAS,ALTAMIRA ,Jalisco,Zapopan
,1140670293,Hospedaje,LOFT HOTEL MALECON VALLARTA,PASEO DIAZ ORDAZ no,Puerto Vallarta Centro,Jalisco,Puerto Vallarta
,1140220264,Hospedaje,HOTEL Y VILLAS LA LORA,HIDALGO,CENTRO,Jalisco,Cihuatlán
,2140670532,Alimentos y bebidas,Restaurant Bar 'El Oasis del Holi',Andador Lineal Rio Pitillal,Zona Hotelera Norte,Jalisco,Puerto Vallarta
,2140930016,Alimentos y bebidas,RESTAURANTE DON K,RICARDO ALCALA,El Pipón,Jalisco,Tepatitlán de Morelos
,2140390359,Alimentos y bebidas,Starbucks Coffee Chapultepec,Av. López Cotilla .,Americana,Jalisco,Guadalajara
,2140670796,Alimentos y bebidas,Starbucks Coffee Plaza Península,Blvd. Fco Medina Ascencio .,Zona Hotelera Norte,Jalisco,Puerto Vallarta
,1140670433,Hospedaje,ANDALE´S ON THE BAY,OLAS ALTAS,Emiliano Zapata,Jalisco,Puerto Vallarta
,1140670264,Hospedaje,Hotel Andale,OLAS ALTAS,Emiliano Zapata,Jalisco,Puerto Vallarta
