review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,2280380031,Alimentos y bebidas,GUACAMOLE GRILL,Boulevard Adolfo López Mateos,Aeropuerto Internacional de Tampico,Tamaulipas,Tampico
,4280380086,Agencia de viajes,Happy Trips ,Choapas .,Petrolera ,Tamaulipas,Tampico
,2280380019,Alimentos y bebidas,Starbucks Coffee Tampico Hidalgo,Av. Hidalgo,Lomas de la Aurora,Tamaulipas,Tampico
,4280320050,Agencia de viajes,Mil Millas Tours by Fraveo,Calle Melchor Ocampo .,Colonia Voluntad y Trabajo,Tamaulipas,Reynosa
,1280390003,Hospedaje,Hostal La Casa del Cabo,Hidalgo .,Zona Centro,Tamaulipas,Tula
,1280170001,Hospedaje,Charco Azul Los Ébanos ,"Carretera Victoria-Tula, Km104",Ejido Monterredondo,Tamaulipas,Jaumave
,4280090060,Agencia de viajes,Kathia Vicencio,Av. Francis I. Madero .,Primero de Mayo ,Tamaulipas,Ciudad Madero
,1280170002,Hospedaje,Restaurant y Cabañas la Florida,"Carr. Victoria - Tula,",Magdaleno Aguilar,Tamaulipas,Jaumave
,11280380003,Arrendadora de autos,Thrifty,Boulevard López Mateos,Tampico (General Francisco Javier Mina),Tamaulipas,Tampico
,11280320002,Arrendadora de autos,DOLLAR,Carretera Matamoros Mazatlan S/N 83,Almaguer,Tamaulipas,Reynosa
,11280380002,Arrendadora de autos,Dollar,"Francisco Javier Mina, Blvd Lopez Mateos",Tampico (General Francisco Javier Mina),Tamaulipas,Tampico
,11280320001,Arrendadora de autos,Hertz,Carretera Matamoros Mazatlan . 83 Almaguer,Almaguer,Tamaulipas,Reynosa
,4280120004,Agencia de viajes,LETS GO & TRAVEL,"C. 1ra. de Mayo, .",Villa Manuel,Tamaulipas,González
,4280090061,Agencia de viajes,Efrén Morales Sánchez ,Av. Francisco I. Madero .,Primero de Mayo ,Tamaulipas,Ciudad Madero
,1280380006,Hospedaje,Fiesta Inn Tampico,Av. Hidalgo,Laguna de la Herradura,Tamaulipas,Tampico
,4280380063,Agencia de viajes,VIAJAMAS,Aguadulce ,Petrolera,Tamaulipas,Tampico
,4190050002,Agencia de viajes,Abba Zafiro Tours,Av. Obregón,Nuevo Laredo Centro,Tamaulipas,Nuevo Laredo
,4280380081,Agencia de viajes,AR Tours Tampico,Calle,Tamaulipas,Tamaulipas,Tampico
,4280410026,Agencia de viajes,Escapatours,,Magisterial,Tamaulipas,Victoria
,2280390002,Alimentos y bebidas,Gorditas Don Pedro,Corredor Arrollo Loco,Zona Centro,Tamaulipas,Tula
,2280410007,Alimentos y bebidas,Prana la Piazzeta Italiana,Chihuahua .,San José ,Tamaulipas,Victoria
,4280090062,Agencia de viajes,El Huasteco Viajero ,Boulevard Adolfo López Mateos,Los Mangos,Tamaulipas,Ciudad Madero
,4280090055,Agencia de viajes,SONIA TRAVEL,Zaragoza,Árbol Grande,Tamaulipas,Ciudad Madero
,4280320048,Agencia de viajes,Viajes Angel Reynosa,Calle Plata,Arcoiris,Tamaulipas,Reynosa
,2280270012,Alimentos y bebidas,Starbucks Coffee Nuevo Laredo,Avenida Reforma .,Jardín,Tamaulipas,Nuevo Laredo
,2280380021,Alimentos y bebidas,Starbucks Coffee Fashion Mall Tampico,Av. Ejército Mexica .,Primavera,Tamaulipas,Tampico
,2280380027,Alimentos y bebidas,Restaurante Liverpool Tampico,Ejército Mexicano ,Primavera,Tamaulipas,Tampico
,4280270097,Agencia de viajes,Mayahuel Agencia de Viajes ,Calz. Revolución .,Bellavista,Tamaulipas,Nuevo Laredo
,4280270098,Agencia de viajes,Aventurarte Agencia de Viajes,Calle Antequera,Benito Juarez,Tamaulipas,Nuevo Laredo
,4280030002,Agencia de viajes,Tam-Can Travels,San Luis Potosí .,Fracc. Altamira II,Tamaulipas,Altamira
