review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,4100050173,Agencia de viajes,LU TRAVEL,RIO TAMAZULA,CNOP,Durango,Durango
,4100050182,Agencia de viajes,RIA  TOURS ,CADIZ,ESPAÑOL,Durango,Durango
,4100070011,Agencia de viajes,SOLE VIAGGI ,MIGUEL HIDALGO,CENTRO ,Durango,Gómez Palacio
,1100230007,Hospedaje,CABAÑAS VILLAS DEL BOSQUE DE MEXIQUILLO,AVENIDA MEXIQUILLO,POBLADO LA CIUDAD,Durango,Pueblo Nuevo
,1100059602,Hospedaje,HOTEL CITY EXPRESS DURANGO,BLVD. FRANCISCO VILLA,20 DE NOVIEMBRE ,Durango,Durango
,1100230008,Hospedaje,PARQUE ECOTURISTICO LA HERRADURA ,MAZATLAN 84.5 S/N,LA HERRADURA ,Durango,Pueblo Nuevo
,4100050183,Agencia de viajes,MI VIAJE ,FELIPE PESCADOR,FATIMA,Durango,Durango
,1100059603,Hospedaje,HOTEL LOS ARCOS ,H COLEGIO MILITAR OTE,DEL MAESTRO,Durango,Durango
,11100050001,Arrendadora de autos,HERTZ,Autopista Durango Gomez Palacio 15.5,Durango (Presidente Guadalupe Victoria),Durango,Durango
,4100070010,Agencia de viajes,TURISMO SALINAS ,AVENIDA FRANCISCO I MADERO,LOS VIÑEDOS,Durango,Gómez Palacio
,4100050184,Agencia de viajes,MATIE ADVENTURES,BRUNO MARTÍNEZ,ZONA CENTRO,Durango,Durango
,4100050179,Agencia de viajes,TRAVEL PUZZLE ,AVENIDA LAZARO CARDENAS,ESPERANZA,Durango,Durango
,2100056386,Alimentos y bebidas,Domino´s Pizza Paseo Durango,Blvd. Felipe Pescador .,Esperanza,Durango,Durango
,2100056387,Alimentos y bebidas,Domino´s Pizza Lomas del Parque,Blvd. Del Guadiana .,Del Bosque,Durango,Durango
,2100056388,Alimentos y bebidas,Domino´s Pizza Durango centro,Av.,Guillermina,Durango,Durango
,4100050175,Agencia de viajes,BON VOYAGE VIAJES,PROLONGACIÓN PINO SUÁREZ,FRACC. LOS FRESNOS,Durango,Durango
,4100070009,Agencia de viajes,Agencia de Viajes ISA,Av. Hidalgo .,Centro ,Durango,Gómez Palacio
,4100050130,Agencia de viajes,Viajes Momenta,Av. La Salle .,Colinas del Saltito,Durango,Durango
,4100050108,Agencia de viajes,Agencia de Viajes Acostrip,Francisca Escárzaga,Del Maestro,Durango,Durango
,4100050185,Agencia de viajes,ROYAL TRAVEL,CALLE MAL PAIS,LOS FRESNOS ,Durango,Durango
,4100050188,Agencia de viajes,Forasteros Tour,Pi Suarez,Hidalgo y Zaragoza,Durango,Durango
,1100059604,Hospedaje,HOTEL GALLO,AVENIDA,VICTORIA DE DURANGO CENTRO,Durango,Durango
,4100050186,Agencia de viajes,ISAR TOURS ,DOLORES DEL RIO,UNIVERSAL ,Durango,Durango
,4100050187,Agencia de viajes,RED OASIS,,FRACC. HACIENDA DE FRAY DIEGO,Durango,Durango
,4100050189,Agencia de viajes,IMAGEN TRAVEL AGENCIA,ZARCO,ZONA CENTRO,Durango,Durango
,2100056379,Alimentos y bebidas,Starbucks Coffee Punto Cero,Av. Heróico Colegio Militar . Lot,Nueva Vizcaya,Durango,Durango
,1100059595,Hospedaje,HOTEL GOBERNADOR S.A. DE C.V.,Av. 20 de Noviembre,Victoria de Durango Centro,Durango,Durango
,4100050190,Agencia de viajes,AGENCIA DE VIAJES MAURYN,NAZAS,HIPÓDROMO,Durango,Durango
,4100050181,Agencia de viajes,SERVICE & BUSINESS,PROLONGACIÓN LIBERTAD,LOS SAUCES ,Durango,Durango
,4100050176,Agencia de viajes,NERI TRAVEL ,MAR DE PLATA,GUADALUPE,Durango,Durango
,1100059605,Hospedaje,HOTEL RINCON REAL SUITES ,ZARCO,VICTORIA DE DURANGO CENTRO,Durango,Durango
,2100070014,Alimentos y bebidas,Starbucks Coffee Gómez Palacio,Blvd. Miguel Alemán .,El Campestre,Durango,Gómez Palacio
,4100050180,Agencia de viajes,Agencia de Viajes Dame un Norte,Blvd. Durango .,Fracc. El milagro ,Durango,Durango
,4100050119,Agencia de viajes,Viajes Barraza,Calvario .,Victoria de Durango Centro,Durango,Durango
,2100056378,Alimentos y bebidas,Starbucks Coffee Paseo Durango,Blvd. Felipe Pescador .,Victoria de Durango Centro,Durango,Durango
,27100070004,Agencia integradora de servicios,SAEVIAGGI,HIDALGO,CENTTRO ,Durango,Gómez Palacio
,27100050006,Agencia integradora de servicios,BLUE POINT COMUNICACION,AVENIDA,VICTORIA DE DURANGO CENTRO,Durango,Durango
,1100230009,Hospedaje,CABAÑAS RUSTICAS MI RANCHITO ,DOMICILIO CONOCIDO,EJIDO,Durango,Pueblo Nuevo
,2100056418,Alimentos y bebidas,CAFE PUNTA DEL CIELO,CALLE,ZONA CENTRO,Durango,Durango
,1100059606,Hospedaje,HOTEL VILLA EXPRESS ,AVENIDA CIMA,TRES MISIONES ,Durango,Durango
,4100050178,Agencia de viajes,TRAVEL PUZZLE,AVENIDA LAZARO CARDENAS,COLONIA ESPERANZA ,Durango,Durango
,4100050110,Agencia de viajes,Time to Travel Durango,CONCEPCION CONTRERAS,Morelos Norte,Durango,Durango
,1100059601,Hospedaje,HOTEL GALLO,AVENIDA (AV.),VICTORIA DE DURANGO CENTRO,Durango,Durango
,1100230006,Hospedaje,RANCHO ECOTURISTICO SANTA ISABEL,CARRETERA DGO MAZATLAN 92.5 PREDIO STA ISABEL,AMP COYOTES,Durango,Pueblo Nuevo
,4100050177,Agencia de viajes,ESCAPATE CONMIGO DGO,AVENIDA FLORIDA,CENTRO,Durango,Durango
,33100050008,Parque temático,PASEO DEL VIEJO OESTE ,CARRETERA A PARRAL . 12,SAN VICENTE DE CHUPADEROS ,Durango,Durango
,27100050005,Agencia integradora de servicios,PASEO FENADU ,CARRETERA MEZQUITAL 3.5,GRANJAS PART SUR ,Durango,Durango
,27100050004,Agencia integradora de servicios,PASEO TELEFERICO ,LINDA VISTA,LOS REMEDIOS ,Durango,Durango
,27100050003,Agencia integradora de servicios,PASEO TUNEL DE MINERIA ,CALLE JUAREZ,CENTRO ,Durango,Durango
,4100050143,Agencia de viajes,PLATINO VIAJES,BELISARIO DOMINGUEZ,De Analco,Durango,Durango
,011000537910c,Hospedaje,HOTEL KORIAN, BLVD GUADIANA,15 de Mayo (Tapias),Durango,Durango
,0410007d35dcc,Agencia de viajes,TRAVELING LAGUNA ,DAVID ALFARO SIQUEIROS,Villa del Pedregal,Durango,Gómez Palacio
,2710039f2dbd3,Agencia integradora de servicios,AGENCIA DE TURISMO ,GUADALUPE VICTORIA ,Nuevo Ideal Centro,Durango,Nuevo Ideal
,04100058a4b05,Agencia de viajes,COYOTE TOUR VIP,ALDAMA ,Barrio Tierra Blanca,Durango,Durango
,04100071b336a,Agencia de viajes,Itinerario Plus Travel,Tlahualilo,Valle del Nazas,Durango,Gómez Palacio
,0410008ba8e36,Agencia de viajes,Travels Garcia,Allende,Ciudad Guadalupe Victoria Centro,Durango,Guadalupe Victoria
,041000552c2a3,Agencia de viajes,DEL ANGEL TRAVEL AGENCY,MONTE AJUSCO ,Cumbres Residencial,Durango,Durango
,27100055ac07b,Agencia integradora de servicios,AZIMUTH AVENTURAS EXTREMAS ,GONZALES DE LE VEGA ,Valle del Sur,Durango,Durango
,27100051b32c4,Agencia integradora de servicios,Coyote Tours VIP,ALDAMA,Barrio Tierra Blanca,Durango,Durango
,0410005ddb657,Agencia de viajes,Viadca,Mascareñas,Victoria de Durango Centro,Durango,Durango
,0410005c44295,Agencia de viajes,Agencia de Viajes Viayo,Providencia,Santa María,Durango,Durango
,041000553b5d1,Agencia de viajes,Vive Go,Bahía de Banderas,Jalisco,Durango,Durango
,04100057807d9,Agencia de viajes,Logatravel,Avenida 20 de Noviembre,Victoria de Durango Centro,Durango,Durango
,04100051797b0,Agencia de viajes,PANDORA TRAVEL,maravillas,Benigno Montoya,Durango,Durango
,041000576faf6,Agencia de viajes,TEZA´S TRAVEL ,SAN LUIS POTOSI ,Maderera,Durango,Durango
,011000520b482,Hospedaje,Hotel Florida Plaza,Florida No.,Victoria de Durango Centro,Durango,Durango
,041000560c102,Agencia de viajes,LADY VAGA,INDEPENDENCIA ,Victoria de Durango Centro,Durango,Durango
,271000508e4ec,Agencia integradora de servicios,MOLINILLOS MOUNTAIN RESORT,CAMINO SIN NOMBRE ,Molinillos,Durango,Durango
,0110005d1f36f,Hospedaje,HOLIDAY INN DURANGO ,BLVD. FRANCISCO VILLA ,Ampliación 20 de Noviembre,Durango,Durango
,041000506cf52,Agencia de viajes,AGENCIA DE VIAJES TURISKARL,ENRIQUE CARROLA ANTUNA ,Canelas,Durango,Durango
,04100056be21b,Agencia de viajes,PANDORA TRAVEL AGENCY,MARAVILLAS,Benigno Montoya,Durango,Durango
,05100059368ed,Transportadora turística,EL PUEBLITO TOURS,SIN NOMBRE,El Tunal,Durango,Durango
,0410005fd9a03,Agencia de viajes,AGENCIA BIBIAN ,MECÁNICOS,Héctor Mayagoitia Domínguez,Durango,Durango
,0410005a4bb28,Agencia de viajes,MI VIAJE,FELIPE PESCADOR ,Fátima,Durango,Durango
,041000581366b,Agencia de viajes,CONEXIÓN VIAJES DGO,PEREYRA,Victoria de Durango Centro,Durango,Durango
,041000510124a,Agencia de viajes,AGENCIA DE VIAJES CALI2,PATONI,Victoria de Durango Centro,Durango,Durango
,0410012b356f6,Agencia de viajes,TRAVEL CORPORATION,AV. SARABIA,Lerdo Centro,Durango,Lerdo
,0110005830e52,Hospedaje,HOTEL CENTRAL EXPRESS,BLVD. FCO. VILLA,Del Maestro,Durango,Durango
,0410005877af8,Agencia de viajes,SAKA AVENTURAS ,AQUILES SERDAN ,Victoria de Durango Centro,Durango,Durango
,0410005ea8284,Agencia de viajes,VIAJES COLIBRI BY ERI VELMART,AGUASCALIENTES,Jardines de Cancún,Durango,Durango
,0410005035fbd,Agencia de viajes,TRAVELYS HOTELS & TOURS,TULE ,Azcapotzalco,Durango,Durango
,0410005d7b526,Agencia de viajes,Mochileros Travel,Fernando Carrillo,Ciénega,Durango,Durango
,3210005ec03f2,Operadora de aventura/naturaleza,Durangoxtremo,Fernando Carrillo,Ciénega,Durango,Durango
,0210005647eb7,Alimentos y bebidas,RESTAURANTE LAS VENTANAS,FRANCISCO VILLA ,Ampliación 20 de Noviembre,Durango,Durango
,041000555b66e,Agencia de viajes,AGENCIA DE VIAJES VALAITI,GOMEZ PALACIO,Victoria de Durango Centro,Durango,Durango
,04100087990cb,Agencia de viajes,Pago Menos Travel by Fraveo ,Flor de junio,Villas del Sur,Durango,Guadalupe Victoria
,01100051375a0,Hospedaje,HOTEL GAMMA PLAZA VIZCAYA,GINÉS VAZQUEZ DEL MERCADO ,Nueva Vizcaya,Durango,Durango
,021000515eed8,Alimentos y bebidas,SOTOLEANDO,AUTOPISTA DURANGO GOMEZ PALACIO,Rancho los Pinos,Durango,Durango
,0210005181999,Alimentos y bebidas,PETIT GOURMET,AUTOPISTA DURANGO GOMEZ PALACIO,San Carlos,Durango,Durango
,04100050c8b8c,Agencia de viajes,PEZ ELEFANTE,BLVD. GUADIANA,La Esmeralda,Durango,Durango
,0210005e561c1,Alimentos y bebidas,DURANGO GRILL,BLVD. DOLORES DEL RIO,El Calvario,Durango,Durango
,041000708c9d5,Agencia de viajes,TURISMO MYA,Margarita García Guerrero,Morelos,Durango,Gómez Palacio
,011000535e3e1,Hospedaje,HOTEL HAMPTON BY HILTON DURANGO,AV. HEROICO COLEGIO MILITAR,Nueva Vizcaya,Durango,Durango
,041000548e71f,Agencia de viajes,YO AMO VIAJAR DURANGO,Profa. Francisca Escarzaga,Del Maestro,Durango,Durango
,0410005ed9d50,Agencia de viajes,Perlatravels d-Relax,Bulevar Dolores del Rio 1408,Universal,Durango,Durango
,0210005839115,Alimentos y bebidas,DURANGO GRILL,BLVD. DOLORES DEL RÍO,El Calvario,Durango,Durango
,2710005bda8cf,Agencia integradora de servicios,Centro Cultural y de Convenciones del Estado de Durango,Av. 16 de septiembre,Silvestre Dorador,Durango,Durango
,0410005fd66d6,Agencia de viajes,Dirka Travel,Francisco Zarco,Vivah Reforma I,Durango,Durango
,01100055ae241,Hospedaje,HOSTAL DE LA MONJA,CONSTITUCIÓN,Victoria de Durango Centro,Durango,Durango
,0210005e8c257,Alimentos y bebidas,PIZZALY CAMPESTRE,ESCORPION,SAHOP,Durango,Durango
,0210005c0af06,Alimentos y bebidas,PIZZALY PANCHO VILLA,BLVD. FRANCISCO VILLA,Máximo Gamiz Fernández,Durango,Durango
,1110005fbbde4,Arrendadora de autos,DOLLAR,AUTOPISTA GÓMEZ PALACIOS,Durango (Presidente Guadalupe Victoria),Durango,Durango
,041000536a20f,Agencia de viajes,viajes el corte ingles,Felipe Pescador Ote.,Esperanza,Durango,Durango
,11100051a04b5,Arrendadora de autos,Hertz,AUTOPISTA GOMEZ PALACIOS KM 15.5,Durango (Presidente Guadalupe Victoria),Durango,Durango
,0410005249880,Agencia de viajes,Viajes Lunas By Fraveo,Ixtlixochitl,Huizache II,Durango,Durango
